# Fig 8c
Khat2,factor_linear,factor_complementary
1e-12,1.1856078530727716,1.1462450843813314
1.1409831643374277e-12,1.1856078530728351,1.1462450843813534
1.3018425813014495e-12,1.1856078530729095,1.146245084381377
1.4853804678825268e-12,1.185607853072993,1.146245084381407
1.6947941064896144e-12,1.1856078530730878,1.1462450843814376
1.9337315425229438e-12,1.185607853073199,1.1462450843814762
2.2063551343669233e-12,1.1856078530733234,1.146245084381516
2.5174140628621026e-12,1.1856078530734664,1.1462450843815633
2.8723270633919423e-12,1.1856078530736294,1.1462450843816165
3.2772768218009696e-12,1.1856078530738159,1.1462450843816794
3.739317678548163e-12,1.1856078530740266,1.146245084381749
4.2664985173327676e-12,1.185607853074269,1.14624508438183
4.868002978947285e-12,1.1856078530745455,1.1462450843819199
5.554309442923297e-12,1.1856078530748588,1.146245084382024
6.337373563895879e-12,1.1856078530752174,1.146245084382145
7.230836542522252e-12,1.185607853075628,1.1462450843822802
8.250262759093745e-12,1.1856078530760952,1.1462450843824354
9.413410909486018e-12,1.1856078530766272,1.1462450843826146
1.074054336671382e-11,1.1856078530772378,1.1462450843828145
1.2254779157256502e-11,1.1856078530779322,1.1462450843830443
1.398249670110288e-11,1.1856078530787233,1.1462450843833083
1.595379333136201e-11,1.185607853079628,1.1462450843836054
1.8203009598402703e-11,1.1856078530806584,1.14624508438395
2.0769327492050083e-11,1.1856078530818348,1.1462450843843401
2.3697453003039636e-11,1.1856078530831782,1.1462450843847851
2.7038394914145643e-11,1.1856078530847087,1.1462450843852923
3.085035338774691e-11,1.1856078530864567,1.1462450843858738
3.519973382927921e-11,1.1856078530884515,1.1462450843865348
4.016230368836619e-11,1.1856078530907255,1.1462450843872893
4.58245123494328e-11,1.1856078530933218,1.1462450843881489
5.2284997104675366e-11,1.1856078530962835,1.1462450843891312
5.965630144386574e-11,1.185607853099664,1.146245084390254
6.806683559408939e-11,1.1856078531035197,1.1462450843915346
7.766311346257957e-11,1.1856078531079193,1.1462450843929903
8.861230495083037e-11,1.1856078531129397,1.146245084394659
1.0110514810203154e-10,1.185607853118667,1.1462450843965588
1.1535927181226023e-10,1.185607853125202,1.1462450843987264
1.316229869880141e-10,1.1856078531326588,1.146245084401199
1.501796121931284e-10,1.1856078531411667,1.1462450844040213
1.713524091390827e-10,1.1856078531508731,1.1462450844072416
