protein,activity,ATP_uM,IDH_form_uM,ATP_over_Km,protein_over_apparent_Kd,ordered_protein_bound,random_protein_bound,occupancy_contrast,ordered_rate_nmol_mg_min,random_rate_nmol_mg_min
WT,kinase,0.0,0.244375,0.0,0.1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
WT,kinase,0.0,2.44375,0.0,1.0,0.0,0.5,0.5,0.0,0.0
WT,kinase,0.0,24.4375,0.0,10.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0
WT,kinase,0.16,0.244375,0.01,0.1,0.0009074894571077776,0.09165535102567338,0.0907478615685656,0.08167405113969999,0.08161883864980005
WT,kinase,0.16,2.44375,0.01,1.0,0.004972795881354941,0.5022480102391853,0.49727521435783034,0.44755162932194464,0.4471404076524769
WT,kinase,0.16,24.4375,0.01,10.0,0.009008245193836242,0.9098312251654183,0.900822979971582,0.8107420674452618,0.8099462502028685
WT,kinase,1.6,0.244375,0.1,0.1,0.008933263268523383,0.09825517637917751,0.08932191311065413,0.8039936941671044,0.8034296468690396
WT,kinase,1.6,2.44375,0.1,1.0,0.04740658114891244,0.5214310461357614,0.47402446498684897,4.26659230340212,4.262713806800782
WT,kinase,1.6,24.4375,0.1,10.0,0.08326802507836992,0.9159345144482098,0.8326664893698399,7.494122257053292,7.487272155267193
WT,kinase,16.0,0.244375,1.0,0.1,0.07727272727272727,0.1544519106756688,0.07717918340294153,6.954545454545454,6.948572112099717
WT,kinase,16.0,2.44375,1.0,1.0,0.32319391634980993,0.6461261873692592,0.32293227101944927,29.087452471482894,29.063279876440017
WT,kinase,16.0,24.4375,1.0,10.0,0.47406581148912436,0.9480674705725782,0.4740016590834539,42.66592303402119,42.64210543980072
WT,kinase,160.0,0.244375,10.0,0.1,0.3288201160541586,0.3614048550022423,0.03258473894808367,29.593810444874276,29.569063700226042
WT,kinase,160.0,2.44375,10.0,1.0,0.7727272727272727,0.849604873246691,0.07687760051941828,69.54545454545455,69.50987917283922
WT,kinase,160.0,24.4375,10.0,10.0,0.8933263268523385,0.9825720314924478,0.08924570464010928,80.39936941671046,80.38562913154672
AceK3,kinase,0.0,0.145,0.0,0.1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
AceK3,kinase,0.0,1.45,0.0,1.0,0.0,0.5,0.5,0.0,0.0
AceK3,kinase,0.0,14.5,0.0,10.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0
AceK3,kinase,1.0,0.145,0.01,0.1,0.0009068451171081026,0.09159037971052277,0.09068353459341466,0.40808030269864615,0.4078296206756621
AceK3,kinase,1.0,1.45,0.01,1.0,0.00497086047308879,0.5020529022401721,0.49708204176708326,2.2368872128899557,2.234942716086444
AceK3,kinase,1.0,14.5,0.01,10.0,0.009007609877310143,0.9097671307912693,0.900759520913959,4.053424444789564,4.049476007300752
AceK3,kinase,10.0,0.145,0.1,0.1,0.00887121443866626,0.09757380887050889,0.08870259443184263,3.992046497399817,3.9895176092133013
AceK3,kinase,10.0,1.45,0.1,1.0,0.047231270358306196,0.5195064039077466,0.4722751335494404,21.254071661237788,21.235917416659444
AceK3,kinase,10.0,14.5,0.1,10.0,0.08321377331420374,0.9153383909795756,0.8321246176653718,37.446197991391685,37.41227279245966
AceK3,kinase,100.0,0.145,1.0,0.1,0.07286432160804021,0.14565221730281055,0.07278789569477034,32.788944723618094,32.76451873397041
AceK3,kinase,100.0,1.45,1.0,1.0,0.31521739130434784,0.6302100612983239,0.31499266999397607,141.84782608695653,141.74249964453296
AceK3,kinase,100.0,14.5,1.0,10.0,0.4723127035830619,0.9445641790632157,0.4722514754801538,212.54071661237785,212.42421054805683
AceK3,kinase,1000.0,0.145,10.0,0.1,0.2614968440036069,0.2874317129353729,0.025934868931765998,117.6735798016231,117.58435818749474
AceK3,kinase,1000.0,1.45,10.0,1.0,0.728643216080402,0.801205545162341,0.07256232908193905,327.8894472361809,327.7545221488912
AceK3,kinase,1000.0,14.5,10.0,10.0,0.8871214438666258,0.9757528014772945,0.08863135761066865,399.2046497399816,399.1410170718708
AceK4,kinase,0.0,0.38093750000000004,0.0,0.1,0.0,0.09090909090909093,0.09090909090909093,0.0,0.0
AceK4,kinase,0.0,3.809375,0.0,1.0,0.0,0.5,0.5,0.0,0.0
AceK4,kinase,0.0,38.09375,0.0,10.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0
AceK4,kinase,3.2,0.38093750000000004,0.01,0.1,0.0009077674060118179,0.09168333104025918,0.09077556363424737,0.45388370300590897,0.4535525247323432
AceK4,kinase,3.2,3.809375,0.01,1.0,0.004973630374805278,0.502332103455524,0.49735847308071873,2.4868151874026387,2.4844664947949022
AceK4,kinase,3.2,38.09375,0.01,10.0,0.009008518999476484,0.9098588475454583,0.9008503285459818,4.504259499738242,4.499823292917011
AceK4,kinase,32.0,0.38093750000000004,0.1,0.1,0.008960270498732036,0.09855124832384181,0.08959097782510977,4.480135249366018,4.47672425400619
