protein,activity,binding_to_catalysis_ratio,grid_points,max_ordered_absolute_error,max_random_relative_error,max_random_absolute_error_Vmax,max_stationary_residual
WT,kinase,1.0,625,9.124645483638005e-16,0.4954806345189129,0.2669671174030416,6.661338147750939e-16
WT,kinase,10.0,625,9.124645483638005e-16,0.0894260533367095,0.042036936786977175,3.552713678800501e-15
WT,kinase,100.0,625,9.124645483638005e-16,0.00972533372480544,0.004460625352753933,4.263256414560601e-14
WT,kinase,1000.0,625,9.124645483638005e-16,0.000981120928096324,0.0004488056559047715,3.410605131648481e-13
AceK3,kinase,1.0,625,2.7755575615628914e-16,0.49527454871940213,0.21837798099183797,6.661338147750939e-16
AceK3,kinase,10.0,625,2.7755575615628914e-16,0.08935894484658291,0.031898354501681214,5.329070518200751e-15
AceK3,kinase,100.0,625,2.7755575615628914e-16,0.009717397209847323,0.003353511376960716,4.263256414560601e-14
AceK3,kinase,1000.0,625,2.7755575615628914e-16,0.000980313204490213,0.000337080756861341,4.547473508864641e-13
AceK4,kinase,1.0,625,6.453171330633722e-16,0.5336373061089997,0.31148964083306635,6.661338147750939e-16
AceK4,kinase,10.0,625,6.453171330633722e-16,0.10267657770536309,0.051735559074872595,5.329070518200751e-15
AceK4,kinase,100.0,625,6.453171330633722e-16,0.011313088015143302,0.005604213825509574,4.263256414560601e-14
AceK4,kinase,1000.0,625,6.453171330633722e-16,0.0011429460255999446,0.0005651256096400603,3.410605131648481e-13
WT,phosphatase,1.0,625,1.3791051634015616e-15,0.5322030364114605,0.310066551290391,6.661338147750939e-16
WT,phosphatase,10.0,625,1.3791051634015616e-15,0.10214690949519789,0.05143692595829186,3.552713678800501e-15
WT,phosphatase,100.0,625,1.3791051634015616e-15,0.011248819920865905,0.005567810784793292,2.842170943040401e-14
WT,phosphatase,1000.0,625,1.3791051634015616e-15,0.0011363867005058648,0.0005614101313188291,3.410605131648481e-13
AceK3,phosphatase,1.0,625,2.220446049250313e-16,0.49504814510990247,0.16862238365146842,6.661338147750939e-16
AceK3,phosphatase,10.0,625,2.220446049250313e-16,0.08928527194825853,0.023352084411540297,3.566591466608315e-15
AceK3,phosphatase,100.0,625,2.220446049250313e-16,0.00970868556245219,0.002438722858289666,3.552713678800501e-14
AceK3,phosphatase,1000.0,625,2.220446049250313e-16,0.0009794266067038038,0.00024495812885200197,3.410605131648481e-13
AceK4,phosphatase,1.0,625,2.8449465006019636e-16,0.49511050264032797,0.17081367712831474,6.661338147750939e-16
AceK4,phosphatase,10.0,625,2.8449465006019636e-16,0.08930555800540241,0.02361871515979419,4.440892098500626e-15
AceK4,phosphatase,100.0,625,2.8449465006019636e-16,0.009711084215804466,0.0024685228992529784,4.263256414560601e-14
AceK4,phosphatase,1000.0,625,2.8449465006019636e-16,0.0009796707199559718,0.00024797201886256337,3.410605131648481e-13
