stage,kg,alpha,calibration,signal,dose_bias,corrected,mixture,differential_background,differential_gain,trials,rejected,rejection_rate,ci_low,ci_high,uncalibrated_t_rate,optimizer_failed_fits,active_bound_fits,total_fits,invalid_trials,mean_rmse,mean_nfev
evaluation,7.8,0.17,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02690234606508404,6.1024375
evaluation,7.8,0.19,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026860543430338054,6.0495
evaluation,7.8,0.25,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026729111777800567,5.7240625
evaluation,7.8,0.34,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02661482018649704,5.275375
evaluation,7.8,0.17,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02691249287627773,6.0973125
evaluation,7.8,0.19,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026864957588862665,6.041625
evaluation,7.8,0.25,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02670745675849204,5.8090625
evaluation,7.8,0.34,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02665084983352266,5.4725625
evaluation,7.8,0.17,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.026931338297928594,6.2358125
evaluation,7.8,0.19,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026891673851840346,6.194625
evaluation,7.8,0.25,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026687569717946485,6.0595
evaluation,7.8,0.34,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026589405745685853,5.9103125
evaluation,7.8,0.17,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02693471441646829,6.1386875
evaluation,7.8,0.19,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,1,0.0005,8.826773070546787e-05,0.0028268625032662133,0.0005,0,0,16000,0,0.026893758070813144,6.058375
evaluation,7.8,0.25,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026762177267084106,5.7409375
evaluation,7.8,0.34,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02664336617577522,5.2925
