stage,kg,alpha,calibration,signal,dose_bias,corrected,mixture,differential_background,differential_gain,condition_affine,trials,rejected,rejection_rate,ci_low,ci_high,uncalibrated_t_rate,optimizer_failed_fits,active_bound_fits,total_fits,invalid_trials,mean_rmse,mean_nfev
evaluation,7.8,0.17,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02598223300763988,6.199
evaluation,7.8,0.19,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025940011711170236,6.1245625
evaluation,7.8,0.25,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,1991,0.9955,0.9914694867812403,0.9976307193630382,0.9975,0,0,16000,0,0.02581081542500658,5.896125
evaluation,7.8,0.34,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025694260321254412,5.425125
evaluation,7.8,0.17,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02598578752149771,6.2125
evaluation,7.8,0.19,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02594042308151554,6.13325
evaluation,7.8,0.25,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,1993,0.9965,0.9927928037467583,0.9983035683029576,0.9995,0,0,16000,0,0.02579154531515194,5.9816875
evaluation,7.8,0.34,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02572298967160613,5.6791875
evaluation,7.8,0.17,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.02601261432200449,6.4045625
evaluation,7.8,0.19,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025958848490304328,6.334375
evaluation,7.8,0.25,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1990,0.995,0.990820304050058,0.9972818191415014,0.9985,0,0,16000,0,0.025778426821990393,6.222875
evaluation,7.8,0.34,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.025668612278620866,6.0760625
evaluation,7.8,0.17,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026012894589003663,6.2300625
evaluation,7.8,0.19,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025969585745857497,6.1480625
evaluation,7.8,0.25,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,1989,0.9945,0.9901779372483848,0.9969261029904561,0.997,0,0,16000,0,0.02583759326562786,5.8850625
evaluation,7.8,0.34,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.0257349300783758,5.438625
evaluation,7.8,0.17,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02600359456642746,6.2379375
evaluation,7.8,0.19,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025987077636269115,6.1598125
evaluation,7.8,0.25,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,1985,0.9925,0.9876620858637751,0.9954496225641908,0.996,0,0,16000,0,0.025847152037170723,5.985625
evaluation,7.8,0.34,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025698052867258337,5.6920625
evaluation,7.8,0.17,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.02601163436071093,6.420875
evaluation,7.8,0.19,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025983106892927134,6.3496875
evaluation,7.8,0.25,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,1981,0.9905,0.9852096168457007,0.9939097597713902,0.9955,0,0,16000,0,0.025853593791697313,6.2281875
evaluation,7.8,0.34,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.0257147009311229,6.0825
evaluation,7.8,0.17,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02618379467225534,6.2920625
evaluation,7.8,0.19,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026069445258188984,6.1945
evaluation,7.8,0.25,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,1939,0.9695,0.9610172880930726,0.9761826045098309,0.9865,0,0,16000,0,0.025937690621083916,5.913875
evaluation,7.8,0.34,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025776323962383267,5.48025
evaluation,7.8,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026188903787545747,6.2965
evaluation,7.8,0.19,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,0,0,16000,0,0.02612353551627853,6.22125
evaluation,7.8,0.25,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,1957,0.9785,0.9711661662609156,0.9839992194909254,0.987,0,0,16000,0,0.025909119752209598,6.0024375
evaluation,7.8,0.34,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025743911699906485,5.7285625
evaluation,7.8,0.17,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.02614644352672026,6.4673125
evaluation,7.8,0.19,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,2,0.001,0.0002742789176520342,0.003638934269038394,0.0015,0,1,16000,1,0.02604179530071047,6.3965
evaluation,7.8,0.25,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1958,0.979,0.971736989530377,0.9844264791741825,0.9885,0,1,16000,1,0.025903480234622082,6.247125
evaluation,7.8,0.34,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1997,0.9985,0.9955989674442294,0.9994897364163615,0.9985,0,3,16000,3,0.025787203154286616,6.1151875
evaluation,11.7,0.17,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02595442894057821,6.1346875
evaluation,11.7,0.19,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,189,0.0945,0.08244593448548859,0.10810879085960753,0.125,0,0,16000,0,0.0259092119445534,6.0741875
evaluation,11.7,0.25,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02577412962808108,5.755
