G_uM,epsilon,direct,J,PII_TV,GS_total_gap,GS_free_gap,GS_bound,GS_condition_bound
20.0,0.0001,0.0,0.0,3.106623930779084e-08,1.7642108104530974e-20,0.0,1.25e-05,1.25e-05
20.0,0.00014542154334489538,0.0,0.0,4.517699549891232e-08,4.010171609657078e-20,0.0,1.8177692918111922e-05,1.8177692918111922e-05
20.0,0.00021147425268811283,0.0,0.0,6.569706419917751e-08,8.88458152330956e-20,0.0,2.6434281586014103e-05,2.6434281586014103e-05
20.0,0.00030752912203613756,0.0,0.0,9.553764280818803e-08,1.9393084025183223e-19,0.0,3.8441140254517195e-05,3.8441140254517195e-05
20.0,0.00044721359549995795,0.0,0.0,1.3893222573857685e-07,4.186592690702388e-19,0.0,5.5901699437494744e-05,5.5901699437494744e-05
20.0,0.0006503449126242365,0.0,0.0,2.020371990853415e-07,8.983313801223889e-19,0.0,8.129311407802956e-05,8.129311407802956e-05
20.0,0.000945741609003176,0.0,0.0,2.938052155114854e-07,1.9185957999799945e-18,0.0,0.000118217701125397,0.000118217701125397
20.0,0.0013753120438672643,0.0,0.0,4.2725523826991834e-07,4.087476600983834e-18,0.0,0.00017191400548340803,0.00017191400548340803
20.0,0.0020000000000000005,0.0,0.0,6.213193810361256e-07,8.693390305246503e-18,0.0,0.00025000000000000006,0.00025000000000000006
20.0,0.0029084308668979077,0.0,0.0,9.035284627430385e-07,1.8474000337853104e-17,0.0,0.00036355385836223846,0.00036355385836223846
20.0,0.0042294850537622575,0.0,0.0,1.3139170466411404e-06,3.925392876059783e-17,0.0,0.0005286856317202822,0.0005286856317202822
20.0,0.0061505824407227525,0.0,0.0,1.910701502806858e-06,8.34548608054058e-17,0.0,0.0007688228050903441,0.0007688228050903441
20.0,0.008944271909999161,0.0,0.0,2.7785356269864207e-06,1.7766301663444176e-16,0.0,0.0011180339887498952,0.0011180339887498952
20.0,0.01300689825248473,0.0,0.0,4.040512810156105e-06,3.790832295616679e-16,0.0,0.0016258622815605913,0.0016258622815605913
20.0,0.01891483218006352,0.0,0.0,5.875612653590765e-06,8.117564999255515e-16,0.0,0.00236435402250794,0.00236435402250794
20.0,0.02750624087734529,0.0,0.0,8.544056335083078e-06,1.7476901077962821e-15,0.0,0.003438280109668161,0.003438280109668161
20.0,0.04000000000000001,0.0,0.0,1.2424143220399348e-05,3.79317882834348e-15,1.3234889800848443e-23,0.005000000000000001,0.005000000000000001
20.0,0.05816861733795817,0.0,0.0,1.8065736730930186e-05,8.331971391934452e-15,0.0,0.007271077167244772,0.007271077167244772
20.0,0.08458970107524516,0.0,0.0,2.6267844953075204e-05,1.8632177017428826e-14,1.3234889800848443e-23,0.010573712634405645,0.010573712634405645
20.0,0.12301164881445506,0.0,0.0,3.819092900108275e-05,4.2804387399464727e-14,1.3234889800848443e-23,0.015376456101806883,0.015376456101806883
20.0,0.17888543819998323,0.0,0.0,5.551880364199054e-05,1.0247676598014224e-13,1.3234889800848443e-23,0.022360679774997904,0.022360679774997904
20.0,0.26013796504969466,0.0,0.0,8.068963261925495e-05,2.617076201721413e-13,1.3234889800848443e-23,0.03251724563121183,0.03251724563121183
20.0,0.37829664360127047,0.0,0.0,0.00011721535993833656,7.421990449521724e-13,0.0,0.04728708045015881,0.04728708045015881
20.0,0.5501248175469059,0.0,0.0,0.0001700674697745896,2.5171446008441065e-12,0.0,0.06876560219336324,0.06876560219336324
20.0,0.8,0.0,0.0,0.0002456849538518991,1.1792326360352216e-11,0.0,0.1,0.1
23.361689410840295,0.0001,0.0,0.0,4.125330301536186e-08,2.811090593700209e-20,2.6469779601696886e-23,1.25e-05,1.25e-05
23.361689410840295,0.00014542154334489538,0.0,0.0,5.999116697812423e-08,6.842438027038645e-20,0.0,1.8177692918111922e-05,1.8177692918111922e-05
23.361689410840295,0.00021147425268811283,0.0,0.0,8.724003238299776e-08,1.5744224907089308e-19,0.0,2.6434281586014103e-05,2.6434281586014103e-05
23.361689410840295,0.00030752912203613756,0.0,0.0,1.2686569782675003e-07,3.5157161266973803e-19,0.0,3.8441140254517195e-05,3.8441140254517195e-05
23.361689410840295,0.00044721359549995795,0.0,0.0,1.8448983867420943e-07,7.705882237645997e-19,0.0,5.5901699437494744e-05,5.5901699437494744e-05
23.361689410840295,0.0006503449126242365,0.0,0.0,2.682875097496281e-07,1.6693431203606158e-18,0.0,8.129311407802956e-05,8.129311407802956e-05
23.361689410840295,0.000945741609003176,0.0,0.0,3.901468620839717e-07,3.589566811786115e-18,2.6469779601696886e-23,0.000118217701125397,0.000118217701125397
23.361689410840295,0.0013753120438672643,0.0,0.0,5.673555254384873e-07,7.6809741750408e-18,0.0,0.00017191400548340803,0.00017191400548340803
23.361689410840295,0.0020000000000000005,0.0,0.0,8.250527956715867e-07,1.6384714164111567e-17,0.0,0.00025000000000000006,0.00025000000000000006
23.361689410840295,0.0029084308668979077,0.0,0.0,1.1997952656830529e-06,3.4889207688065826e-17,0.0,0.00036355385836223846,0.00036355385836223846
23.361689410840295,0.0042294850537622575,0.0,0.0,1.7447412098013473e-06,7.423552921436338e-17,0.0,0.0005286856317202822,0.0005286856317202822
23.361689410840295,0.0061505824407227525,0.0,0.0,2.537188076201412e-06,1.5797476809692001e-16,0.0,0.0007688228050903441,0.0007688228050903441
23.361689410840295,0.008944271909999161,0.0,0.0,3.689529927237859e-06,3.3651846076848983e-16,0.0,0.0011180339887498952,0.0011180339887498952
23.361689410840295,0.01300689825248473,0.0,0.0,5.3651839667380465e-06,7.183411934049252e-16,0.0,0.0016258622815605913,0.0016258622815605913
23.361689410840295,0.01891483218006352,0.0,0.0,7.80173385635815e-06,1.5386549627941214e-15,0.0,0.00236435402250794,0.00236435402250794
23.361689410840295,0.02750624087734529,0.0,0.0,1.1344547089191019e-05,3.313225303829494e-15,5.293955920339377e-23,0.003438280109668161,0.003438280109668161
23.361689410840295,0.04000000000000001,0.0,0.0,1.6495576849595916e-05,7.191549061936168e-15,0.0,0.005000000000000001,0.005000000000000001
23.361689410840295,0.05816861733795817,0.0,0.0,2.3984135322358014e-05,1.5796638114725322e-14,0.0,0.007271077167244772,0.007271077167244772
23.361689410840295,0.08458970107524516,0.0,0.0,3.486934917820457e-05,3.532164633030332e-14,0.0,0.010573712634405645,0.010573712634405645
23.361689410840295,0.12301164881445506,0.0,0.0,5.0687989314658276e-05,8.1129333304557e-14,0.0,0.015376456101806883,0.015376456101806883
23.361689410840295,0.17888543819998323,0.0,0.0,7.36663118774831e-05,1.9415757180769178e-13,2.6469779601696886e-23,0.022360679774997904,0.022360679774997904
23.361689410840295,0.26013796504969466,0.0,0.0,0.00010701871929565064,4.95515396674179e-13,2.6469779601696886e-23,0.03251724563121183,0.03251724563121183
23.361689410840295,0.37829664360127047,0.0,0.0,0.00015534917740838046,1.4035125237881616e-12,0.0,0.04728708045015881,0.04728708045015881
23.361689410840295,0.5501248175469059,0.0,0.0,0.0002250898939837547,4.7472378131699155e-12,0.0,0.06876560219336324,0.06876560219336324
23.361689410840295,0.8,0.0,0.0,0.000324226570431712,2.2084047806260394e-11,0.0,0.1,0.1
27.288426606428374,0.0001,0.0,0.0,5.509363474814856e-08,3.621065849512134e-20,0.0,1.25e-05,1.25e-05
27.288426606428374,0.00014542154334489538,0.0,0.0,8.011796449352513e-08,1.0725554694607578e-19,0.0,1.8177692918111922e-05,1.8177692918111922e-05
27.288426606428374,0.00021147425268811283,0.0,0.0,1.1650867684740751e-07,2.709976035621727e-19,4.235164736271502e-22,2.6434281586014103e-05,2.6434281586014103e-05
27.288426606428374,0.00030752912203613756,0.0,0.0,1.6942849577410224e-07,6.392981169401832e-19,4.764560328305439e-22,3.8441140254517195e-05,3.8441140254517195e-05
27.288426606428374,0.00044721359549995795,0.0,0.0,2.4638506859540776e-07,1.4459911200814975e-18,4.764560328305439e-22,5.5901699437494744e-05,5.5901699437494744e-05
27.288426606428374,0.0006503449126242365,0.0,0.0,3.582959847164526e-07,3.1953259143984412e-18,0.0,8.129311407802956e-05,8.129311407802956e-05
27.288426606428374,0.000945741609003176,0.0,0.0,5.210374671440524e-07,6.96075794185823e-18,4.764560328305439e-22,0.000118217701125397,0.000118217701125397
27.288426606428374,0.0013753120438672643,0.0,0.0,7.576963206835534e-07,1.5023346929416695e-17,0.0,0.00017191400548340803,0.00017191400548340803
27.288426606428374,0.0020000000000000005,0.0,0.0,1.1018443577059927e-06,3.223262119790072e-17,0.0,0.00025000000000000006,0.00025000000000000006
27.288426606428374,0.0029084308668979077,0.0,0.0,1.6022993270024743e-06,6.89041185558876e-17,4.764560328305439e-22,0.00036355385836223846,0.00036355385836223846
27.288426606428374,0.0042294850537622575,0.0,0.0,2.3300465894051397e-06,1.4699865046860277e-16,0.0,0.0005286856317202822,0.0005286856317202822
27.288426606428374,0.0061505824407227525,0.0,0.0,3.388301057595605e-06,3.1337932059451526e-16,0.0,0.0007688228050903441,0.0007688228050903441
27.288426606428374,0.008944271909999161,0.0,0.0,4.927131555740231e-06,6.683771285963377e-16,4.764560328305439e-22,0.0011180339887498952,0.0011180339887498952
27.288426606428374,0.01300689825248473,0.0,0.0,7.1647108605152495e-06,1.4279100900916112e-15,0.0,0.0016258622815605913,0.0016258622815605913
27.288426606428374,0.01891483218006352,0.0,0.0,1.0418181134340668e-05,3.0601820194222544e-15,0.0,0.00236435402250794,0.00236435402250794
27.288426606428374,0.02750624087734529,0.0,0.0,1.5148458412273701e-05,6.591823741956555e-15,4.235164736271502e-22,0.003438280109668161,0.003438280109668161
27.288426606428374,0.04000000000000001,0.0,0.0,2.2025208539219855e-05,1.4310646896031144e-14,4.235164736271502e-22,0.005000000000000001,0.005000000000000001
27.288426606428374,0.05816861733795817,0.0,0.0,3.202092670111841e-05,3.143603456836957e-14,5.293955920339377e-22,0.007271077167244772,0.007271077167244772
27.288426606428374,0.08458970107524516,0.0,0.0,4.654678303586576e-05,7.028708057793537e-14,4.235164736271502e-22,0.010573712634405645,0.010573712634405645
27.288426606428374,0.12301164881445506,0.0,0.0,6.76477787873617e-05,1.6140569061400396e-13,4.235164736271502e-22,0.015376456101806883,0.015376456101806883
27.288426606428374,0.17888543819998323,0.0,0.0,9.82802000373332e-05,3.861074439826213e-13,5.293955920339377e-23,0.022360679774997904,0.022360679774997904
27.288426606428374,0.26013796504969466,0.0,0.0,0.00014269652676861515,9.84613005495607e-13,5.293955920339377e-22,0.03251724563121183,0.03251724563121183
27.288426606428374,0.37829664360127047,0.0,0.0,0.00020694250336169778,2.7846146471163212e-12,5.293955920339377e-23,0.04728708045015881,0.04728708045015881
27.288426606428374,0.5501248175469059,0.0,0.0,0.0002993185175596477,9.38817633829835e-12,4.764560328305439e-22,0.06876560219336324,0.06876560219336324
27.288426606428374,0.8,0.0,0.0,0.0004295441713835634,4.33062154025637e-11,5.293955920339377e-23,0.1,0.1
31.87518734449451,0.0001,0.0,0.0,7.361128322314115e-08,6.564505341220828e-21,0.0,1.25e-05,1.25e-05
31.87518734449451,0.00014542154334489538,0.0,0.0,1.0704656559084674e-07,1.0413211295307555e-19,0.0,1.8177692918111922e-05,1.8177692918111922e-05
31.87518734449451,0.00021147425268811283,0.0,0.0,1.556685598838627e-07,3.9201743590113088e-19,0.0,2.6434281586014103e-05,2.6434281586014103e-05
31.87518734449451,0.00030752912203613756,0.0,0.0,2.2637518229010705e-07,1.0790670352427752e-18,0.0,3.8441140254517195e-05,3.8441140254517195e-05
31.87518734449451,0.00044721359549995795,0.0,0.0,3.291973527591789e-07,2.6458662294264173e-18,0.0,5.5901699437494744e-05,5.5901699437494744e-05
31.87518734449451,0.0006503449126242365,0.0,0.0,4.78721901856148e-07,6.125954032779914e-18,0.0,8.129311407802956e-05,8.129311407802956e-05
31.87518734449451,0.000945741609003176,0.0,0.0,6.9616061190482e-07,1.3731039349702649e-17,0.0,0.000118217701125397,0.000118217701125397
31.87518734449451,0.0013753120438672643,0.0,0.0,1.0123586907696566e-06,3.018306616334133e-17,0.0,0.00017191400548340803,0.00017191400548340803
31.87518734449451,0.0020000000000000005,0.0,0.0,1.472168977441266e-06,6.553832726085423e-17,0.0,0.00025000000000000006,0.00025000000000000006
31.87518734449451,0.0029084308668979077,0.0,0.0,2.140811355404561e-06,1.412229445595125e-16,0.0,0.00036355385836223846,0.00036355385836223846
31.87518734449451,0.0042294850537622575,0.0,0.0,3.113117264831731e-06,3.0290284652595965e-16,0.0,0.0005286856317202822,0.0005286856317202822
31.87518734449451,0.0061505824407227525,0.0,0.0,4.526965872758166e-06,6.480880425316371e-16,0.0,0.0007688228050903441,0.0007688228050903441
31.87518734449451,0.008944271909999161,0.0,0.0,6.582807442259663e-06,1.385642987204944e-15,0.0,0.0011180339887498952,0.0011180339887498952
31.87518734449451,0.01300689825248473,0.0,0.0,9.5720207443737e-06,2.9651780629043833e-15,0.0,0.0016258622815605913,0.0016258622815605913
31.87518734449451,0.01891483218006352,0.0,0.0,1.3918077674834258e-05,6.361788281146686e-15,0.0,0.00236435402250794,0.00236435402250794
31.87518734449451,0.02750624087734529,0.0,0.0,2.0236245294804807e-05,1.371360317648342e-14,0.0,0.003438280109668161,0.003438280109668161
31.87518734449451,0.04000000000000001,0.0,0.0,2.942004925942269e-05,2.9784905409232e-14,0.0,0.005000000000000001,0.005000000000000001
31.87518734449451,0.05816861733795817,0.0,0.0,4.2766200354991675e-05,6.54423467812273e-14,0.0,0.007271077167244772,0.007271077167244772
31.87518734449451,0.08458970107524516,0.0,0.0,6.215436319409841e-05,1.463235171934609e-13,0.0,0.010573712634405645,0.010573712634405645
31.87518734449451,0.12301164881445506,0.0,0.0,9.030390627036281e-05,3.3594790583384556e-13,0.0,0.015376456101806883,0.015376456101806883
