eta,direct,J,epsilon,G_uM,total_GS_gap,bound
0.1,0,0,0.01,100.0,2.5152881108232023e-09,0.0037625786760090534
0.1,0,0,0.01,123.85989684455544,6.839308391327903e-09,0.0037625786760090534
0.1,0,0,0.01,153.41274046343915,1.686439849205544e-08,0.0037625786760090534
0.1,0,0,0.01,190.0168620844211,3.461688168754362e-08,0.0037625786760090534
0.1,0,0,0.01,235.35468936502514,4.129611265793476e-08,0.0037625786760090534
0.1,0,0,0.01,291.51007546634406,1.8206252179464588e-08,0.0037625786760090534
0.1,0,0,0.01,361.06407876409946,1.5181439888545256e-07,0.0037625786760090534
0.1,0,0,0.01,447.213595499958,3.761357396103726e-07,0.0037625786760090534
0.1,0,0,0.01,553.9182980610753,7.455090547114906e-07,0.0037625786760090534
0.1,0,0,0.01,686.0826325815651,1.1267678660109581e-06,0.0037625786760090534
0.1,0,0,0.01,849.781240983936,1.3712590850589734e-06,0.0037625786760090534
0.1,0,0,0.01,1052.5381684870872,1.4580094893634765e-06,0.0037625786760090534
0.1,0,0,0.01,1303.672689737678,1.4258643322717646e-06,0.0037625786760090534
0.1,0,0,0.01,1614.7276486997293,1.3263898683835151e-06,0.0037625786760090534
0.1,0,0,0.01,2000.0,1.2018809092406713e-06,0.0037625786760090534
0.1,0,0,0.1,100.0,2.6889958989291182e-08,0.03883403898972401
0.1,0,0,0.1,123.85989684455544,7.304504131590284e-08,0.03883403898972401
0.1,0,0,0.1,153.41274046343915,1.8027826395356113e-07,0.03883403898972401
0.1,0,0,0.1,190.0168620844211,3.7250547863312833e-07,0.03883403898972401
0.1,0,0,0.1,235.35468936502514,4.5936972303123325e-07,0.03883403898972401
0.1,0,0,0.1,291.51007546634406,1.510815932567744e-07,0.03883403898972401
0.1,0,0,0.1,361.06407876409946,1.5975261474510116e-06,0.03883403898972401
0.1,0,0,0.1,447.213595499958,4.011808831583252e-06,0.03883403898972401
0.1,0,0,0.1,553.9182980610753,7.852788797335641e-06,0.03883403898972401
0.1,0,0,0.1,686.0826325815651,1.172400266113982e-05,0.03883403898972401
0.1,0,0,0.1,849.781240983936,1.4155839161533734e-05,0.03883403898972401
0.1,0,0,0.1,1052.5381684870872,1.4980269633202425e-05,0.03883403898972401
0.1,0,0,0.1,1303.672689737678,1.4608155721740346e-05,0.03883403898972401
0.1,0,0,0.1,1614.7276486997293,1.3564096530749303e-05,0.03883403898972401
0.1,0,0,0.1,2000.0,1.2274783868893024e-05,0.03883403898972401
0.1,0,0,0.8,100.0,3.8779208548549377e-07,0.4819660112501052
0.1,0,0,0.8,123.85989684455544,1.0393373031453634e-06,0.4819660112501052
0.1,0,0,0.8,153.41274046343915,2.5996372092472204e-06,0.4819660112501052
0.1,0,0,0.8,190.0168620844211,5.7435499116933325e-06,0.4819660112501052
0.1,0,0,0.8,235.35468936502514,9.101682035873165e-06,0.4819660112501052
0.1,0,0,0.8,291.51007546634406,5.006174324362345e-06,0.4819660112501052
0.1,0,0,0.8,361.06407876409946,1.350633771024512e-05,0.4819660112501052
0.1,0,0,0.8,447.213595499958,4.644745661697147e-05,0.4819660112501052
0.1,0,0,0.8,553.9182980610753,8.973163062342415e-05,0.4819660112501052
0.1,0,0,0.8,686.0826325815651,0.00012558718578181693,0.4819660112501052
0.1,0,0,0.8,849.781240983936,0.00014372322409561544,0.4819660112501052
0.1,0,0,0.8,1052.5381684870872,0.0001467160267694112,0.4819660112501052
0.1,0,0,0.8,1303.672689737678,0.0001398194734528735,0.4819660112501052
0.1,0,0,0.8,1614.7276486997293,0.000127893707863036,0.4819660112501052
0.1,0,0,0.8,2000.0,0.00011454616893080694,0.4819660112501052
0.1,0,0.4,0.01,100.0,3.0944628316775596e-11,0.031391874289600635
0.1,0,0.4,0.01,123.85989684455544,8.469945546812847e-11,0.031391874289600635
0.1,0,0.4,0.01,153.41274046343915,2.1522060155365012e-10,0.031391874289600635
0.1,0,0.4,0.01,190.0168620844211,5.038100275780045e-10,0.031391874289600635
0.1,0,0.4,0.01,235.35468936502514,1.0193413631622364e-09,0.031391874289600635
0.1,0,0.4,0.01,291.51007546634406,1.2603630036335522e-09,0.031391874289600635
0.1,0,0.4,0.01,361.06407876409946,3.478904028134805e-09,0.031391874289600635
0.1,0,0.4,0.01,447.213595499958,1.1125517151641673e-08,0.031391874289600635
0.1,0,0.4,0.01,553.9182980610753,4.2665088528792694e-07,0.031391874289600635
0.1,0,0.4,0.01,686.0826325815651,1.3011305123322714e-06,0.031391874289600635
0.1,0,0.4,0.01,849.781240983936,1.423341811523926e-06,0.031391874289600635
0.1,0,0.4,0.01,1052.5381684870872,1.4457378325616332e-06,0.031391874289600635
0.1,0,0.4,0.01,1303.672689737678,1.3828312014352306e-06,0.031391874289600635
0.1,0,0.4,0.01,1614.7276486997293,1.2706051453204026e-06,0.031391874289600635
0.1,0,0.4,0.01,2000.0,1.1427155961474256e-06,0.031391874289600635
0.1,0,0.4,0.1,100.0,3.308569736833635e-10,0.3184595505148419
0.1,0,0.4,0.1,123.85989684455544,9.048303718485351e-10,0.3184595505148419
0.1,0,0.4,0.1,153.41274046343915,2.3006973088471132e-09,0.3184595505148419
0.1,0,0.4,0.1,190.0168620844211,5.4009069337874246e-09,0.3184595505148419
0.1,0,0.4,0.1,235.35468936502514,1.101398207302407e-08,0.3184595505148419
0.1,0,0.4,0.1,291.51007546634406,1.4277214729040144e-08,0.3184595505148419
0.1,0,0.4,0.1,361.06407876409946,3.206831103875346e-08,0.3184595505148419
0.1,0,0.4,0.1,447.213595499958,1.1447741067940886e-07,0.3184595505148419
0.1,0,0.4,0.1,553.9182980610753,4.41997736577715e-06,0.3184595505148419
0.1,0,0.4,0.1,686.0826325815651,1.3449933447318152e-05,0.3184595505148419
0.1,0,0.4,0.1,849.781240983936,1.4640612245320206e-05,0.3184595505148419
0.1,0,0.4,0.1,1052.5381684870872,1.4822244216783353e-05,0.3184595505148419
0.1,0,0.4,0.1,1303.672689737678,1.4148136722624827e-05,0.3184595505148419
0.1,0,0.4,0.1,1614.7276486997293,1.2982560791408027e-05,0.3184595505148419
0.1,0,0.4,0.1,2000.0,1.166455698597968e-05,0.3184595505148419
0.1,0,0.4,0.8,100.0,4.775565304146793e-09,1
0.1,0,0.4,0.8,123.85989684455544,1.289964215665079e-08,1
0.1,0,0.4,0.8,153.41274046343915,3.3217035209192594e-08,1
0.1,0,0.4,0.8,190.0168620844211,8.150207468421086e-08,1
0.1,0,0.4,0.8,235.35468936502514,1.8212715043066621e-07,1
0.1,0,0.4,0.8,291.51007546634406,3.2537324799524966e-07,1
0.1,0,0.4,0.8,361.06407876409946,1.7077651843925082e-07,1
0.1,0,0.4,0.8,447.213595499958,2.838495658233006e-07,1
0.1,0,0.4,0.8,553.9182980610753,4.0260574851846975e-05,1
0.1,0,0.4,0.8,686.0826325815651,0.00013939751181302196,1
0.1,0,0.4,0.8,849.781240983936,0.00014539563298876512,1
0.1,0,0.4,0.8,1052.5381684870872,0.00014311735373939705,1
