eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.0,20.0,0.0,1.0523962886040128e-13,6.938893903907228e-18
0.0,23.361689410840295,0.0,2.0061982131981682e-13,3.469446951953614e-18
0.0,27.288426606428374,0.0,4.023932337511582e-13,3.469446951953614e-18
0.0,31.87518734449451,0.0,8.472263960269261e-13,3.469446951953614e-18
0.0,37.23291133272139,0.0,1.86574892905092e-12,6.938893903907228e-18
0.0,43.49118552081964,0.0,4.277388610408189e-12,6.938893903907228e-18
0.0,50.80137841233114,0.0,1.0151568550619688e-11,1.0408340855860843e-17
0.0,59.34030120557235,0.0,2.4774714072785253e-11,3.469446951953614e-18
0.0,69.31448431551465,0.0,6.165008141576639e-11,6.938893903907228e-18
0.0,80.9651727125807,0.0,1.5454126509311522e-10,6.938893903907228e-18
0.0,94.5741609003176,0.0,3.822665502282302e-10,3.469446951953614e-18
0.0,110.47060866220276,0.0,8.937248137733111e-10,6.938893903907228e-18
0.0,129.0390024296432,0.0,1.7540258507794948e-09,7.37257477290143e-18
0.0,150.72845483229952,0.0,1.4428962399892775e-09,1.3877787807814457e-17
0.0,176.06356735840254,0.0,1.1694346793884869e-08,2.2551405187698492e-17
0.0,205.65711885957793,0.0,9.409539342142281e-08,3.122502256758253e-17
0.0,240.22488679628626,0.0,4.25363838658932e-07,4.163336342344337e-17
0.0,280.60295970445543,0.0,1.2773438710922402e-06,6.245004513516506e-17
0.0,327.76795961890105,0.0,2.536425227891992e-06,7.632783294297951e-17
0.0,382.86066357208045,0.0,3.4651985845179922e-06,8.326672684688674e-17
0.0,447.213595499958,0.0,3.5309546487227728e-06,8.326672684688674e-17
0.0,522.3832559187591,0.0,2.821482318393631e-06,1.0061396160665481e-16
0.0,610.1877689098774,0.0,1.6694104418846223e-06,1.5265566588595902e-16
0.0,712.7508569783073,0.0,3.962132204549107e-07,1.249000902703301e-16
0.0,832.5532074018732,0.0,7.410935608520575e-07,1.5959455978986625e-16
0.0,972.4924724660731,0.0,1.5818706086134782e-06,2.636779683484747e-16
0.0,1135.9533548066277,0.0,2.0783558893899823e-06,2.1510571102112408e-16
0.0,1326.889473009725,0.0,2.272304946648873e-06,5.204170427930421e-16
0.0,1549.918987548337,0.0,2.2488470906578684e-06,7.91033905045424e-16
0.0,1810.4362999534146,0.0,2.095779319755131e-06,4.0245584642661925e-16
0.0,2114.7425268811285,0.0,1.8817045644992092e-06,1.3877787807814457e-16
0.0,2470.1979048446246,0.0,1.6510822578030826e-06,5.967448757360216e-16
0.0,2885.3998118144273,0.0,1.4283881113463792e-06,4.0245584642661925e-16
0.0,3370.3907114852836,0.0,1.22475379638054e-06,5.828670879282072e-16
0.0,3936.9010497450113,0.0,1.0436849456896269e-06,4.579669976578771e-16
0.0,4598.632978267703,0.0,8.849215815676104e-07,3.885780586188048e-16
0.0,5371.591767636877,0.0,7.466701190672609e-07,2.914335439641036e-16
0.0,6274.472925867966,0.0,6.267349721422733e-07,7.771561172376096e-16
0.0,7329.114385542688,0.0,5.230092691155264e-07,2.220446049250313e-16
0.0,8561.024696578494,0.0,4.3363310986421766e-07,3.5388358909926865e-16
0.0,10000.0,0.0,3.5699972211755693e-07,5.967448757360216e-16
0.0001,20.0,4.057036401706321e-11,4.135854308226321e-11,1.3877787807814457e-17
0.0001,23.361689410840295,6.6179913112141e-11,6.781906291978071e-11,1.0408340855860843e-17
0.0001,27.288426606428374,1.1357977701257661e-10,1.171020461317434e-10,6.938893903907228e-18
0.0001,31.87518734449451,2.0461733999874165e-10,2.124556216175598e-10,1.0408340855860843e-17
