G_mM,theta,p0_H,p1_H,p2_H,p3_H,p0_R,p1_R,p2_R,p3_R,UT_H,UR,UT_R
2.000000000000000042e-03,9.987999821362268937e-01,1.728077172648636561e-09,4.314944388605762018e-06,3.591418518310589194e-03,9.964042648092236165e-01,2.368955871569437965e-09,5.051065161820428438e-06,3.589944354127831520e-03,9.964050022117543204e-01,9.264247738872365412e-01,1.113061972357140160e-03,7.910867144736812850e-01
2.021757047530654654e-03,9.987988208373401733e-01,1.733098989858470215e-09,4.323294845454912182e-06,3.594885698991601066e-03,9.964007892730639693e-01,2.375840091530226360e-09,5.060839183031656421e-06,3.593408682093070152e-03,9.964015281028837379e-01,9.256803350602458291e-01,1.113245136619403844e-03,7.904508708038980869e-01
2.043750779619936744e-03,9.987976442656799625e-01,1.738196763478744148e-09,4.331763345266393651e-06,3.598398461679289465e-03,9.963972680367786383e-01,2.382828437270794714e-09,5.070751367883236078e-06,3.596918551738719546e-03,9.963980083140648869e-01,9.249287107191384028e-01,1.113432080617330006e-03,7.898088895147113986e-01
2.065983771046438038e-03,9.987964521973893284e-01,1.743371864786061401e-09,4.340351823912570666e-06,3.601957474068595393e-03,9.963937004307356071e-01,2.389922788624614302e-09,5.080803982148712688e-06,3.600474630099429873e-03,9.963944421759955983e-01,9.241698411493473042e-01,1.113622879924444165e-03,7.891607195935449459e-01
2.088458624598549165e-03,9.987952444049147394e-01,1.748625694783978414e-09,4.349062254583369463e-06,3.605563414869530654e-03,9.963900857742501449e-01,2.397125066172073374e-09,5.090999335270046666e-06,3.604077595209844755e-03,9.963908290083296482e-01,9.234036663435409853e-01,1.113817611548960796e-03,7.885063097775656393e-01
2.111177971379147363e-03,9.987940206569383417e-01,1.753959684959503050e-09,4.357896648619408026e-06,3.609216974008681595e-03,9.963864233753829680e-01,2.404437232287007040e-09,5.101339781346038335e-06,3.607728136310569753e-03,9.963871681194709229e-01,9.226301260048311859e-01,1.114016353958626089e-03,7.878456085564216060e-01
2.134144471113630457e-03,9.987927807183093476e-01,1.759375298059608952e-09,4.366857056362905055e-06,3.612918852833337056e-03,9.963827125307349597e-01,2.411861292192388592e-09,5.111827720115677267e-06,3.611426954047606153e-03,9.963834588063709141e-01,9.218491595501171476e-01,1.114219187105914589e-03,7.871785641750917994e-01
2.157360812461284107e-03,9.987915243499715379e-01,1.764874028901463087e-09,4.375945568048437601e-06,3.616669764327202531e-03,9.963789525252306767e-01,2.419399295078081716e-09,5.122465598010555317e-06,3.615174760691276107e-03,9.963797003543113373e-01,9.210607061135643869e-01,1.114426192453584928e-03,7.865051246368562898e-01
2.180829713330029607e-03,9.987902513088938727e-01,1.770457405186432267e-09,4.385164314683405557e-06,3.620470433316799741e-03,9.963751426319110704e-01,2.427053335211190251e-09,5.133255909177420883e-06,3.618972280339558673e-03,9.963758920366978522e-01,9.202647045502232448e-01,1.114637453000591168e-03,7.858252377063812411e-01
2.204553921194624209e-03,9.987889613479959960e-01,1.776126988354369438e-09,4.394515468977962023e-06,3.624321596693090997e-03,9.963712821117108875e-01,2.434825553111921071e-09,5.144201196573184142e-06,3.622820249141762896e-03,9.963720331148360199e-01,9.194610934397861035e-01,1.114853053308362566e-03,7.851388509129250126e-01
2.228536213418285360e-03,9.987876542160731841e-01,1.781884374459003615e-09,4.404001246291999536e-06,3.628224003634739851e-03,9.963673702132346266e-01,2.442718136750507822e-09,5.155304053068751750e-06,3.626719415519915387e-03,9.963681228377088139e-01,9.186498110904930403e-01,1.115073079527443937e-03,7.844459115536689398e-01
2.252779397577850742e-03,9.987863296577210726e-01,1.787731195063601128e-09,4.413623905597155874e-06,3.632178415832003175e-03,9.963634061725311630e-01,2.450733322773976424e-09,5.166567122573358895e-06,3.630670540391801090e-03,9.963641604417521336e-01,9.178307955431775911e-01,1.115297619424504864e-03,7.837463666971710152e-01
2.277286311792440718e-03,9.987849874132570527e-01,1.793669118171287382e-09,4.423385750476850804e-06,3.636185607720533730e-03,9.963593892128598251e-01,2.458873397784950586e-09,5.177993101209774994e-06,3.634674397406141479e-03,9.963601451506192141e-01,9.170039845754685004e-01,1.115526762409719272e-03,7.830401631869473578e-01
2.302059825055729429e-03,9.987836272186415565e-01,1.799699849176609377e-09,4.433289130141497419e-06,3.640246366715499740e-03,9.963553185444544713e-01,2.467140699644902156e-09,5.189584738500659736e-06,3.638731773175761346e-03,9.963560761749450378e-01,9.161693157061346904e-01,1.115760599564513201e-03,7.823272476451822444e-01
2.327102837571805478e-03,9.987822488053967884e-01,1.805825131849876919e-09,4.443336440477096740e-06,3.644361493453285219e-03,9.963511933642811291e-01,2.475537618824680637e-09,5.201344838597290247e-06,3.642843467519482539e-03,9.963519527121043051e-01,9.153267261995917670e-01,1.115999223669689655e-03,7.816075664765711473e-01
2.352418281094690710e-03,9.987808519005239027e-01,1.812046749350695439e-09,4.453530125120487598e-06,3.648531802037802488e-03,9.963470128557903038e-01,2.484066599788464933e-09,5.213276261530257755e-06,3.647010293705400287e-03,9.963477739459665194e-01,9.144761530705606267e-01,1.116242729233929030e-03,7.808810658722961096e-01
2.378009119271571725e-03,9.987794362264208470e-01,1.818366525261597861e-09,4.463872676545560509e-06,3.652758120284792416e-03,9.963427761886721745e-01,2.492730142417415216e-09,5.225381924489992520e-06,3.651233078698082161e-03,9.963435390466472974e-01,9.136175330888873791e-01,1.116491212522663801e-03,7.801476918141376782e-01
2.403878347989732434e-03,9.987780015007932111e-01,1.824786324676789029e-09,4.474366637216903842e-06,3.657041289986959123e-03,9.963384825185894744e-01,2.501530803498622430e-09,5.237664803171832667e-06,3.655512663421567766e-03,9.963392471702443576e-01,9.127508027845238070e-01,1.116744771587335500e-03,7.794073900787252818e-01
2.430028995727296498e-03,9.987765474365699614e-01,1.831308055293947809e-09,4.485014600724716163e-06,3.661382167164500476e-03,9.963341309869266915e-01,2.510471198223752354e-09,5.250127933106883205e-06,3.659849903010445674e-03,9.963348974585852780e-01,9.118758984526742495e-01,1.117003506295031166e-03,7.786601062419276076e-01
2.456464123907750163e-03,9.987750737418126246e-01,1.837933668561006716e-09,4.495819212985090880e-06,3.665781622335150328e-03,9.963297207205181749e-01,2.519554001757775845e-09,5.262774411061991233e-06,3.664245667077866472e-03,9.963304890389570456e-01,9.109927561591069090e-01,1.117267518358501218e-03,7.779057856833856421e-01
2.483186827258354341e-03,9.987735801196236940e-01,1.844665160853187117e-09,4.506783173464138098e-06,3.670240540786507116e-03,9.963252508313749090e-01,2.528781950857219500e-09,5.275607396478841364e-06,3.668700839989732284e-03,9.963260210238318315e-01,9.101013117456391299e-01,1.117536911366564167e-03,7.771443735911925943e-01
2.510200234172434239e-03,9.987720662680554806e-01,1.851504574675702266e-09,4.517909236417557196e-06,3.674759822846998970e-03,9.963207204164119535e-01,2.538157845517021453e-09,5.288630112921934832e-06,3.673216321134312266e-03,9.963214925105949860e-01,9.092015008357915429e-01,1.117811790814890590e-03,7.763758149667182584e-01
2.537507507075608976e-03,9.987705318800133014e-01,1.858453999920688022e-09,4.529200212191118697e-06,3.679340384173713802e-03,9.963161285571601189e-01,2.547684550688917206e-09,5.301845849593977178e-06,3.677793025207378667e-03,9.963169025812583790e-01,9.082932588406201768e-01,1.118092264137179794e-03,7.756000546295865883e-01
2.565111842796029707e-03,9.987689766431615546e-01,1.865515575140889353e-09,4.540658968519961145e-06,3.683983156031570960e-03,9.963114743194843026e-01,2.557364998035397126e-09,5.315257962867368868e-06,3.682431882494744714e-03,9.963122503021772935e-01,9.073765209647245422e-01,1.118378440736716387e-03,7.748170372228014857e-01
2.593016472938608919e-03,9.987674002398220230e-01,1.872691488889428439e-09,4.552288431905751476e-06,3.688689085595652731e-03,9.963067567532809532e-01,2.567202187760178557e-09,5.328869877887272752e-06,3.687133839171153997e-03,9.963075347237486667e-01,9.064512222124391227e-01,1.118670432018321068e-03,7.740267072180310182e-01
2.621224664263356249e-03,9.987658023468756197e-01,1.879983981076065096e-09,4.564091588989956666e-06,3.693459136243217728e-03,9.963019748921838614e-01,2.577199190473840967e-09,5.342685090187526764e-06,3.691899857594888555e-03,9.963027548801157707e-01,9.055172973942057224e-01,1.118968351420683918e-03,7.732290089210446249e-01
2.649739719067809550e-03,9.987641826356592478e-01,1.887395344378884307e-09,4.576071487985233699e-06,3.698294287860253403e-03,9.962971277532564063e-01,2.587359149121538930e-09,5.356707167355316082e-06,3.696730916610233529e-03,9.962979097888631230e-01,9.045746811331337733e-01,1.119272314449090830e-03,7.724238864773116386e-01
2.678564975573620183e-03,9.987625407718603299e-01,1.894927925701186479e-09,4.588231240146981600e-06,3.703195537154939290e-03,9.962922143366770289e-01,2.597685280982958591e-09,5.370939750757085768e-06,3.701628011861769155e-03,9.962929984507020720e-01,9.036233078717499367e-01,1.119582438708536338e-03,7.716112838777615668e-01
2.707703808317373645e-03,9.987608764154112251e-01,1.902584127664702302e-09,4.600574021269410836e-06,3.708163897971402962e-03,9.962872336254231520e-01,2.608180879722613848e-09,5.385386557293853916e-06,3.706592156109180577e-03,9.962880198491526063e-01,9.026631118789368857e-01,1.119898843937226340e-03,7.707911449647054658e-01
2.737159628545621226e-03,9.987591892203806498e-01,1.910366410153674673e-09,4.613103073228278303e-06,3.713200401612363425e-03,9.962821845849479940e-01,2.618849317502952433e-09,5.400051381201580187e-06,3.711624379547656932e-03,9.962829729502218346e-01,9.016940272570708181e-01,1.120221652040469381e-03,7.699634134379258477e-01
2.766935884614248921e-03,9.987574788348601018e-01,1.918277291920563086e-09,4.625821705586068975e-06,3.718306097176646719e-03,9.962770661628405078e-01,2.629694047187489027e-09,5.414938095932278600e-06,3.716725730145766914e-03,9.962778567020642573e-01,9.007159879493523702e-01,1.120550987124958701e-03,7.691280328609350070e-01
2.797036062392164492e-03,9.987557449008542809e-01,1.926319352213351915e-09,4.638733297193729275e-06,3.723482051884712853e-03,9.962718772884987528e-01,2.640718604568238445e-09,5.430050656023764832e-06,3.721897273968858503e-03,9.962726700346564712e-01,8.997289277473385916e-01,1.120886975533439810e-03,7.682849466674014360e-01
