G_mM,U_observed,U_predicted,success
2.000000000000000042e-02,2.970000000000000195e+00,2.992346346383893962e+00,1.000000000000000000e+00
1.000000000000000056e-01,2.859999999999999876e+00,2.916741947911924537e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.759999999999999787e+00,2.655327681607890788e+00,1.000000000000000000e+00
2.999999999999999889e-01,2.339999999999999858e+00,2.426177498297485080e+00,1.000000000000000000e+00
4.000000000000000222e-01,2.120000000000000107e+00,2.111985128509372700e+00,1.000000000000000000e+00
5.000000000000000000e-01,1.899999999999999911e+00,1.835020208426195953e+00,1.000000000000000000e+00
5.999999999999999778e-01,1.620000000000000107e+00,1.622322797893861690e+00,1.000000000000000000e+00
8.000000000000000444e-01,1.250000000000000000e+00,1.290125909303008633e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.040000000000000036e+00,1.059973840840588100e+00,1.000000000000000000e+00
1.300000000000000044e+00,8.499999999999999778e-01,8.481946681904353191e-01,1.000000000000000000e+00
2.000000000000000000e+00,6.500000000000000222e-01,6.285659697024221781e-01,1.000000000000000000e+00
1.000000000000000000e+01,4.500000000000000111e-01,4.468018709408322353e-01,1.000000000000000000e+00
