PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,1.499999999999999944e-02,2.800000000000000266e-01,9.170608752893987248e-01,2.669410269061842089e-02
5.000000000000000000e-01,1.499999999999999944e-02,3.071471141608240196e-01,9.170608752893987248e-01,2.659938712121540094e-02
5.000000000000000000e-01,1.499999999999999944e-02,3.369262490618652461e-01,9.170608752893987248e-01,2.650409868986938755e-02
5.000000000000000000e-01,1.499999999999999944e-02,3.695925895870819655e-01,9.170608752893988358e-01,2.640864538535067640e-02
5.000000000000000000e-01,1.499999999999999944e-02,4.054260618103502356e-01,9.170608752893988358e-01,2.631343798288968139e-02
5.000000000000000000e-01,1.499999999999999944e-02,4.447337317522747635e-01,9.170608752893988358e-01,2.621888297495150733e-02
5.000000000000000000e-01,1.499999999999999944e-02,4.878524367060187439e-01,9.170608752893988358e-01,2.612679064193984546e-02
5.000000000000000000e-01,1.499999999999999944e-02,5.351516716806418161e-01,9.170608752893987248e-01,2.603979187049718091e-02
5.000000000000000000e-01,1.499999999999999944e-02,5.870367556966068490e-01,9.170608752893988358e-01,2.595445361563128439e-02
5.000000000000000000e-01,1.499999999999999944e-02,6.439523050662339099e-01,9.170608752893987248e-01,2.587108487913453159e-02
5.000000000000000000e-01,1.499999999999999944e-02,7.063860434225154306e-01,9.170608752893988358e-01,2.578996393017077282e-02
5.000000000000000000e-01,1.499999999999999944e-02,7.748729811453863858e-01,9.170608752893987248e-01,2.571133534478992066e-02
5.000000000000000000e-01,1.499999999999999944e-02,8.499999999999999778e-01,9.170608752893988358e-01,2.563540805510269860e-02
5.000000000000000000e-01,2.065174747290344712e-02,2.800000000000000266e-01,8.976352963037954602e-01,2.429263538846429538e-02
5.000000000000000000e-01,2.065174747290344712e-02,3.071471141608240196e-01,8.976352963037955712e-01,2.421274771395764969e-02
5.000000000000000000e-01,2.065174747290344712e-02,3.369262490618652461e-01,8.976352963037955712e-01,2.413240437414274076e-02
5.000000000000000000e-01,2.065174747290344712e-02,3.695925895870819655e-01,8.976352963037954602e-01,2.405194947414462936e-02
5.000000000000000000e-01,2.065174747290344712e-02,4.054260618103502356e-01,8.976352963037955712e-01,2.397172899969038373e-02
5.000000000000000000e-01,2.065174747290344712e-02,4.447337317522747635e-01,8.976352963037955712e-01,2.389208486908539486e-02
5.000000000000000000e-01,2.065174747290344712e-02,4.878524367060187439e-01,8.976352963037955712e-01,2.381334913519436713e-02
5.000000000000000000e-01,2.065174747290344712e-02,5.351516716806418161e-01,8.976352963037955712e-01,2.373583854472502419e-02
5.000000000000000000e-01,2.065174747290344712e-02,5.870367556966068490e-01,8.976352963037955712e-01,2.365984964005263258e-02
