G_mM,U_observed,U_strict_transfer
2.000000000000000042e-02,2.970000000000000195e+00,2.893765638224431669e+00
1.000000000000000056e-01,2.859999999999999876e+00,2.403812877353231237e+00
2.000000000000000111e-01,2.759999999999999787e+00,1.861899566638683279e+00
2.999999999999999889e-01,2.339999999999999858e+00,1.597247415384113634e+00
4.000000000000000222e-01,2.120000000000000107e+00,1.465975615833939649e+00
5.000000000000000000e-01,1.899999999999999911e+00,1.393717347226957948e+00
5.999999999999999778e-01,1.620000000000000107e+00,1.350074749227002435e+00
8.000000000000000444e-01,1.250000000000000000e+00,1.302224716143224992e+00
1.000000000000000000e+00,1.040000000000000036e+00,1.277753864053057242e+00
1.300000000000000044e+00,8.499999999999999778e-01,1.258354330637976304e+00
2.000000000000000000e+00,6.500000000000000222e-01,1.239917804464198525e+00
1.000000000000000000e+01,4.500000000000000111e-01,1.221506563996026085e+00
