draw,model,n_0p5,n_5,n_36
0.000000000000000000e+00,0.000000000000000000e+00,3.509521813439713700e+00,3.730557606515273683e+00,4.717331346176905527e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.534391634590997366e+00,2.598241801044596233e+00,3.113587309675326154e+00
0.000000000000000000e+00,2.000000000000000000e+00,5.523263318359176388e+00,6.054929599295602038e+00,5.943234459518134116e+00
0.000000000000000000e+00,3.000000000000000000e+00,3.509521813439704374e+00,3.730557606514397495e+00,4.717331346176939277e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.976472331323016807e+00,4.239501467613789210e+00,4.874808743882748985e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.813983009415940373e+00,2.890439019812059307e+00,3.364226185612376963e+00
1.000000000000000000e+00,2.000000000000000000e+00,6.374216315530341959e+00,6.926419007713230158e+00,5.817371102414719886e+00
1.000000000000000000e+00,3.000000000000000000e+00,3.976472331323016807e+00,4.239501467614620545e+00,4.874808743882676154e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.414477738302347465e+00,3.623505427502550447e+00,4.740082159915917082e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.406300663501773407e+00,2.471464848597356934e+00,3.097732874525596092e+00
2.000000000000000000e+00,2.000000000000000000e+00,5.498720616954010154e+00,5.964656066884838737e+00,6.001552230707008384e+00
2.000000000000000000e+00,3.000000000000000000e+00,3.414477738301578302e+00,3.623505427501753751e+00,4.740082159915942839e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.505562256582126501e+00,3.735577723102212033e+00,5.143230429289006977e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.479161067971268562e+00,2.556368617338498517e+00,3.409928105420948707e+00
3.000000000000000000e+00,2.000000000000000000e+00,5.641424140022150091e+00,6.125957090002565941e+00,6.355714104036793266e+00
3.000000000000000000e+00,3.000000000000000000e+00,3.505562256582126501e+00,3.735577723102212921e+00,5.143230429288975003e+00
4.000000000000000000e+00,0.000000000000000000e+00,3.388743484064697942e+00,3.579542581413643454e+00,4.232623857920111199e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.417159002361127573e+00,2.468989888916429010e+00,2.800319969178692858e+00
4.000000000000000000e+00,2.000000000000000000e+00,5.392093056027934317e+00,5.842072308452632257e+00,5.410472712630051362e+00
4.000000000000000000e+00,3.000000000000000000e+00,3.388743484065075862e+00,3.579542581413885038e+00,4.232623857920361665e+00
5.000000000000000000e+00,0.000000000000000000e+00,3.867690545387676870e+00,4.130656884519727789e+00,5.298575957778673740e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.706615791560697204e+00,2.789589785180363712e+00,3.565436662370353726e+00
5.000000000000000000e+00,2.000000000000000000e+00,6.264026059408446478e+00,6.819001917825736392e+00,6.394803338939645698e+00
5.000000000000000000e+00,3.000000000000000000e+00,3.867690545387676870e+00,4.130656884520613303e+00,5.298575957778672851e+00
6.000000000000000000e+00,0.000000000000000000e+00,3.401819732232902460e+00,3.616499174472345146e+00,4.921447660155608972e+00
6.000000000000000000e+00,1.000000000000000000e+00,2.397763584612131016e+00,2.469058591335785646e+00,3.235440317044224745e+00
6.000000000000000000e+00,2.000000000000000000e+00,5.486746284332412849e+00,5.944251082957937804e+00,6.173733922185637546e+00
6.000000000000000000e+00,3.000000000000000000e+00,3.401819732232902460e+00,3.616499174473195577e+00,4.921447660155549464e+00
7.000000000000000000e+00,0.000000000000000000e+00,3.689496543516380456e+00,3.900000021688568186e+00,4.429927071963032148e+00
7.000000000000000000e+00,1.000000000000000000e+00,2.546252966819060326e+00,2.606865822664868659e+00,2.980755254577898583e+00
7.000000000000000000e+00,2.000000000000000000e+00,6.030505931836307454e+00,6.447603322243138813e+00,5.441728463053713050e+00
7.000000000000000000e+00,3.000000000000000000e+00,3.689496543517414295e+00,3.900000021687567653e+00,4.429927071962444174e+00
8.000000000000000000e+00,0.000000000000000000e+00,3.321948221150311298e+00,3.506218950735229711e+00,4.364509513903669813e+00
8.000000000000000000e+00,1.000000000000000000e+00,2.293907821897509525e+00,2.350775473824590289e+00,2.840011513248829278e+00
8.000000000000000000e+00,2.000000000000000000e+00,5.431241634917697070e+00,5.813551880540638983e+00,5.566293846270304435e+00
8.000000000000000000e+00,3.000000000000000000e+00,3.321948221150311298e+00,3.506218950736173401e+00,4.364509513903671589e+00
9.000000000000000000e+00,0.000000000000000000e+00,3.757536089469230234e+00,4.033884586000405115e+00,5.824141265954893676e+00
9.000000000000000000e+00,1.000000000000000000e+00,2.720549755557052585e+00,2.811583073008394162e+00,3.912026489746728508e+00
9.000000000000000000e+00,2.000000000000000000e+00,5.917298877370569699e+00,6.557358427381313248e+00,7.060469876801972688e+00
