G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,9.236151410597881775e-17,1.993735311295192004e-16,6.297751559819080061e-14
1.010803336220382749e-08,9.336018759504593646e-17,2.015292531921449356e-16,6.365844359210701712e-14
1.021723384514257942e-08,9.436837377858639885e-17,2.037055524088815591e-16,6.434593304873438013e-14
1.032761405761394785e-08,9.538777325002559309e-17,2.059060350850886830e-16,6.504101428039943517e-14
1.043918674463272197e-08,9.641822657872990908e-17,2.081304890851569258e-16,6.574368728710216963e-14
1.055196478890237068e-08,9.745989319533295691e-17,2.103789144090862873e-16,6.645389784187804642e-14
1.066596121230254167e-08,9.851266681274565909e-17,2.126515231924861739e-16,6.717175439865616495e-14
1.078118917739266564e-08,9.957649428742348300e-17,2.149481032997471547e-16,6.789714850350742581e-14
1.089766198893160955e-08,1.006515881935445837e-16,2.172684425952598972e-16,6.863018861036092842e-14
1.101539309541414140e-08,1.017393302632671168e-16,2.196165716556027525e-16,6.937185080457865599e-14
1.113439609062360287e-08,1.028381793337992919e-16,2.219886720398067512e-16,7.012115900079863793e-14
1.125468471520154573e-08,1.039482416922302235e-16,2.243847437478718933e-16,7.087800474509174957e-14
1.137627285823429072e-08,1.050708990707180302e-16,2.268081809495483354e-16,7.164358103067821084e-14
1.149917455885663058e-08,1.062064171869854368e-16,2.292591957804455825e-16,7.241783363059345941e-14
1.162340400787285095e-08,1.073545303233097184e-16,2.317377882405635853e-16,7.320070831787293293e-14
1.174897554939526761e-08,1.085138567475327443e-16,2.342403520245427069e-16,7.399117478019009849e-14
1.187590368250046211e-08,1.096858844789017474e-16,2.367702813021332025e-16,7.479031755683606396e-14
1.200420306290341755e-08,1.109151478077444228e-16,2.394238856399983599e-16,7.562855797492612198e-14
1.213388850464973329e-08,1.121126312969499009e-16,2.420087580404209358e-16,7.644505338022964942e-14
1.226497498182612357e-08,1.133228692368458889e-16,2.446212080700643167e-16,7.727022509986197677e-14
1.239747763028944008e-08,1.145473496466796199e-16,2.472642056274599451e-16,7.810515767311417406e-14
1.253141174941415222e-08,1.157830433444120951e-16,2.499315987799354063e-16,7.894773624836863833e-14
1.266679280385915192e-08,1.170345206748740792e-16,2.526331457655228013e-16,7.980105176260495575e-14
1.280363642535318994e-08,1.182972644367793400e-16,2.553588762105806474e-16,8.066206750580808987e-14
1.294195841449984185e-08,1.195741975250777866e-16,2.581153663190001720e-16,8.153278987566654421e-14
1.308177474260191939e-08,1.208654793704030908e-16,2.609028282263906582e-16,8.241327309914489372e-14
