G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,2.604487569970357523e-12,3.858423776327669100e-12,8.971168590051904317e-11
1.010803336220382749e-08,2.632624735737222026e-12,3.900107641052308842e-12,9.068087178364496851e-11
1.021723384514257942e-08,2.661065859985623499e-12,3.942241806652795362e-12,9.166052753234213588e-11
1.032761405761394785e-08,2.689814236024305192e-12,3.984831150416693801e-12,9.265076664226450369e-11
1.043918674463272197e-08,2.718873194956892997e-12,4.027880611196210226e-12,9.365170369411049242e-11
1.055196478890237068e-08,2.748246107399846585e-12,4.071395175727156625e-12,9.466345489614527382e-11
1.066596121230254167e-08,2.777936319918335131e-12,4.115379803383284689e-12,9.568613558859841379e-11
1.078118917739266564e-08,2.807947299333977458e-12,4.159839634812006288e-12,9.671986501785966576e-11
1.089766198893160955e-08,2.838282491853000533e-12,4.204779773037900580e-12,9.776476199630098025e-11
1.101539309541414140e-08,2.868945419271398627e-12,4.250205430533791149e-12,9.882094788614888215e-11
1.113439609062360287e-08,2.899939605103116338e-12,4.296121836873793505e-12,9.988854394112541009e-11
1.125468471520154573e-08,2.931268612374930429e-12,4.342534259254856672e-12,1.009676728797626892e-10
1.137627285823429072e-08,2.962936096882878979e-12,4.389448125626045841e-12,1.020584607299785644e-10
1.149917455885663058e-08,2.994945676628115006e-12,4.436868788690753515e-12,1.031610321633852286e-10
1.162340400787285095e-08,3.027301089868241173e-12,4.484801785846293347e-12,1.042755157577550884e-10
1.174897554939526761e-08,3.060006031912128126e-12,4.533252592925337258e-12,1.054020388430593456e-10
1.187590368250046211e-08,3.093064313171246783e-12,4.582226853353190429e-12,1.065407327639338503e-10
1.200420306290341755e-08,3.126480670031723230e-12,4.631731588919030969e-12,1.076917606025658564e-10
1.213388850464973329e-08,3.160257085007010153e-12,4.681769734204018476e-12,1.088551907167584001e-10
1.226497498182612357e-08,3.194398392406341103e-12,4.732348447807642240e-12,1.100311894980844423e-10
1.239747763028944008e-08,3.228908536641230807e-12,4.783473574950413246e-12,1.112198929026189227e-10
1.253141174941415222e-08,3.263791503353974872e-12,4.835151022417483398e-12,1.124214381342379339e-10
1.266679280385915192e-08,3.299051334879196296e-12,4.887386775659931796e-12,1.136359645669065699e-10
1.280363642535318994e-08,3.334692075269466390e-12,4.940186826969351401e-12,1.148636113575810169e-10
1.294195841449984185e-08,3.370717861346617379e-12,4.993557308867907327e-12,1.161045211353598458e-10
1.308177474260191939e-08,3.407132852265821245e-12,5.047504377819565632e-12,1.173588371261160823e-10
1.322310155350558197e-08,3.443941246695083347e-12,5.102034251852932485e-12,1.186267038577761864e-10
1.336595516546439315e-08,3.481147277661395063e-12,5.157153207140998046e-12,1.199082671603199497e-10
1.351035207302348917e-08,3.518755279550753468e-12,5.212867663507575905e-12,1.212036763901218042e-10
1.365630894892413254e-08,3.556769560979916835e-12,5.269184003153645328e-12,1.225130798727638727e-10
1.380384264602880616e-08,3.595194513027209229e-12,5.326108734829723546e-12,1.238366290804573975e-10
1.395297019926713753e-08,3.634034604078669925e-12,5.383648469894059158e-12,1.251744776012502760e-10
1.410370882760287634e-08,3.673294276751100600e-12,5.441809795763097395e-12,1.265267787519293195e-10
1.425607593602187581e-08,3.712978097353649202e-12,5.500599477706686736e-12,1.278936896469371177e-10
1.441008911754205393e-08,3.753090645939059056e-12,5.560024301516221285e-12,1.292753680517428679e-10
1.456576615524456523e-08,3.793636524893412035e-12,5.620091080345158674e-12,1.306719725998514251e-10
1.472312502432717075e-08,3.834620448269494870e-12,5.680806805200358975e-12,1.320836656139188848e-10
1.488218389417973511e-08,3.876047116376496494e-12,5.742178429465847935e-12,1.335106089283313614e-10
1.504296113048215179e-08,3.917921341190312313e-12,5.804213091219568408e-12,1.349529683921395395e-10
1.520547529732492484e-08,3.960247953584275620e-12,5.866917945640755177e-12,1.364109103969163800e-10
1.536974515935267838e-08,4.003031844559947763e-12,5.930300233415084080e-12,1.378846033958193592e-10
1.553578968393079411e-08,4.046278229811299452e-12,5.994367684325091696e-12,1.393742269637120484e-10
1.570362804333547951e-08,4.089991521032043375e-12,6.059126834483357169e-12,1.408799331153278886e-10
1.587327961696749174e-08,4.134177047300803410e-12,6.124585581265046298e-12,1.424019054944472388e-10
1.604476399358976711e-08,4.178839931542289757e-12,6.190751507381612877e-12,1.439403204750523848e-10
1.621810097358929678e-08,4.223985332758147347e-12,6.257632260529406130e-12,1.454953557874312516e-10
1.639331057126312649e-08,4.269618449462854083e-12,6.325235539708643791e-12,1.470671904096729169e-10
1.657041301712966784e-08,4.315744554042707260e-12,6.393569160208305917e-12,1.486560060867298760e-10
1.674942876026435533e-08,4.362368982448124808e-12,6.462641019403559116e-12,1.502619865166347826e-10
1.693037847066086977e-08,4.409497104988513506e-12,6.532459076234210915e-12,1.518853166452213915e-10
1.711328304161777934e-08,4.457134367563043794e-12,6.603031402508572617e-12,1.535261841851869526e-10
1.729816359215098208e-08,4.505286277917062479e-12,6.674366155541400622e-12,1.551847788023087968e-10
1.748504146943220458e-08,4.553958379872850292e-12,6.746471547371576771e-12,1.568612914644176248e-10
1.767393825125384796e-08,4.603156294560404788e-12,6.819355906326744422e-12,1.585559157977031722e-10
1.786487574852045919e-08,4.652885723853339389e-12,6.893027677023311681e-12,1.602688480867141580e-10
1.805787600776711890e-08,4.703152398830403348e-12,6.967495351961296617e-12,1.620002858638005050e-10
1.825296131370504335e-08,4.753962426801236934e-12,7.042767977722472662e-12,1.637504394648370967e-10
1.845015419179473489e-08,4.805321061254694707e-12,7.118853338813501029e-12,1.655194898209930913e-10
1.864947741084663119e-08,4.857234540064561295e-12,7.195760673350588542e-12,1.673076518253302964e-10
1.885095398565047415e-08,4.909708850284027318e-12,7.273498856902623292e-12,1.691151316905545384e-10
1.905460717963245561e-08,4.962750076889392071e-12,7.352076895008284222e-12,1.709421389387573378e-10
1.926046050754137716e-08,5.016364320318497729e-12,7.431503834249347995e-12,1.727888839058136295e-10
1.946853773816378780e-08,5.070557760034854025e-12,7.511788823815316988e-12,1.746555792604440018e-10
1.967886289706841371e-08,5.125336673425077748e-12,7.592941163387043792e-12,1.765424413062680151e-10
1.989146026938029701e-08,5.180707396286060588e-12,7.674970238151819632e-12,1.784496881914810051e-10
2.010635440258483220e-08,5.236676295337781606e-12,7.757885488021057946e-12,1.803775393120793310e-10
2.032357010936216664e-08,5.293249845531023255e-12,7.841696496557003677e-12,1.823262176447062618e-10
2.054313247045216382e-08,5.350434585380691049e-12,7.926412956770147808e-12,1.842959485531029630e-10
2.076506683755035602e-08,5.408237740581397115e-12,8.012045563806502129e-12,1.862869806209626751e-10
2.098939883623517111e-08,5.466664736416922464e-12,8.098602362112317648e-12,1.882995010184604237e-10
2.121615436892684360e-08,5.525722927428072849e-12,8.186094248628817613e-12,1.903337629949807823e-10
2.144535961787794055e-08,5.585419128719587002e-12,8.274531319956907846e-12,1.923900011913953133e-10
