G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,1.118242385777741508e-13,1.954368016247602547e-13,1.902085202508048778e-11
1.010803336220382749e-08,1.130323139003531720e-13,1.975481719483935549e-13,1.922634100793602776e-11
1.021723384514257942e-08,1.142534395461057218e-13,1.996823508608608149e-13,1.943404933100254435e-11
1.032761405761394785e-08,1.154877579370754640e-13,2.018395864499996702e-13,1.964400215182671320e-11
1.043918674463272197e-08,1.167354109638804849e-13,2.040201272280922586e-13,1.985622264896716029e-11
1.055196478890237068e-08,1.179965417925602085e-13,2.062242236174211923e-13,2.007073595286113196e-11
1.066596121230254167e-08,1.192712972028477115e-13,2.084521315580481931e-13,2.028756670597621460e-11
1.078118917739266564e-08,1.205598249310419632e-13,2.107041095367022484e-13,2.050674006585908389e-11
1.089766198893160955e-08,1.218622743077186396e-13,2.129804185867796872e-13,2.072828167802606575e-11
1.101539309541414140e-08,1.231787928566065143e-13,2.152813169827872332e-13,2.095221621205417266e-11
1.113439609062360287e-08,1.245095347973961653e-13,2.176070731859006984e-13,2.117856977431996441e-11
1.125468471520154573e-08,1.258546517989355459e-13,2.199579533228509685e-13,2.140736898627907709e-11
1.137627285823429072e-08,1.272143019071791076e-13,2.223342332825934646e-13,2.163864000852691943e-11
1.149917455885663058e-08,1.285886405109535668e-13,2.247361840729712897e-13,2.187240946251912430e-11
1.162340400787285095e-08,1.299778268253495390e-13,2.271640845540517339e-13,2.210870445768099100e-11
1.174897554939526761e-08,1.313820202780277847e-13,2.296182133736797984e-13,2.234755210343780587e-11
1.187590368250046211e-08,1.328013847606236761e-13,2.320988568197022057e-13,2.258898002429394132e-11
1.200420306290341755e-08,1.342361578203517989e-13,2.346064297866635325e-13,2.283302912837216655e-11
1.213388850464973329e-08,1.356863541245569344e-13,2.371409585901256931e-13,2.307970190973960761e-11
1.226497498182612357e-08,1.371522185541261095e-13,2.397028702213027008e-13,2.332903930362845656e-11
1.239747763028944008e-08,1.386339192520989108e-13,2.422924594569324079e-13,2.358107085931228331e-11
1.253141174941415222e-08,1.401316271249277195e-13,2.449100248937534141e-13,2.383582468926511052e-11
1.266679280385915192e-08,1.416455147796266581e-13,2.475558678873939999e-13,2.409333088494901699e-11
1.280363642535318994e-08,1.431757576929077291e-13,2.502302948868169270e-13,2.435361902274699874e-11
1.294195841449984185e-08,1.447225325106190988e-13,2.529336150998745367e-13,2.461671916701169879e-11
1.308177474260191939e-08,1.462860174728855394e-13,2.556661398566419595e-13,2.488266192428427553e-11
1.322310155350558197e-08,1.478663939020999741e-13,2.584281862171956482e-13,2.515147733180795236e-11
