G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,1.118248034489776189e-13,1.954378194445283136e-13,1.902099728645576716e-11
1.010803336220382749e-08,1.130328830230926130e-13,1.975491973014244974e-13,1.922648727187233321e-11
1.021723384514257942e-08,1.142540154723734777e-13,1.996833882049621274e-13,1.943419751921507029e-11
1.032761405761394785e-08,1.154883403491783029e-13,2.018406353618786632e-13,1.964415172212162578e-11
1.043918674463272197e-08,1.167359992252823521e-13,2.040211870722463986e-13,1.985637406219930375e-11
1.055196478890237068e-08,1.179971374987250650e-13,2.062252967294724114e-13,2.007088912769678996e-11
1.066596121230254167e-08,1.192718998235501089e-13,2.084532170902969880e-13,2.028772164240989092e-11
1.078118917739266564e-08,1.205604342549248856e-13,2.107052070659065934e-13,2.050689670966636227e-11
1.089766198893160955e-08,1.218628883165911442e-13,2.129815249308208761e-13,2.072843945990339864e-11
1.101539309541414140e-08,1.231794144214061161e-13,2.152824365995616855e-13,2.095237583684093865e-11
1.113439609062360287e-08,1.245101617936733926e-13,2.176082031055383258e-13,2.117873118779156950e-11
1.125468471520154573e-08,1.258552872039399588e-13,2.199590977910526345e-13,2.140753216132029201e-11
1.137627285823429072e-08,1.272149437027736582e-13,2.223353891172938783e-13,2.163880486380360133e-11
1.149917455885663058e-08,1.285892898675684036e-13,2.247373538221203668e-13,2.187257621490074624e-11
1.162340400787285095e-08,1.299784818311604672e-13,2.271652648233893342e-13,2.210887278184845252e-11
1.174897554939526761e-08,1.313826838040549160e-13,2.296194081967396788e-13,2.234772246024528238e-11
1.187590368250046211e-08,1.328020545762159341e-13,2.321000634389193406e-13,2.258915235951645756e-11
1.200420306290341755e-08,1.342368252114869205e-13,2.346076327111565856e-13,2.283320167989085829e-11
1.213388850464973329e-08,1.356870286582540194e-13,2.371421743745794933e-13,2.307987608723836310e-11
1.226497498182612357e-08,1.371529016134718095e-13,2.397041012015304505e-13,2.332921578483658205e-11
1.239747763028944008e-08,1.386346088190710107e-13,2.422937022387602241e-13,2.358124885805005029e-11
1.253141174941415222e-08,1.401323243700725385e-13,2.449112811763573440e-13,2.383600488326168952e-11
1.266679280385915192e-08,1.416462206609354911e-13,2.475571397944095622e-13,2.409351321997902887e-11
1.280363642535318994e-08,1.431764702986891371e-13,2.502315792363378903e-13,2.435380317349073234e-11
1.294195841449984185e-08,1.447232531177507576e-13,2.529349135911227400e-13,2.461690537744731009e-11
1.308177474260191939e-08,1.462867471456905801e-13,2.556674546132992181e-13,2.488285008596731671e-11
1.322310155350558197e-08,1.478671307289342136e-13,2.584295140574025829e-13,2.515166766160700790e-11
1.336595516546439315e-08,1.494645879533035574e-13,2.612214130157485046e-13,2.542338941575252349e-11
1.351035207302348917e-08,1.510793029046205107e-13,2.640434736417641234e-13,2.569804663268057395e-11
1.365630894892413254e-08,1.527114626446902406e-13,2.668960225455445219e-13,2.597567111174695258e-11
1.380384264602880616e-08,1.543612555107392897e-13,2.697793890960744636e-13,2.625629495051112676e-11
1.395297019926713753e-08,1.560288712217007621e-13,2.726939052090061798e-13,2.653995040918912362e-11
1.410370882760287634e-08,1.577145026850612002e-13,2.756399076811043207e-13,2.682667026307604020e-11
1.425607593602187581e-08,1.594183442962988435e-13,2.786177360680233188e-13,2.711648758567065405e-11
1.441008911754205393e-08,1.611405928954495465e-13,2.816277345943078122e-13,2.740943588422254727e-11
1.456576615524456523e-08,1.628814485111027033e-13,2.846702532145041658e-13,2.770554915395095543e-11
1.472312502432717075e-08,1.646411097901411714e-13,2.877456386998244351e-13,2.800486122741856401e-11
1.488218389417973511e-08,1.664197826068357705e-13,2.908542507670400254e-13,2.830740707578391879e-11
1.504296113048215179e-08,1.682176697531889165e-13,2.939964438273651427e-13,2.861322123645475777e-11
1.520547529732492484e-08,1.700349813548760471e-13,2.971725856620180724e-13,2.892233943965353141e-11
1.536974515935267838e-08,1.718719249867298240e-13,3.003830383222152721e-13,2.923479690052361060e-11
1.553578968393079411e-08,1.737287567958811914e-13,3.036282502336428683e-13,2.955063734656789059e-11
1.570362804333547951e-08,1.756056060250318989e-13,3.069084465641441363e-13,2.986988265509252882e-11
1.587327961696749174e-08,1.775027304155895971e-13,3.102240782860726704e-13,3.019257671625696740e-11
1.604476399358976711e-08,1.794203505091711997e-13,3.135755307950961600e-13,3.051875699528687491e-11
1.621810097358929678e-08,1.813586881228149958e-13,3.169631911846606570e-13,3.084846125561159723e-11
1.639331057126312649e-08,1.833179648609890033e-13,3.203874471848790548e-13,3.118172717933218583e-11
