G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.002689960744536383e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.005387157377885335e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.008091609364294573e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.010803336220382749e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.013522357515263879e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.016248692870695240e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.018982361961205588e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.021723384514257942e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.024471780310377965e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.027227569183303684e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.029990771020114033e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.032761405761394785e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.035539493401370573e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.038325053988039219e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.041118107623337505e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.043918674463272197e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.046726774718072413e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.049542428652320977e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.052365656585122999e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.055196478890237068e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.058034915996230429e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.060880988386611002e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.063734716599997778e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.066596121230254167e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.069465222926643998e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.072342042393965362e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.075226600392722990e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.078118917739266564e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.081019015305929019e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.083926914021201242e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.086842634869866741e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.089766198893160955e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.092697627188908072e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.095636940911696230e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.098584161273014489e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.101539309541414140e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.104502407042646177e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.107473475159838812e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.110452535333639917e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.113439609062360287e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.116434717902151985e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.119437883467148299e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.122449127429627689e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.125468471520154573e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.128495937527759156e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.131531547300079542e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.134575322743527331e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.137627285823429072e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.140687458564209562e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.143755863049534289e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.146832521422477018e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.149917455885663058e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.153010688701454718e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.156112242192098543e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.159222138739875365e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.162340400787285095e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.165467050837193633e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.168602111453002435e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.171745605258795425e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.174897554939526761e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.178057983241167913e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.181226912970880538e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.184404366997164217e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.187590368250046211e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.190784939721234654e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.193988104464271911e-08,4.765833126662610601e-21,6.956200292582135975e-21,3.513706987812257214e-19
1.197199885594726323e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.200420306290341755e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.203649389791213458e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.206887159399939113e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.210133638481812059e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.213388850464973329e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.216652818840588665e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.219925567163001550e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.223207119049928421e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.226497498182612357e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.229796728306002084e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.233104833228906656e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.236421836824192657e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.239747763028944008e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.243082635844620790e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.246426479337259751e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.249779317637629981e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.253141174941415222e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.256512075509372027e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.259892043667530433e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.263281103807352118e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.266679280385915192e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.270086597926073016e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.273503081016658188e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.276928754312645988e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.280363642535318994e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.283807770472472877e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.287261162978576714e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.290723844974962247e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.294195841449984185e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.297677177459229157e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.301167878125677669e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.304667968639894358e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.308177474260191939e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.311696420312840809e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.315224832192238296e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.318762735361077228e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.322310155350558197e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.325867117760555321e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.329433648259809971e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.333009772586096868e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.336595516546439315e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.340190906017274803e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.343795966944653032e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.347410725344402838e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.351035207302348917e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.354669438974481230e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.358313446587153026e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.361967256437250753e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.365630894892413254e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.369304388391207131e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.372987763443303269e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.376681046629697024e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.380384264602880616e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.384097444087045452e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.387820611878255172e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.391553794844668496e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.395297019926713753e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.399050314137292704e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.402813704561955733e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.406587218359127508e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.410370882760287634e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.414164725070152466e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.417968772666901759e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.421783053002356678e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.425607593602187581e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.429442422066093026e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.433287566068028402e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.437143053356385923e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.441008911754205393e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.444885169159353872e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.448771853544757945e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.452668992958590171e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.456576615524456523e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.460494749441629650e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.464423422985231685e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.468362664506449314e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.472312502432717075e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.476272965267953770e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.480244081592747588e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.484225880064572161e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
1.488218389417973511e-08,1.787187422498478919e-20,2.773327221911035543e-20,1.316354617873079856e-18
