G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.010803336220382749e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.021723384514257942e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.032761405761394785e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.043918674463272197e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.055196478890237068e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.066596121230254167e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.078118917739266564e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.089766198893160955e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.101539309541414140e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.113439609062360287e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.125468471520154573e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.137627285823429072e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.149917455885663058e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.162340400787285095e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.174897554939526761e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.187590368250046211e-08,5.165379058684734508e-21,9.132318553528829500e-21,1.667118452431326104e-18
1.200420306290341755e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.213388850464973329e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.226497498182612357e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.239747763028944008e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.253141174941415222e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.266679280385915192e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.280363642535318994e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.294195841449984185e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.308177474260191939e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.322310155350558197e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.336595516546439315e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.351035207302348917e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.365630894892413254e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.380384264602880616e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.395297019926713753e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.410370882760287634e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.425607593602187581e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.441008911754205393e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.456576615524456523e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.472312502432717075e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.488218389417973511e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.504296113048215179e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.520547529732492484e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.536974515935267838e-08,1.947778353379035365e-20,3.642246347079919144e-20,6.648143096890775923e-18
1.553578968393079411e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.570362804333547951e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.587327961696749174e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.604476399358976711e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.621810097358929678e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.639331057126312649e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.657041301712966784e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.674942876026435533e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.693037847066086977e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.711328304161777934e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.729816359215098208e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.748504146943220458e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.767393825125384796e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.786487574852045919e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.805787600776711890e-08,2.932428736440813029e-20,5.420645223293427794e-20,9.887503341858963110e-18
1.825296131370504335e-08,3.403231515227182049e-20,6.328536541480504717e-20,1.154784489001211215e-17
1.845015419179473489e-08,3.403231515227182049e-20,6.328536541480504717e-20,1.154784489001211215e-17
1.864947741084663119e-08,3.403231515227182049e-20,6.328536541480504717e-20,1.154784489001211215e-17
1.885095398565047415e-08,3.403231515227182049e-20,6.328536541480504717e-20,1.154784489001211215e-17
1.905460717963245561e-08,3.403231515227182049e-20,6.328536541480504717e-20,1.154784489001211215e-17
