top,bottom,logmid,h
2.943479223049220828e+00,5.120722929088561415e-01,-6.242257295516376869e-01,2.077192927426655178e+00
2.930271318951378046e+00,5.324968783563240882e-01,-5.452775458390137775e-01,2.289425790054798071e+00
2.974138722957690550e+00,3.877619960371661567e-01,-5.735138374960492280e-01,1.913261954298203671e+00
2.997085351357793304e+00,4.629251552114828638e-01,-5.721749689620000412e-01,1.950423153104626550e+00
2.914785849756447611e+00,4.743619131885329909e-01,-5.872497105535289252e-01,1.991027428218504980e+00
2.970845725085413669e+00,3.930902735601891629e-01,-5.426501555475140570e-01,2.144164964211869862e+00
2.995258476785469970e+00,4.223171980384722302e-01,-5.695601364934692601e-01,1.884803933476762117e+00
2.926871388520909001e+00,3.826361719959696095e-01,-4.901137051229055852e-01,2.043126992091091942e+00
2.962055247321119467e+00,3.230276043383268902e-01,-5.098349907191420671e-01,1.808566562847145232e+00
2.999998999999999416e+00,5.098457170734943533e-01,-6.324193458905472687e-01,2.175524046729430339e+00
2.999998999999999416e+00,4.703114576922248213e-01,-5.966830553320927599e-01,2.011923246096339213e+00
2.999998999999999416e+00,4.437448818139215767e-01,-6.027357978200975630e-01,2.045438837712453495e+00
2.908384487934813745e+00,4.685381313622570820e-01,-5.309340590424779238e-01,2.370067512796821596e+00
2.946754900207628314e+00,4.457594539221060304e-01,-5.403579117056722669e-01,2.043325468525757582e+00
2.999649507724994280e+00,4.806839552306360619e-01,-6.643331952316304800e-01,1.813849131810089998e+00
2.999998999999999416e+00,4.039460422261710315e-01,-5.790385826800946711e-01,1.945280307990367996e+00
2.999998999999999416e+00,3.557149111583795542e-01,-5.747041280885570869e-01,1.773511178799980659e+00
2.999998999999999416e+00,4.380716969472032707e-01,-6.283886175555503106e-01,1.904571870476661433e+00
2.999998999999999416e+00,4.247986010424026904e-01,-5.993144762020166105e-01,1.862899083448547044e+00
2.961459007801495513e+00,3.545356631201006525e-01,-5.574982769361511714e-01,1.874498991577802087e+00
2.967435169734212952e+00,3.462455571403622590e-01,-5.211992650190142573e-01,2.121799237843387420e+00
2.994118021746617675e+00,4.366226601810717090e-01,-6.061643050184746251e-01,1.910601717377335529e+00
2.897505217793374666e+00,4.490500304969086143e-01,-5.166609686029405291e-01,2.187649755342190971e+00
2.999998999999999416e+00,4.527758329964944872e-01,-5.442973750452525517e-01,1.811713565723042318e+00
2.954629106921011328e+00,5.912887439942423606e-01,-6.206157151476625611e-01,2.250845578811600856e+00
2.999998999999999416e+00,5.231308785362362990e-01,-5.939267852493831379e-01,2.074386079984648745e+00
2.904089119684108322e+00,4.263915517136772637e-01,-5.546595604030712945e-01,1.929345463198244737e+00
2.953019515045987919e+00,3.906189961500611263e-01,-5.052778591945586983e-01,2.002243900388280373e+00
2.985751782555025713e+00,4.630307231630881315e-01,-5.886658385940343186e-01,2.028021890784170722e+00
2.999998999999999416e+00,4.365617669668362955e-01,-5.522164914809858383e-01,2.027146446553616865e+00
2.948177187559277268e+00,4.129597563853839581e-01,-5.921229638818494845e-01,1.954354266590193401e+00
2.931435479433726954e+00,4.120920257117201002e-01,-5.679973647024291195e-01,1.862672026396828162e+00
2.996624559915339603e+00,4.099797412171408140e-01,-5.861401966280660458e-01,1.957511913988006835e+00
2.969025662318690362e+00,4.919771353652182544e-01,-6.210174692241944294e-01,2.065681020020535996e+00
2.969609489054505502e+00,4.292859379916607598e-01,-5.543114590697119093e-01,1.970456233527686951e+00
2.892861755800999468e+00,6.001675180402615828e-01,-6.236328377835903547e-01,2.495991698469409936e+00
2.999998999999999416e+00,4.818747003417264696e-01,-6.204108234462581972e-01,1.835025699512397468e+00
2.971696637030458277e+00,4.749468390168553600e-01,-5.879961459468714402e-01,2.046091964501875360e+00
2.999998999999999416e+00,5.131941390600052166e-01,-6.495000370736733197e-01,1.939364189046855147e+00
2.994058102341563998e+00,3.849431388742259319e-01,-5.855445358378201792e-01,1.823243662699034262e+00
2.960553571029976183e+00,4.112326392915020556e-01,-5.320670906358068164e-01,1.958930205692952287e+00
2.999998999999999416e+00,4.432756680649626579e-01,-5.955085006082369015e-01,1.786869544745027572e+00
2.999998999999999416e+00,4.353304248663933396e-01,-6.046690118559489013e-01,1.902789897851152823e+00
2.898408779534095370e+00,5.188487444240228452e-01,-6.536239067914161316e-01,2.208043817546810228e+00
