draw,model,p0,p1,p2,p3
0.000000000000000000e+00,0.000000000000000000e+00,1.521610181304614284e-01,3.985643475788800405e-01,3.479943836530210999e-01,1.012802506376372785e-01
0.000000000000000000e+00,1.000000000000000000e+00,3.193360325267455280e-01,2.196693373977892938e-01,2.042593637440628662e-01,2.567352663314023675e-01
0.000000000000000000e+00,2.000000000000000000e+00,5.480430955844933089e-02,5.176464748670144278e-01,4.019002548290258048e-01,2.564896074551038102e-02
0.000000000000000000e+00,3.000000000000000000e+00,2.212434395408186538e-01,3.673053495762503839e-01,2.032651154272086536e-01,2.081860954557221421e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.309682257163674313e-01,3.807821763333644194e-01,3.690336976012879022e-01,1.192159003489804137e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.946645644662901353e-01,2.143596837103347030e-01,2.107896696032574013e-01,2.801860822201178158e-01
1.000000000000000000e+00,2.000000000000000000e+00,4.143122830484122221e-02,4.754046080819587794e-01,4.483998263133140427e-01,3.476433729988600424e-02
1.000000000000000000e+00,3.000000000000000000e+00,1.935945075750459543e-01,3.598679966542069342e-01,2.229832113835672758e-01,2.235542843871799745e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.470640209812109633e-01,3.946525456284178390e-01,3.530222885965410007e-01,1.052611447938299888e-01
2.000000000000000000e+00,1.000000000000000000e+00,3.135539191439239981e-01,2.185104229120371500e-01,2.058368379533303261e-01,2.620988199907086091e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.143179415706854163e-02,5.082159664496087581e-01,4.127921274227783766e-01,2.756011197054410514e-02
2.000000000000000000e+00,3.000000000000000000e+00,1.939650392532843159e-01,3.780227082239043246e-01,2.455789085893484436e-01,1.824333439334629436e-01
3.000000000000000000e+00,0.000000000000000000e+00,1.332839536496294164e-01,3.829283404247689204e-01,3.667210990402555715e-01,1.170666068853458558e-01
3.000000000000000000e+00,1.000000000000000000e+00,2.974454241749991956e-01,2.150063234876017915e-01,2.100807183282840385e-01,2.774675340091151132e-01
3.000000000000000000e+00,2.000000000000000000e+00,4.280859439045939241e-02,4.804164633044253896e-01,4.431709311002977048e-01,3.360401120481762427e-02
3.000000000000000000e+00,3.000000000000000000e+00,1.863604788801553336e-01,3.665280734395265361e-01,2.402920573191631437e-01,2.068193903611550422e-01
4.000000000000000000e+00,0.000000000000000000e+00,1.462788636580633350e-01,3.940303807904187439e-01,3.537989861811089987e-01,1.058917693704091029e-01
4.000000000000000000e+00,1.000000000000000000e+00,3.126551695717244561e-01,2.183256411814890330e-01,2.060795487017390293e-01,2.629396405450476482e-01
4.000000000000000000e+00,2.000000000000000000e+00,5.092099465831916721e-02,5.067231204381364984e-01,4.144871139249971526e-01,2.786877097854717489e-02
4.000000000000000000e+00,3.000000000000000000e+00,2.063867684944253600e-01,3.701346090736329919e-01,2.212668151055940391e-01,2.022118073263476090e-01
5.000000000000000000e+00,0.000000000000000000e+00,1.437838123076926045e-01,3.920177007358368049e-01,3.562706984041350555e-01,1.079277885523352992e-01
5.000000000000000000e+00,1.000000000000000000e+00,3.097844337401218784e-01,2.177270009462372868e-01,2.068502307261986806e-01,2.656383345874422930e-01
5.000000000000000000e+00,2.000000000000000000e+00,4.931331018055474386e-02,5.019072063951384166e-01,4.199031934470834337e-01,2.887628997722335722e-02
5.000000000000000000e+00,3.000000000000000000e+00,1.904147202201863232e-01,3.762790266306660358e-01,2.478553228769960759e-01,1.854509302721516206e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.368298213959890930e-01,3.861132126390294794e-01,3.631845052816400354e-01,1.138724606833414477e-01
6.000000000000000000e+00,1.000000000000000000e+00,3.016607189459466487e-01,2.159629023037617779e-01,2.089924363037448385e-01,2.733839424465467904e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.495787698634512441e-02,4.878982207981775177e-01,4.352303221797926280e-01,3.191358003568484786e-02
6.000000000000000000e+00,3.000000000000000000e+00,1.853379357110047920e-01,3.711010530283788134e-01,2.476844815578941594e-01,1.958765297027222352e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.294493290205373792e-01,3.793453839372341041e-01,3.705514773059892519e-01,1.206538097362392786e-01
7.000000000000000000e+00,1.000000000000000000e+00,2.928282389295397969e-01,2.139258463637189744e-01,2.112538254623297085e-01,2.819920892444115479e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.053913146580358229e-02,4.720628119424727931e-01,4.518472139379859365e-01,3.555084265373759100e-02
7.000000000000000000e+00,3.000000000000000000e+00,1.700646778715321772e-01,3.697295323624112950e-01,2.679371339026501153e-01,1.922686558634061904e-01
8.000000000000000000e+00,0.000000000000000000e+00,1.350193006288115394e-01,3.845021328128396809e-01,3.649895223598743077e-01,1.154890441984744304e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.995147551272644981e-01,2.154794611569118279e-01,2.095485015220724667e-01,2.754572821937512628e-01
8.000000000000000000e+00,2.000000000000000000e+00,4.385438302929012960e-02,4.841069584947395588e-01,4.392746238324898855e-01,3.276403464348050243e-02
8.000000000000000000e+00,3.000000000000000000e+00,1.695706081852195457e-01,3.761236365557555916e-01,2.780925922048188559e-01,1.762131630542061178e-01
9.000000000000000000e+00,0.000000000000000000e+00,1.539104256128273340e-01,3.998573300437293643e-01,3.462747541913422378e-01,9.995749015210103616e-02
9.000000000000000000e+00,1.000000000000000000e+00,3.213002507175053424e-01,2.200513204247656895e-01,2.037173008264824003e-01,2.549311280312464567e-01
9.000000000000000000e+00,2.000000000000000000e+00,5.598432379366301281e-02,5.207802719932480562e-01,3.982071757760651254e-01,2.502822843702351419e-02
9.000000000000000000e+00,3.000000000000000000e+00,2.233870728597311672e-01,3.678330287527180609e-01,2.018934150326534560e-01,2.068864833548973714e-01
1.000000000000000000e+01,0.000000000000000000e+00,1.418089040497282349e-01,3.903855996226433533e-01,3.582307176313092034e-01,1.095747786963189585e-01
1.000000000000000000e+01,1.000000000000000000e+00,3.074959878453965567e-01,2.172405634028966026e-01,2.074595384159775846e-01,2.678039103357294781e-01
1.000000000000000000e+01,2.000000000000000000e+00,4.805757274930823331e-02,4.980170320715073817e-01,4.242218466647043051e-01,2.970354851448027064e-02
1.000000000000000000e+01,3.000000000000000000e+00,1.994398333790778632e-01,3.691659805388761151e-01,2.277771678107953501e-01,2.036170182712506993e-01
1.100000000000000000e+01,0.000000000000000000e+00,1.497631067044045972e-01,3.967511705014481471e-01,3.503566282292309153e-01,1.031290945649165347e-01
1.100000000000000000e+01,1.000000000000000000e+00,3.166269533043354345e-01,2.191327777980233427e-01,2.050018715708372130e-01,2.592383973268040376e-01
1.100000000000000000e+01,2.000000000000000000e+00,5.320550616275857708e-02,5.132658119068816971e-01,4.070001470413242006e-01,2.652853488903583051e-02
1.100000000000000000e+01,3.000000000000000000e+00,2.062713733772762181e-01,3.740920470918245311e-01,2.261500750298631457e-01,1.934865045010361606e-01
1.200000000000000000e+01,0.000000000000000000e+00,1.405905784644416456e-01,3.893612573169170643e-01,3.594413185559560131e-01,1.106068456626854712e-01
1.200000000000000000e+01,1.000000000000000000e+00,3.060769603234734237e-01,2.169348038395120248e-01,2.078350772180542760e-01,2.691531586189601644e-01
1.200000000000000000e+01,2.000000000000000000e+00,4.729033107957161114e-02,4.955824161365615099e-01,4.268997431081721916e-01,3.022750967569468386e-02
1.200000000000000000e+01,3.000000000000000000e+00,1.974494586156538278e-01,3.689139715255518870e-01,2.297592496850497379e-01,2.038773201737446861e-01
1.300000000000000000e+01,0.000000000000000000e+00,1.341383758524673786e-01,3.837068725649481205e-01,3.658683632179600687e-01,1.162863883646245156e-01
1.300000000000000000e+01,1.000000000000000000e+00,2.984658304015139207e-01,2.152404880374862717e-01,2.098187704214048710e-01,2.764749111395947700e-01
1.300000000000000000e+01,2.000000000000000000e+00,4.332204665057209914e-02,4.822404857015567536e-01,4.412501245932580751e-01,3.318734305461312761e-02
1.300000000000000000e+01,3.000000000000000000e+00,1.850427030277395080e-01,3.681858693078873257e-01,2.441973882062653811e-01,2.025740394581079240e-01
1.400000000000000000e+01,0.000000000000000000e+00,1.523911441130217370e-01,3.987358594938099632e-01,3.477679900006773184e-01,1.011050063924910369e-01
1.400000000000000000e+01,1.000000000000000000e+00,3.195949982416907975e-01,2.197200371963403398e-01,2.041880745408416742e-01,2.564968900211273550e-01
1.400000000000000000e+01,2.000000000000000000e+00,5.495888038012632093e-02,5.180616935019956015e-01,4.014131131447832845e-01,2.556631297309456055e-02
1.400000000000000000e+01,3.000000000000000000e+00,2.160911267131524205e-01,3.709428793011851355e-01,2.122540025855346457e-01,2.007119914001276872e-01
1.500000000000000000e+01,0.000000000000000000e+00,1.445563859877085910e-01,3.926467417547175320e-01,3.555047920279007512e-01,1.072920802296733339e-01
1.500000000000000000e+01,1.000000000000000000e+00,3.106757502650314695e-01,2.179142443939234564e-01,2.066116963951514229e-01,2.647983089458936234e-01
1.500000000000000000e+01,2.000000000000000000e+00,4.980859011384182466e-02,5.034101646934940888e-01,4.182213338011782633e-01,2.855991139148589611e-02
1.500000000000000000e+01,3.000000000000000000e+00,1.930422459795284873e-01,3.757639305432352583e-01,2.438128344754046384e-01,1.873809890018314495e-01
1.600000000000000000e+01,0.000000000000000000e+00,1.446000720176789933e-01,3.926821545449089013e-01,3.554614976936273929e-01,1.072562757437847264e-01
1.600000000000000000e+01,1.000000000000000000e+00,3.107260854779458348e-01,2.179247815733471594e-01,2.065982054470286711e-01,2.647509275016784458e-01
1.600000000000000000e+01,2.000000000000000000e+00,4.983666405182271553e-02,5.034948355801277531e-01,4.181263595319060222e-01,2.854214083614353345e-02
1.600000000000000000e+01,3.000000000000000000e+00,1.861206097534013060e-01,3.793007254532162476e-01,2.576627426698454570e-01,1.769159221235368784e-01
1.700000000000000000e+01,0.000000000000000000e+00,1.531901414474914347e-01,3.993279870981996105e-01,3.469823836206380463e-01,1.004994878336711028e-01
1.700000000000000000e+01,1.000000000000000000e+00,3.204927524609440526e-01,2.198950012835364787e-01,2.039405193501160340e-01,2.556717269054033514e-01
1.700000000000000000e+01,2.000000000000000000e+00,5.549708969803629488e-02,5.194963098026488257e-01,3.997248934561961065e-01,2.528170704311883885e-02
1.700000000000000000e+01,3.000000000000000000e+00,2.100580760399534119e-01,3.755897627192386068e-01,2.238550286011738444e-01,1.904971326396342202e-01
1.800000000000000000e+01,0.000000000000000000e+00,1.443593113979401987e-01,3.924867804887909872e-01,3.557001192988843985e-01,1.074537888143844017e-01
1.800000000000000000e+01,1.000000000000000000e+00,3.104485934961158655e-01,2.178666421875185000e-01,2.066725525616613379e-01,2.650122117547042966e-01
1.800000000000000000e+01,2.000000000000000000e+00,4.968203428776562375e-02,5.030277813545135368e-01,4.186499488679712444e-01,2.864023548974971994e-02
1.800000000000000000e+01,3.000000000000000000e+00,1.959137474956880731e-01,3.740065047184022440e-01,2.379973625464183173e-01,1.920823852394913378e-01
1.900000000000000000e+01,0.000000000000000000e+00,1.473333418503164904e-01,3.948647362064956479e-01,3.527559974800332787e-01,1.050459244631547912e-01
1.900000000000000000e+01,1.000000000000000000e+00,3.138617015023714152e-01,2.185734143360832937e-01,2.057535646372211646e-01,2.618113195243241820e-01
1.900000000000000000e+01,2.000000000000000000e+00,5.160754351997884348e-02,5.087255499024648797e-01,4.122117650606400563e-01,2.745514151691634541e-02
1.900000000000000000e+01,3.000000000000000000e+00,1.894696822046042228e-01,3.806093356310854547e-01,2.548577775679898849e-01,1.750632045963203542e-01
2.000000000000000000e+01,0.000000000000000000e+00,1.432255205416117783e-01,3.915598454399806250e-01,3.568244727643520853e-01,1.083901612540556642e-01
2.000000000000000000e+01,1.000000000000000000e+00,3.091389734753719476e-01,2.175906307202958578e-01,2.070225442180978204e-01,2.662478515862343742e-01
2.000000000000000000e+01,2.000000000000000000e+00,4.895681537540375050e-02,5.008145228173280783e-01,4.211212335406483986e-01,2.910742826661976215e-02
2.000000000000000000e+01,3.000000000000000000e+00,1.830380794508359998e-01,3.792720438913000369e-01,2.619623991340401803e-01,1.757274775238236997e-01
2.100000000000000000e+01,0.000000000000000000e+00,1.471311598331155879e-01,3.947055007311688346e-01,3.529558988595645208e-01,1.052074405761510428e-01
2.100000000000000000e+01,1.000000000000000000e+00,3.136306700637616074e-01,2.185261446807003072e-01,2.058160797045780754e-01,2.620271055509600377e-01
2.100000000000000000e+01,2.000000000000000000e+00,5.147558095472554857e-02,5.083431189033693620e-01,4.126473991865339808e-01,2.753390095537112600e-02
2.100000000000000000e+01,3.000000000000000000e+00,2.015218244205904952e-01,3.739470936273189272e-01,2.313007193048400856e-01,1.932303626472506586e-01
2.200000000000000000e+01,0.000000000000000000e+00,1.349524676083923569e-01,3.844420615410667486e-01,3.650561843518161931e-01,1.155492864987246876e-01
2.200000000000000000e+01,1.000000000000000000e+00,2.994352867717985367e-01,2.154614176653621704e-01,2.095690129042615257e-01,2.755342826585778226e-01
2.200000000000000000e+01,2.000000000000000000e+00,4.381389115295802883e-02,4.839658566292674435e-01,4.394243235798470093e-01,3.279592863792760160e-02
2.200000000000000000e+01,3.000000000000000000e+00,1.866463310409893217e-01,3.683028075423674386e-01,2.422531020514243072e-01,2.027977593652191546e-01
2.300000000000000000e+01,0.000000000000000000e+00,1.220273704604636356e-01,3.719797371845482425e-01,3.779723744319490875e-01,1.280205179230391177e-01
2.300000000000000000e+01,1.000000000000000000e+00,2.837079370685774982e-01,2.116897917240965488e-01,2.135105628013722612e-01,2.910917084059536086e-01
2.300000000000000000e+01,2.000000000000000000e+00,3.630978922385887098e-02,4.551025387567638747e-01,4.688795149874181445e-01,3.970815703195894331e-02
2.300000000000000000e+01,3.000000000000000000e+00,1.692643233123755087e-01,3.614613243570947709e-01,2.572983415311206890e-01,2.119760107994092535e-01
2.400000000000000000e+01,0.000000000000000000e+00,1.428036777807810409e-01,3.912120536326094689e-01,3.572430656451931474e-01,1.087412029414165510e-01
2.400000000000000000e+01,1.000000000000000000e+00,3.086505031230779572e-01,2.174869953185114280e-01,2.071527091456644432e-01,2.667097924127460606e-01
2.400000000000000000e+01,2.000000000000000000e+00,4.868823699118619841e-02,4.999852210310937739e-01,4.220430532434338855e-01,2.928348873428613872e-02
2.400000000000000000e+01,3.000000000000000000e+00,2.215197321732320368e-01,3.562643890362887089e-01,1.909902316604813466e-01,2.312256471299979355e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.345268084704699385e-01,3.840584572649290429e-01,3.654808045914391679e-01,1.159339296731616564e-01
2.500000000000000000e+01,1.000000000000000000e+00,2.989287294231577352e-01,2.153461655394779684e-01,2.096996231347684203e-01,2.760254819025956818e-01
2.500000000000000000e+01,2.000000000000000000e+00,4.355640375507037476e-02,4.830652479797432064e-01,4.403784373451147816e-01,3.299991092007169974e-02
2.500000000000000000e+01,3.000000000000000000e+00,1.973536807514738589e-01,3.619322985938009385e-01,2.212525050906843371e-01,2.194615155640410320e-01
2.600000000000000000e+01,0.000000000000000000e+00,1.429277655423086268e-01,3.913145235488680873e-01,3.571199194205314509e-01,1.086377914882920709e-01
2.600000000000000000e+01,1.000000000000000000e+00,3.087942584334654184e-01,2.175175336928608094e-01,2.071144233660638379e-01,2.665737845076099344e-01
2.600000000000000000e+01,2.000000000000000000e+00,4.876717063212034770e-02,5.002294942550311596e-01,4.217717627096009281e-01,2.923157240324754033e-02
2.600000000000000000e+01,3.000000000000000000e+00,1.942111529984619500e-01,3.733369265407691096e-01,2.392249510682691593e-01,1.932269693924998366e-01
2.700000000000000000e+01,0.000000000000000000e+00,1.293982532635423177e-01,3.792966629539836765e-01,3.706025259218389545e-01,1.207025578606353011e-01
2.700000000000000000e+01,1.000000000000000000e+00,2.927663162925429607e-01,2.139111219113532525e-01,2.112694212686566375e-01,2.820531405274471215e-01
2.700000000000000000e+01,2.000000000000000000e+00,4.050928926543179154e-02,4.719496833258554624e-01,4.519633771298356417e-01,3.557765027887691694e-02
2.700000000000000000e+01,3.000000000000000000e+00,1.710393078772489694e-01,3.692653944182844872e-01,2.657418991521167118e-01,1.939533985523497484e-01
2.800000000000000000e+01,0.000000000000000000e+00,1.425032843317537989e-01,3.909634232314029845e-01,3.575412291293116884e-01,1.089920633075315420e-01
2.800000000000000000e+01,1.000000000000000000e+00,3.083022602891780095e-01,2.174128828289408066e-01,2.072453813068557693e-01,2.670394755750253868e-01
2.800000000000000000e+01,2.000000000000000000e+00,4.849739634893442120e-02,4.993927448707384809e-01,4.227002497653159496e-01,2.940960901501089853e-02
2.800000000000000000e+01,3.000000000000000000e+00,1.992677272713994918e-01,3.700523815536818084e-01,2.290699836658168509e-01,2.016099075091017656e-01
2.900000000000000000e+01,0.000000000000000000e+00,1.332960263555418023e-01,3.829393904752115829e-01,3.667090479911365719e-01,1.170555351781102649e-01
2.900000000000000000e+01,1.000000000000000000e+00,2.974598631264756543e-01,2.150096485960586445e-01,2.100770184349947667e-01,2.774534698424708234e-01
2.900000000000000000e+01,2.000000000000000000e+00,4.281582960785190045e-02,4.804423303536894951e-01,4.431437585201433160e-01,3.359808151831554512e-02
2.900000000000000000e+01,3.000000000000000000e+00,1.825635186648473796e-01,3.684549466988038535e-01,2.478754586160350493e-01,2.011060760203138564e-01
3.000000000000000000e+01,0.000000000000000000e+00,1.534272540897023696e-01,3.995027078018991706e-01,3.467493753266220891e-01,1.003206627817763846e-01
3.000000000000000000e+01,1.000000000000000000e+00,3.207587650744878061e-01,2.199466074721403708e-01,2.038670424320956909e-01,2.554275850212761045e-01
3.000000000000000000e+01,2.000000000000000000e+00,5.565726974371151825e-02,5.199199560133402898e-01,3.992248319549353552e-01,2.519794228801257308e-02
