G_mM,J_minus_0p7,J_0,J_plus_0p7
5.000000000000000104e-03,2.938966800454183570e+00,2.967523587433828602e+00,2.972857497450553499e+00
5.073146869321709836e-03,2.938966671661951580e+00,2.967518100939203318e+00,2.972832200919810930e+00
5.147363831541739397e-03,2.938966536910001537e+00,2.967512451299402887e+00,2.972806377825344626e+00
5.222666541449155417e-03,2.938966395922560704e+00,2.967506633663955284e+00,2.972780017172205191e+00
5.299070882852805961e-03,2.938966248411080340e+00,2.967500643038206043e+00,2.972753107734432465e+00
5.376592971931709077e-03,2.938966094073680591e+00,2.967494474279069205e+00,2.972725638050131458e+00
5.455249160634497579e-03,2.938965932594495900e+00,2.967488122090592206e+00,2.972697596416477239e+00
5.535056040128558466e-03,2.938965763643047069e+00,2.967481581019442594e+00,2.972668970884541739e+00
5.616030444299684003e-03,2.938965586873575120e+00,2.967474845450205123e+00,2.972639749254082808e+00
5.698189453302871139e-03,2.938965401924304999e+00,2.967467909600585152e+00,2.972609919068180506e+00
5.781550397165095834e-03,2.938965208416735031e+00,2.967460767516466813e+00,2.972579467607756598e+00
5.866130859440759661e-03,2.938965005954841558e+00,2.967453413066766466e+00,2.972548381885980362e+00
5.951948680920672585e-03,2.938964794124273361e+00,2.967445839938224417e+00,2.972516648642565595e+00
6.039021963395238904e-03,2.938964572491514105e+00,2.967438041629972822e+00,2.972484254337913079e+00
6.127369073472727599e-03,2.938964340602990166e+00,2.967430011447969029e+00,2.972451185147150898e+00
6.217008646453367829e-03,2.938964097984118951e+00,2.967421742499264603e+00,2.972417426954014008e+00
6.307959590260181146e-03,2.938963844138388737e+00,2.967413227686087840e+00,2.972382965344643857e+00
6.400241089427259958e-03,2.938963578546281319e+00,2.967404459699777952e+00,2.972347785601179293e+00
6.493872609146422031e-03,2.938963300664270584e+00,2.967395431014522522e+00,2.972311872695259094e+00
6.588873899373035546e-03,2.938963009923650116e+00,2.967386133880904886e+00,2.972275211281368179e+00
6.685264998991968799e-03,2.938962705729420311e+00,2.967376560319265000e+00,2.972237785690019951e+00
6.783066240044423496e-03,2.938962387459039594e+00,2.967366702112885335e+00,2.972199579920809409e+00
6.882298252016637828e-03,2.938962054461166318e+00,2.967356550800927639e+00,2.972160577635311718e+00
6.982981966191297192e-03,2.938961706054312728e+00,2.967346097671214711e+00,2.972120762149788931e+00
7.085138620062668251e-03,2.938961341525463844e+00,2.967335333752754600e+00,2.972080116427785690e+00
7.188789761816253426e-03,2.938960960128607525e+00,2.967324249808072079e+00,2.972038623072523311e+00
7.293957254874025749e-03,2.938960561083220124e+00,2.967312836325284309e+00,2.971996264319144210e+00
7.400663282506108817e-03,2.938960143572648231e+00,2.967301083509982451e+00,2.971953022026756486e+00
7.508930352509999955e-03,2.938959706742468203e+00,2.967288981276848592e+00,2.971908877670347060e+00
7.618781301958174428e-03,2.938959249698703591e+00,2.967276519241007104e+00,2.971863812332457666e+00
7.730239302015187892e-03,2.938958771506031020e+00,2.967263686709148196e+00,2.971817806694733388e+00
7.843327862825199073e-03,2.938958271185836413e+00,2.967250472670389438e+00,2.971770841029222954e+00
7.958070838471080141e-03,2.938957747714229907e+00,2.967236865786852640e+00,2.971722895189517821e+00
8.074492432005990830e-03,2.938957200019945315e+00,2.967222854383963160e+00,2.971673948601709636e+00
8.192617200558615850e-03,2.938956626982146769e+00,2.967208426440469893e+00,2.971623980255080344e+00
8.312470060513027503e-03,2.938956027428131001e+00,2.967193569578161938e+00,2.971572968692659078e+00
8.434076292764424235e-03,2.938955400130954132e+00,2.967178271051301053e+00,2.971520892001498826e+00
8.557461548051658456e-03,2.938954743806883929e+00,2.967162517735701943e+00,2.971467727802790115e+00
8.682651852367847742e-03,2.938954057112792562e+00,2.967146296117546100e+00,2.971413453241687375e+00
8.809673612450058186e-03,2.938953338643414792e+00,2.967129592281803951e+00,2.971358044976970980e+00
8.938553621349419956e-03,2.938952586928453403e+00,2.967112391900365242e+00,2.971301479170429527e+00
9.069319064082610043e-03,2.938951800429598027e+00,2.967094680219794611e+00,2.971243731476012506e+00
9.201997523366088269e-03,2.938950977537354348e+00,2.967076442048733664e+00,2.971184777028731627e+00
9.336616985434162061e-03,2.938950116567751181e+00,2.967057661744910035e+00,2.971124590433321888e+00
9.473205845942243505e-03,2.938949215758920985e+00,2.967038323201809380e+00,2.971063145752616208e+00
9.611792915956403685e-03,2.938948273267465439e+00,2.967018409834896620e+00,2.971000416495700680e+00
9.752407428030575656e-03,2.938947287164698441e+00,2.966997904567492572e+00,2.970936375605720325e+00
9.895079042372622105e-03,2.938946255432706156e+00,2.966976789816162530e+00,2.970870995447502327e+00
1.003983785310070750e-02,2.938945175960207656e+00,2.966955047475750007e+00,2.970804247794788910e+00
1.018671439459109714e-02,2.938944046538244148e+00,2.966932658903916664e+00,2.970736103817269491e+00
1.033573964791884535e-02,2.938942864855643933e+00,2.966909604905237252e+00,2.970666534067239795e+00
1.048694504739275911e-02,2.938941628494326608e+00,2.966885865714846027e+00,2.970595508466004731e+00
1.064036248718587714e-02,2.938940334924331932e+00,2.966861420981571573e+00,2.970522996289917117e+00
1.079602432806304677e-02,2.938938981498639080e+00,2.966836249750610222e+00,2.970448966156132187e+00
1.095396340420681444e-02,2.938937565447785616e+00,2.966810330445653232e+00,2.970373386007996164e+00
1.111421303014328149e-02,2.938936083874161831e+00,2.966783640850520598e+00,2.970296223100128863e+00
1.127680700776919134e-02,2.938934533746115463e+00,2.966756158090224638e+00,2.970217443983111938e+00
1.144177963348188588e-02,2.938932911891744659e+00,2.966727858611503788e+00,2.970137014487854721e+00
1.160916570541350654e-02,2.938931214992402730e+00,2.966698718162776416e+00,2.970054899709564822e+00
1.177900053077110543e-02,2.938929439575908464e+00,2.966668711773492007e+00,2.969971063991357241e+00
1.195131993328404051e-02,2.938927582009462469e+00,2.966637813732884599e+00,2.969885470907486003e+00
1.212616026076042235e-02,2.938925638492207337e+00,2.966605997568113384e+00,2.969798083246121934e+00
1.230355839275401424e-02,2.938923605047452536e+00,2.966573236021759818e+00,2.969708862991805365e+00
1.248355174834338450e-02,2.938921477514556457e+00,2.966539501028639059e+00,2.969617771307388132e+00
1.266617829402476129e-02,2.938919251540401678e+00,2.966504763691959035e+00,2.969524768515638513e+00
1.285147655172047022e-02,2.938916922570505186e+00,2.966468994258787628e+00,2.969429814080316365e+00
1.303948560690441558e-02,2.938914485839711599e+00,2.966432162094754688e+00,2.969332866586858799e+00
1.323024511684653404e-02,2.938911936362433419e+00,2.966394235658079470e+00,2.969233883722565359e+00
1.342379531897776833e-02,2.938909268922482276e+00,2.966355182472777408e+00,2.969132822256316473e+00
1.362017703937750714e-02,2.938906478062393024e+00,2.966314969101133237e+00,2.969029638017798955e+00
1.381943170138508897e-02,2.938903558072267774e+00,2.966273561115314816e+00,2.968924285876234581e+00
1.402160133433739964e-02,2.938900502978100349e+00,2.966230923068222669e+00,2.968816719718575747e+00
1.422672858243417826e-02,2.938897306529583808e+00,2.966187018463429137e+00,2.968706892427180666e+00
1.443485671373313795e-02,2.938893962187321574e+00,2.966141809724285316e+00,2.968594755856938328e+00
1.464602962927654892e-02,2.938890463109470108e+00,2.966095258162097181e+00,2.968480260811828586e+00
1.486029187235147347e-02,2.938886802137762988e+00,2.966047323943370007e+00,2.968363357020920024e+00
1.507768863788534752e-02,2.938882971782867504e+00,2.965997966056144186e+00,2.968243993113757639e+00
1.529826578197912394e-02,2.938878964209096889e+00,2.965947142275295434e+00,2.968122116595137250e+00
1.552206983157976804e-02,2.938874771218410675e+00,2.965894809126850884e+00,2.967997673819293691e+00
1.574914799429438100e-02,2.938870384233639665e+00,2.965840921851284673e+00,2.967870609963393580e+00
1.597954816834776942e-02,2.938865794281003918e+00,2.965785434365708184e+00,2.967740869000395243e+00
1.621331895268579917e-02,2.938860991971744774e+00,2.965728299224988262e+00,2.967608393671235412e+00
1.645050965722646974e-02,2.938855967482979725e+00,2.965669467581738772e+00,2.967473125456297822e+00
1.669117031326100911e-02,2.938850710537633137e+00,2.965608889145141092e+00,2.967335004546179711e+00
1.693535168400711263e-02,2.938845210383459250e+00,2.965546512138580226e+00,2.967193969811694920e+00
1.718310527531657569e-02,2.938839455771069975e+00,2.965482283256029916e+00,2.967049958773151364e+00
1.743448334653954074e-02,2.938833434931000355e+00,2.965416147617237819e+00,2.966902907568834902e+00
1.768953892154771085e-02,2.938827135549658909e+00,2.965348048721524243e+00,2.966752750922660553e+00
1.794832579991886487e-02,2.938820544744226382e+00,2.965277928400350316e+00,2.966599422111052764e+00
1.821089856828490491e-02,2.938813649036331022e+00,2.965205726768412653e+00,2.966442852928913076e+00
1.847731261184596546e-02,2.938806434324582995e+00,2.965131382173430641e+00,2.966282973654751132e+00
1.874762412605298495e-02,2.938798885855774312e+00,2.965054831144402048e+00,2.966119713014922166e+00
1.902189012846117189e-02,2.938790988194822429e+00,2.964976008338424229e+00,2.965952998146909714e+00
1.930016847075688088e-02,2.938782725193257672e+00,2.964894846485960134e+00,2.965782754561649082e+00
1.958251785096037922e-02,2.938774079956312679e+00,2.964811276334553547e+00,2.965608906104918230e+00
1.986899782580723098e-02,2.938765034808483723e+00,2.964725226590923857e+00,2.965431374917649965e+00
