J,SSE,loss_vs_reference,top,bottom,logmid,h,success
-1.500000000000000000e+00,1.967881020280409440e-02,3.355631369392315655e+00,2.918913730673152074e+00,4.923263531911626911e-01,-5.609862907791033360e-01,4.606970445951854565e+00,1.000000000000000000e+00
-1.449999999999999956e+00,1.966270970581580554e-02,3.345809381065752319e+00,2.919853222214205068e+00,4.917162677306080032e-01,-5.628284454265374270e-01,4.509987675986984357e+00,1.000000000000000000e+00
-1.399999999999999911e+00,1.966349484059354280e-02,3.346288533195624471e+00,2.920817520108908383e+00,4.910816102050369891e-01,-5.646151174955500451e-01,4.413429480853981346e+00,1.000000000000000000e+00
-1.350000000000000089e+00,1.967491930419751345e-02,3.353258492208066599e+00,2.921809950227705510e+00,4.904179098122696256e-01,-5.663383356734950080e-01,4.317300387369111370e+00,1.000000000000000000e+00
-1.300000000000000044e+00,1.969071669470564070e-02,3.362889668814939448e+00,2.922833979341183941e+00,4.897207401858724163e-01,-5.679902933011339305e-01,4.221607985492656923e+00,1.000000000000000000e+00
-1.250000000000000000e+00,1.970470364547783834e-02,3.371410629620507748e+00,2.923893254846636758e+00,4.889855888749569113e-01,-5.695633978282101939e-01,4.126362116000240832e+00,1.000000000000000000e+00
-1.199999999999999956e+00,1.971089355369910062e-02,3.375179640090673505e+00,2.924991580950084824e+00,4.882081470894156228e-01,-5.710505285973843659e-01,4.031575748235427525e+00,1.000000000000000000e+00
-1.149999999999999911e+00,1.970361956748530388e-02,3.370750417012962963e+00,2.926132832415296647e+00,4.873842104993119650e-01,-5.724450604867622472e-01,3.937265004016692327e+00,1.000000000000000000e+00
-1.100000000000000089e+00,1.967766486658608857e-02,3.354932931099977811e+00,2.927321028513131917e+00,4.865099568926485873e-01,-5.737411826665186343e-01,3.843449779104160857e+00,1.000000000000000000e+00
-1.050000000000000044e+00,1.962839754802222364e-02,3.324850643734612810e+00,2.928560201266909413e+00,4.855818620665816043e-01,-5.749339126637993402e-01,3.750153601360722622e+00,1.000000000000000000e+00
-1.000000000000000000e+00,1.955190661484944303e-02,3.277995858717632327e+00,2.929854333316242787e+00,4.845968345242611663e-01,-5.760192716231365972e-01,3.657404488191488667e+00,1.000000000000000000e+00
-9.499999999999999556e-01,1.944513467865077380e-02,3.212284902526756802e+00,2.931207303074436332e+00,4.835524776432926775e-01,-5.769945381054910616e-01,3.565235649546475649e+00,1.000000000000000000e+00
-8.999999999999999112e-01,1.930600205265727010e-02,3.126114594913351752e+00,2.932622787819325172e+00,4.824469452765235422e-01,-5.778582560084247755e-01,3.473685374570147033e+00,1.000000000000000000e+00
-8.499999999999999778e-01,1.913351598049126134e-02,3.018420905496056683e+00,2.934104159011401869e+00,4.812792607455842475e-01,-5.786104890238542575e-01,3.382798137933741511e+00,1.000000000000000000e+00
-7.999999999999999334e-01,1.892785788741676092e-02,2.888739767688601745e+00,2.935654340448477395e+00,4.800491150670932461e-01,-5.792527697059692837e-01,3.292624614163627950e+00,1.000000000000000000e+00
