J,index,G_mM,U,predicted_U
-6.999999999999999556e-01,0.000000000000000000e+00,2.000000000000000042e-02,2.970000000000000195e+00,2.906910496193329418e+00
-6.999999999999999556e-01,1.000000000000000000e+00,1.000000000000000056e-01,2.859999999999999876e+00,2.940188091160073736e+00
-6.999999999999999556e-01,2.000000000000000000e+00,2.000000000000000111e-01,2.759999999999999787e+00,2.701303157370298802e+00
-6.999999999999999556e-01,3.000000000000000000e+00,2.999999999999999889e-01,2.339999999999999858e+00,2.434253850350700521e+00
-6.999999999999999556e-01,4.000000000000000000e+00,4.000000000000000222e-01,2.120000000000000107e+00,2.087854582542162607e+00
-6.999999999999999556e-01,5.000000000000000000e+00,5.000000000000000000e-01,1.899999999999999911e+00,1.826631179369792246e+00
-6.999999999999999556e-01,6.000000000000000000e+00,5.999999999999999778e-01,1.620000000000000107e+00,1.627782595890176154e+00
-6.999999999999999556e-01,7.000000000000000000e+00,8.000000000000000444e-01,1.250000000000000000e+00,1.309209101031560074e+00
-6.999999999999999556e-01,8.000000000000000000e+00,1.000000000000000000e+00,1.040000000000000036e+00,1.072763443783974591e+00
-6.999999999999999556e-01,9.000000000000000000e+00,1.300000000000000044e+00,8.499999999999999778e-01,8.329509078778742914e-01
-6.999999999999999556e-01,1.000000000000000000e+01,2.000000000000000000e+00,6.500000000000000222e-01,5.844686965047450888e-01
-6.999999999999999556e-01,1.100000000000000000e+01,1.000000000000000000e+01,4.500000000000000111e-01,5.490146778798720151e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,2.970000000000000195e+00,2.957468093982325463e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,2.859999999999999876e+00,2.909031369593512828e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,2.759999999999999787e+00,2.662039340868193271e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.999999999999999889e-01,2.339999999999999858e+00,2.441485589678364043e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000222e-01,2.120000000000000107e+00,2.121056369099247885e+00
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01,1.899999999999999911e+00,1.838727409670906310e+00
0.000000000000000000e+00,6.000000000000000000e+00,5.999999999999999778e-01,1.620000000000000107e+00,1.622835254077869216e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000444e-01,1.250000000000000000e+00,1.284749157728598545e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.040000000000000036e+00,1.051293238973024291e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.300000000000000044e+00,8.499999999999999778e-01,8.386114177200434394e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,6.500000000000000222e-01,6.249184150421989159e-01
0.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+01,4.500000000000000111e-01,4.898109675020314580e-01
6.999999999999999556e-01,0.000000000000000000e+00,2.000000000000000042e-02,2.970000000000000195e+00,2.960333417663833178e+00
6.999999999999999556e-01,1.000000000000000000e+00,1.000000000000000056e-01,2.859999999999999876e+00,2.891354486234448462e+00
6.999999999999999556e-01,2.000000000000000000e+00,2.000000000000000111e-01,2.759999999999999787e+00,2.663519241534642479e+00
6.999999999999999556e-01,3.000000000000000000e+00,2.999999999999999889e-01,2.339999999999999858e+00,2.457914130250905327e+00
6.999999999999999556e-01,4.000000000000000000e+00,4.000000000000000222e-01,2.120000000000000107e+00,2.129367658011217301e+00
6.999999999999999556e-01,5.000000000000000000e+00,5.000000000000000000e-01,1.899999999999999911e+00,1.831667079186067193e+00
6.999999999999999556e-01,6.000000000000000000e+00,5.999999999999999778e-01,1.620000000000000107e+00,1.609809123151166865e+00
6.999999999999999556e-01,7.000000000000000000e+00,8.000000000000000444e-01,1.250000000000000000e+00,1.272403645168415753e+00
6.999999999999999556e-01,8.000000000000000000e+00,1.000000000000000000e+00,1.040000000000000036e+00,1.050470094579832203e+00
6.999999999999999556e-01,9.000000000000000000e+00,1.300000000000000044e+00,8.499999999999999778e-01,8.534107434239923684e-01
6.999999999999999556e-01,1.000000000000000000e+01,2.000000000000000000e+00,6.500000000000000222e-01,6.511542480430893010e-01
6.999999999999999556e-01,1.100000000000000000e+01,1.000000000000000000e+01,4.500000000000000111e-01,4.255468794237706742e-01
