G_mM,U,p0,p1,p2,p3,variance
5.000000000000000104e-03,2.967523585114287599e+00,1.998795325099417435e-08,8.862294919798572050e-05,3.229910902345509149e-02,9.676122480393931635e-01,3.159906318800231873e-02
5.073146869321709836e-03,2.967518098616834354e+00,1.999825377431705079e-08,8.865322704737492617e-05,3.230453493431390682e-02,9.676067918403864487e-01,3.160425390930932110e-02
5.147363831541739397e-03,2.967512448973933292e+00,2.000886435027455412e-08,8.868441075605713116e-05,3.231012217795802000e-02,9.676011734024204669e-01,3.160959892910142344e-02
5.222666541449155417e-03,2.967506631335255385e+00,2.001979442441869982e-08,8.871652758888331624e-05,3.231587555018185232e-02,9.675953879024341564e-01,3.161510283150903433e-02
5.299070882852805961e-03,2.967500640706297155e+00,2.003105373680405280e-08,8.874960564106358619e-05,3.232179998925500952e-02,9.675894303740486535e-01,3.162077033681320870e-02
5.376592971931709077e-03,2.967494471944164935e+00,2.004265233156822266e-08,8.878367386402899659e-05,3.232790058014887308e-02,9.675832957033343451e-01,3.162660630529146033e-02
5.455249160634497579e-03,2.967488119753121545e+00,2.005460056685834204e-08,8.881876209216048486e-05,3.233418255889258103e-02,9.675769786244147186e-01,3.163261574147924193e-02
5.535056040128558466e-03,2.967481578680080112e+00,2.006690912508842712e-08,8.885490107033781047e-05,3.234065131704947499e-02,9.675704737149704027e-01,3.163880379837991086e-02
5.616030444299684003e-03,2.967474843109936700e+00,2.007958902356797690e-08,8.889212248241500016e-05,3.234731240633055560e-02,9.675637753915977690e-01,3.164517578184167235e-02
5.698189453302871139e-03,2.967467907260739057e+00,2.009265162550928868e-08,8.893045898063322143e-05,3.235417154334564033e-02,9.675568779050224277e-01,3.165173715513525110e-02
5.781550397165095834e-03,2.967460765178751902e+00,2.010610865141850944e-08,8.896994421597715589e-05,3.236123461449157829e-02,9.675497753351842700e-01,3.165849354357774814e-02
5.866130859440759661e-03,2.967453410733363217e+00,2.011997219089187647e-08,8.901061286952359377e-05,3.236850768098384346e-02,9.675424615861754063e-01,3.166545073931281706e-02
5.951948680920672585e-03,2.967445837611678350e+00,2.013425471511862188e-08,8.905250068565682129e-05,3.237599698418590355e-02,9.675349303808736812e-01,3.167261470641768994e-02
6.039021963395238904e-03,2.967438039309362452e+00,2.014896909666848943e-08,8.909564452641880817e-05,3.238370895467838906e-02,9.675271752518264101e-01,3.167999158948298088e-02
6.127369073472727599e-03,2.967430009130780366e+00,2.016412861181428558e-08,8.914008237440450180e-05,3.239165021208696010e-02,9.675191895414106957e-01,3.168758771351498638e-02
6.217008646453367829e-03,2.967421740183166179e+00,2.017974695434038603e-08,8.918585336911373019e-05,3.239982757085384246e-02,9.675109663960297368e-01,3.169540958936245545e-02
6.307959590260181146e-03,2.967413225369005314e+00,2.019583825289115494e-08,8.923299785340971224e-05,3.240824804776794993e-02,9.675024987585387759e-01,3.170346392088951859e-02
6.400241089427259958e-03,2.967404457379967830e+00,2.021241708557442164e-08,8.928155741164589456e-05,3.241691886795743105e-02,9.674937793622138127e-01,3.171175761066358234e-02
6.493872609146422031e-03,2.967395428690614789e+00,2.022949849511611435e-08,8.933157490910829132e-05,3.242584747106589532e-02,9.674848007245246961e-01,3.172029776593809913e-02
