G_mM,U,p0,p1,p2,p3,variance
5.000000000000000104e-03,2.967523585084526072e+00,6.956385157839396706e-05,1.238201089378453612e-03,2.979132118198341353e-02,9.689009138770601215e-01,3.431548267793438356e-02
5.073146869321709836e-03,2.967518098593711962e+00,6.959686163892820515e-05,1.238590622802936744e-03,2.979592957576397694e-02,9.688958829397937844e-01,3.432158990276334976e-02
5.147363831541739397e-03,2.967512448960013760e+00,6.963086342987125684e-05,1.238991793617542610e-03,2.980067486246293015e-02,9.688907024804900292e-01,3.432787883522081529e-02
5.222666541449155417e-03,2.967506631333374667e+00,6.966588704884016132e-05,1.239404951071342281e-03,2.980556110333715952e-02,9.688853680585429728e-01,3.433435488375558009e-02
5.299070882852805961e-03,2.967500640718399918e+00,6.970196353242084464e-05,1.239830455076520663e-03,2.981059248085012395e-02,9.688798751005409660e-01,3.434102361923230262e-02
5.376592971931709077e-03,2.967494471967746517e+00,6.973912490005449599e-05,1.240268676698940906e-03,2.981577330415516314e-02,9.688742188942456313e-01,3.434789078239575133e-02
5.455249160634497579e-03,2.967488119785098633e+00,6.977740414052748701e-05,1.240719997970182991e-03,2.982110800653680477e-02,9.688683945913516560e-01,3.435496228058276813e-02
5.535056040128558466e-03,2.967481578717199753e+00,6.981683526467672980e-05,1.241184812478823580e-03,2.982660115204704976e-02,9.688623972002090579e-01,3.436224419662359253e-02
5.616030444299684003e-03,2.967474843148761643e+00,6.985745334094405426e-05,1.241663525757438075e-03,2.983225743970231020e-02,9.688562215811998835e-01,3.436974279459725778e-02
5.698189453302871139e-03,2.967467907297653529e+00,6.989929452962435224e-05,1.242156555652147026e-03,2.983808170745077398e-02,9.688498624423665939e-01,3.437746452523882112e-02
5.781550397165095834e-03,2.967460765209986473e+00,6.994239611827289646e-05,1.242664332703674818e-03,2.984407893625121502e-02,9.688433143349267640e-01,3.438541603141054281e-02
5.866130859440759661e-03,2.967453410754972598e+00,6.998679655834059966e-05,1.243187300540585022e-03,2.985025425426874462e-02,9.688365716486315726e-01,3.439360415397985093e-02
5.951948680920672585e-03,2.967445837619718141e+00,7.003253550313273223e-05,1.243725916285683825e-03,2.985661294119889772e-02,9.688296286070116059e-01,3.440203593759605383e-02
6.039021963395238904e-03,2.967438039303804231e+00,7.007965384702502987e-05,1.244280650974662799e-03,2.986316043270603390e-02,9.688224792624725579e-01,3.441071863684364018e-02
6.127369073472727599e-03,2.967430009113723788e+00,7.012819376611663998e-05,1.244851989988920429e-03,2.986990232499840345e-02,9.688151174912459362e-01,3.441965972252170047e-02
6.217008646453367829e-03,2.967421740157186516e+00,7.017819876028567351e-05,1.245440433502005778e-03,2.987684437953064265e-02,9.688075369882077625e-01,3.442886688798907358e-02
6.307959590260181146e-03,2.967413225337186322e+00,7.022971369674736600e-05,1.246046496940666787e-03,2.988399252784332272e-02,9.687997312615196366e-01,3.443834805594825355e-02
6.400241089427259958e-03,2.967404457345975910e+00,7.028278485513113816e-05,1.246670711460512752e-03,2.989135287653784182e-02,9.687916936271465662e-01,3.444811138516357119e-02
6.493872609146422031e-03,2.967395428658800682e+00,7.033745997421611985e-05,1.247313624437713453e-03,2.989893171240109657e-02,9.687834172031869473e-01,3.445816527757727954e-02
6.588873899373035546e-03,2.967386131527480320e+00,7.039378830028370740e-05,1.247975799976052758e-03,2.990673550766909800e-02,9.687748949040554391e-01,3.446851838552689173e-02
6.685264998991968799e-03,2.967376557973781637e+00,7.045182063724193767e-05,1.248657819430898808e-03,2.991477092544616440e-02,9.687661194344862059e-01,3.447917961926272312e-02
6.783066240044423496e-03,2.967366699782628903e+00,7.051160939854672388e-05,1.249360281950174286e-03,2.992304482527706824e-02,9.687570832833748424e-01,3.449015815458089662e-02
6.882298252016637828e-03,2.967356548486095758e+00,7.057320871547746743e-05,1.250083805672748492e-03,2.993156427640999637e-02,9.687477787092010351e-01,3.450146345080717936e-02
6.982981966191297192e-03,2.967346095364454595e+00,7.063667444304196172e-05,1.250829027719157875e-03,2.994033655677924219e-02,9.687381977410590705e-01,3.451310524969208871e-02
7.085138620062668251e-03,2.967335331447489732e+00,7.070206416442213608e-05,1.251596604161278299e-03,2.994936915169634992e-02,9.687283321799784463e-01,3.452509357416744251e-02
7.188789761816253426e-03,2.967324247498727363e+00,7.076943730037458147e-05,1.252387211219382250e-03,2.995866976693396452e-02,9.687181735845467045e-01,3.453743874598735886e-02
7.293957254874025749e-03,2.967312834007546307e+00,7.083885517138638387e-05,1.253201545898434107e-03,2.996824633513999955e-02,9.687077132637893495e-01,3.455015139466688368e-02
7.400663282506108817e-03,2.967301081181086264e+00,7.091038106213933239e-05,1.254040326645535592e-03,2.997810702243523459e-02,9.686969422698568088e-01,3.456324246665509747e-02
7.508930352509999955e-03,2.967288978935874955e+00,7.098408028840345863e-05,1.254904294029592386e-03,2.998826023520104189e-02,9.686858513904810231e-01,3.457672323485638799e-02
7.618781301958174428e-03,2.967276516889261195e+00,7.106002026637734921e-05,1.255794211442991986e-03,2.999871462705211086e-02,9.686744311412380792e-01,3.459060530832758218e-02
7.730239302015187892e-03,2.967263684350589070e+00,7.113827058463164136e-05,1.256710865826713786e-03,3.000947910600549814e-02,9.686626717575838041e-01,3.460490064227172979e-02
7.843327862825199073e-03,2.967250470312066568e+00,7.121890307881530949e-05,1.257655068420288850e-03,3.002056284185800408e-02,9.686505631866434429e-01,3.461962154846176531e-02
7.958070838471080141e-03,2.967236863439438821e+00,7.130199190911892890e-05,1.258627655536079639e-03,3.003197527376081505e-02,9.686380950787937261e-01,3.463478070580272572e-02
8.074492432005990830e-03,2.967222852059603344e+00,7.138761365750257912e-05,1.259629489556319919e-03,3.004372612031314116e-02,9.686252567764735977e-01,3.465039117434542959e-02
8.192617200558615850e-03,2.967208424129947453e+00,7.147584753809716103e-05,1.260661461244084753e-03,3.005582540495280175e-02,9.686120372862658812e-01,3.466646642972293080e-02
8.312470060513027503e-03,2.967193567268771481e+00,7.156677523585329404e-05,1.261724487695694034e-03,3.006828343012767774e-02,9.685984253069400696e-01,3.468302032949033276e-02
8.434076292764424235e-03,2.967178268733378754e+00,7.166048106623236990e-05,1.262819514041207047e-03,3.008111079534063481e-02,9.685844092095520219e-01,3.470006713776108143e-02
8.557461548051658456e-03,2.967162515403300560e+00,7.175705210501932558e-05,1.263947514783273158e-03,3.009431841081885647e-02,9.685699770222931937e-01,3.471762154425661606e-02
8.682651852367847742e-03,2.967146293769196586e+00,7.185657828559624581e-05,1.265109494743668931e-03,3.010791750645643028e-02,9.685551164205133956e-01,3.473569867690962099e-02
8.809673612450058186e-03,2.967129589921419619e+00,7.195915250000069847e-05,1.266306490041893594e-03,3.012191964099936517e-02,9.685398147164595573e-01,3.475431411492557743e-02
8.938553621349419956e-03,2.967112389538191231e+00,7.206487070394657145e-05,1.267539569107115202e-03,3.013633671148133880e-02,9.685240588487071811e-01,3.477348390236301157e-02
9.069319064082610043e-03,2.967094677873550523e+00,7.217383202601488658e-05,1.268809833725097723e-03,3.015118096292092667e-02,9.685078353713278965e-01,3.479322456181321854e-02
9.201997523366088269e-03,2.967076439730026216e+00,7.228613897239842751e-05,1.270118421183722649e-03,3.016646501068983438e-02,9.684911304291542455e-01,3.481355312532485868e-02
9.336616985434162061e-03,2.967057659432945638e+00,7.240189762488409011e-05,1.271466506320948235e-03,3.018220186153720841e-02,9.684739297345167364e-01,3.483448716341186469e-02
9.473205845942243505e-03,2.967038320879946234e+00,7.252121737747542788e-05,1.272855298184698758e-03,3.019840487155393480e-02,9.684562186128846673e-01,3.485604473027059669e-02
9.611792915956403685e-03,2.967018407494186327e+00,7.264421126820792927e-05,1.274286043612097999e-03,3.021508778478746923e-02,9.684379819603331496e-01,3.487824441642217721e-02
9.752407428030575656e-03,2.966997902208230897e+00,7.277099612544501105e-05,1.275760028626274009e-03,3.023226474614299289e-02,9.684192042291061009e-01,3.490110536711021894e-02
9.895079042372622105e-03,2.966976787449676412e+00,7.290169270623266461e-05,1.277278579720826429e-03,3.024995031276253230e-02,9.683998694148101549e-01,3.492464729886002317e-02
1.003983785310070750e-02,2.966955045126385304e+00,7.303642584035861828e-05,1.278843065189741186e-03,3.026815946571365101e-02,9.683799610432560767e-01,3.494889051643745859e-02
1.018671439459109714e-02,2.966932656585388628e+00,7.317532474094702697e-05,1.280454898367137506e-03,3.028690764365244217e-02,9.683594621332388686e-01,3.497385595929536350e-02
1.033573964791884535e-02,2.966909602587460171e+00,7.331852322261091324e-05,1.282115539764513588e-03,3.030621076334283348e-02,9.683383551736700623e-01,3.499956523048552981e-02
1.048694504739275911e-02,2.966885863378208477e+00,7.346615932300825486e-05,1.283826492268030006e-03,3.032608515928816167e-02,9.683166221891214009e-01,3.502604051805668917e-02
1.064036248718587714e-02,2.966861418621584701e+00,7.361837578173791973e-05,1.285589306260330423e-03,3.034654763855117870e-02,9.682942446794072788e-01,3.505330466984801774e-02
1.079602432806304677e-02,2.966836247380845837e+00,7.377532022961103464e-05,1.287405581349285698e-03,3.036761549576907915e-02,9.682712036026527302e-01,3.508138121544135402e-02
1.095396340420681444e-02,2.966810328101059824e+00,7.393714537274531575e-05,1.289276968006422856e-03,3.038930652680631866e-02,9.682474793598137008e-01,3.511029438643831213e-02
1.111421303014328149e-02,2.966783638532441536e+00,7.410400955182336964e-05,1.291205173507228030e-03,3.041163909188732486e-02,9.682230517250531854e-01,3.514006920274148627e-02
1.127680700776919134e-02,2.966756155760453595e+00,7.427607664022325268e-05,1.293191960186980015e-03,3.043463208925303518e-02,9.681978998739202424e-01,3.517073143993698636e-02
1.144177963348188588e-02,2.966727856254347984e+00,7.445351582965934161e-05,1.295239142379026867e-03,3.045830491340629012e-02,9.681720024283855253e-01,3.520230757595399496e-02
1.160916570541350654e-02,2.966698715789535257e+00,7.463650221044722786e-05,1.297348592495645679e-03,3.048267751884295787e-02,9.681453373864511436e-01,3.523482487865159385e-02
1.177900053077110543e-02,2.966668709427484174e+00,7.482521699880293538e-05,1.299522242984676871e-03,3.050777043554983581e-02,9.681178821044664762e-01,3.526831142924891083e-02
1.195131993328404051e-02,2.966637811412008219e+00,7.501984829771185471e-05,1.301762094380945912e-03,3.053360485433747468e-02,9.680896132029841450e-01,3.530279623915788534e-02
1.212616026076042235e-02,2.966605995226931025e+00,7.522059085063057611e-05,1.304070211704271356e-03,3.056020257710845983e-02,9.680605066203364917e-01,3.533830918679647937e-02
1.230355839275401424e-02,2.966573233650743990e+00,7.542764581684169019e-05,1.306448721087120554e-03,3.058758596963172954e-02,9.680305376634644743e-01,3.537488095776275543e-02
1.248355174834338450e-02,2.966539498661141749e+00,7.564122150046443044e-05,1.308899817321841587e-03,3.061577803971235814e-02,9.679996809214651554e-01,3.541254315265973673e-02
