G_mM,U,p0,p1,p2,p3,variance
5.000000000000000104e-03,2.967523585107839423e+00,1.268646070796434858e-06,3.477665698702033848e-04,3.177707581420822353e-02,9.678738889698508263e-01,3.212484238407675718e-02
5.073146869321709836e-03,2.967518098613048050e+00,1.269289146335338946e-06,3.478834384648747083e-04,3.178232664258275053e-02,9.678685206298059951e-01,3.213021008104988141e-02
5.147363831541739397e-03,2.967512448973083306e+00,1.269951571291249203e-06,3.480038025282982598e-04,3.178773356714622439e-02,9.678629926787541971e-01,3.213573736967489936e-02
5.222666541449155417e-03,2.967506631337460732e+00,1.270633934690990863e-06,3.481277672091566606e-04,3.179330122631687794e-02,9.678573003725392532e-01,3.214142899352623317e-02
5.299070882852805961e-03,2.967500640711534743e+00,1.271336843901810075e-06,3.482554408552122048e-04,3.179903439622312755e-02,9.678514388260777146e-01,3.214728983707715315e-02
5.376592971931709077e-03,2.967494471952215829e+00,1.272060925226643878e-06,3.483869351127575264e-04,3.180493799478342071e-02,9.678454030091786509e-01,3.215332492989553259e-02
5.455249160634497579e-03,2.967488119763554977e+00,1.272806824520877716e-06,3.485223650294188907e-04,3.181101708591262123e-02,9.678391877422334311e-01,3.215953945094263133e-02
5.535056040128558466e-03,2.967481578692212629e+00,1.273575207829579970e-06,3.486618491600954311e-04,3.181727688384358016e-02,9.678327876917884875e-01,3.216593873300332973e-02
5.616030444299684003e-03,2.967474843122779760e+00,1.274366762047712892e-06,3.488055096764501248e-04,3.182372275758108687e-02,9.678261973659804118e-01,3.217252826726024750e-02
5.698189453302871139e-03,2.967467907272963945e+00,1.275182195603847018e-06,3.489534724800100770e-04,3.183036023548910937e-02,9.678194111098352703e-01,3.217931370796911494e-02
5.781550397165095834e-03,2.967460765188635552e+00,1.276022239167577034e-06,3.491058673188703683e-04,3.183719501000931845e-02,9.678124231004326949e-01,3.218630087732776701e-02
