G_mM,U,p0,p1,p2,p3,variance
5.000000000000000104e-03,2.967523585107838979e+00,1.760744992642652664e-06,4.089013652539902821e-04,3.165332992667512640e-02,9.679360079630782154e-01,3.225006456837675728e-02
5.073146869321709836e-03,2.967518098613048494e+00,1.761637512677273057e-06,4.090386420651473290e-04,3.165853919028325386e-02,9.679306605301389865e-01,3.225547457844690769e-02
5.147363831541739397e-03,2.967512448973083306e+00,1.762556887632178234e-06,4.091800246697822581e-04,3.166390330691435523e-02,9.679251541115282409e-01,3.226104544585517431e-02
5.222666541449155417e-03,2.967506631337461176e+00,1.763503935013550319e-06,4.093256365716259663e-04,3.166942687759098651e-02,9.679194839819024176e-01,3.226678195225041179e-02
5.299070882852805961e-03,2.967500640711534743e+00,1.764479497782195814e-06,4.094756050316779349e-04,3.167511463990868581e-02,9.679136452755617848e-01,3.227268902135271844e-02
5.376592971931709077e-03,2.967494471952214941e+00,1.765484445179496322e-06,4.096300611849592460e-04,3.168097147207916964e-02,9.679076329822906555e-01,3.227877172316340193e-02
5.455249160634497579e-03,2.967488119763554977e+00,1.766519673583676901e-06,4.097891401612785553e-04,3.168700239710173922e-02,9.679014419430633787e-01,3.228503527829928998e-02
5.535056040128558466e-03,2.967481578692213073e+00,1.767586107393985438e-06,4.099529812096005979e-04,3.169321258704582700e-02,9.678950668456371975e-01,3.229148506249934769e-02
5.616030444299684003e-03,2.967474843122779760e+00,1.768684699947152220e-06,4.101217278266447094e-04,3.169960736746694346e-02,9.678885022200064414e-01,3.229812661118813821e-02
5.698189453302871139e-03,2.967467907272963945e+00,1.769816434466226929e-06,4.102955278896833831e-04,3.170619222195318609e-02,9.678817424337226027e-01,3.230496562422047191e-02
5.781550397165095834e-03,2.967460765188635108e+00,1.770982325042400997e-06,4.104745337935861832e-04,3.171297279680227593e-02,9.678747816870790777e-01,3.231200797079303300e-02
5.866130859440759661e-03,2.967453410738725594e+00,1.772183417651746363e-06,4.106589025923511175e-04,3.171995490583655319e-02,9.678676140081534651e-01,3.231925969442350777e-02
5.951948680920672585e-03,2.967445837609969050e+00,1.773420791209390321e-06,4.108487961454588113e-04,3.172714453536645829e-02,9.678602332476968773e-01,3.232672701815175742e-02
6.039021963395238904e-03,2.967438039301497632e+00,1.774695558659500392e-06,4.110443812687397821e-04,3.173454784928887717e-02,9.678526330738836947e-01,3.233441634986178315e-02
6.127369073472727599e-03,2.967430009119269130e+00,1.776008868106224499e-06,4.112458298904819341e-04,3.174217119434560169e-02,9.678448069668957876e-01,3.234233428774935248e-02
6.217008646453367829e-03,2.967421740170331557e+00,1.777361903984599035e-06,4.114533192125627336e-04,3.175002110553130918e-02,9.678367482133520827e-01,3.235048762598857763e-02
6.307959590260181146e-03,2.967413225356917650e+00,1.778755888274465661e-06,4.116670318770008770e-04,3.175810431166371101e-02,9.678284499005710417e-01,3.235888336052639147e-02
6.400241089427259958e-03,2.967404457370367510e+00,1.780192081757606901e-06,4.118871561378863611e-04,3.176642774111149148e-02,9.678199049106689378e-01,3.236752869507775188e-02
6.493872609146422031e-03,2.967395428684863834e+00,1.781671785322783142e-06,4.121138860393279836e-04,3.177499852770149930e-02,9.678111059144738348e-01,3.237643104728249455e-02
6.588873899373035546e-03,2.967386131550990402e+00,1.783196341316741507e-06,4.123474215990369598e-04,3.178382401678787189e-02,9.678020453652718125e-01,3.238559805504515055e-02
6.685264998991968799e-03,2.967376557989091612e+00,1.784767134946450521e-06,4.125879689982653743e-04,3.179291177150701808e-02,9.677927154923597897e-01,3.239503758307549219e-02
6.783066240044423496e-03,2.967366699782442829e+00,1.786385595732903416e-06,4.128357407780543632e-04,3.180226957921346298e-02,9.677831082944127195e-01,3.240475772960138556e-02
6.882298252016637828e-03,2.967356548470213795e+00,1.788053199019199309e-06,4.130909560421083446e-04,3.181190545810503451e-02,9.677732155326538299e-01,3.241476683328592401e-02
