G_mM,min_pair_TV,TV_0_1,TV_0_2,TV_0_3,TV_1_2,TV_1_3,TV_2_3
2.000000000000000042e-02,1.461668419992697961e-04,2.330511487719298495e-03,6.164553786229520207e-04,1.461668419992697961e-04,2.946966866342250191e-03,2.184344645720028618e-03,7.626222206222217897e-04
2.031315678910437100e-02,1.469586104794168399e-04,2.342622607524551866e-03,6.197890769990497531e-04,1.469586104794168399e-04,2.962411684523601728e-03,2.195663997045135298e-03,7.667476874784666472e-04
2.063121693693683797e-02,1.477777432910948297e-04,2.355147785408723011e-03,6.232379198030767046e-04,1.477777432910948297e-04,2.978385705211799607e-03,2.207370042117628127e-03,7.710156630941715885e-04
2.095425721950117809e-02,1.486252501280392602e-04,2.368102120827493811e-03,6.268061904370820538e-04,1.486252501280392602e-04,2.994908311264575865e-03,2.219476870699454551e-03,7.754314405651213139e-04
2.128235561494747075e-02,1.495021817039477656e-04,2.381501195172477416e-03,6.304983169026401497e-04,1.495021817039477656e-04,3.011999512075117132e-03,2.231999013468529379e-03,7.800004986065879695e-04
2.161559132239518344e-02,1.504096316239743715e-04,2.395361122749128067e-03,6.343188491129418856e-04,1.504096316239743715e-04,3.029679971862069519e-03,2.244951491125153371e-03,7.847284807369162571e-04
2.195404478105085835e-02,1.513487383522032863e-04,2.409698775463699379e-03,6.382725865992241142e-04,1.513487383522032863e-04,3.047971362062923059e-03,2.258350037111495848e-03,7.896213249514274276e-04
2.229779768962521919e-02,1.523206872801221960e-04,2.424531734408289993e-03,6.423645271931503319e-04,1.523206872801221960e-04,3.066896261601440542e-03,2.272211047128168231e-03,7.946852144732725279e-04
2.264693302605431252e-02,1.533267129004824234e-04,2.439878163259451456e-03,6.465998673167540952e-04,1.533267129004824234e-04,3.086478030576205334e-03,2.286551450358968816e-03,7.999265802172365186e-04
2.300153506752934326e-02,1.543681010950306723e-04,2.455756977229116983e-03,6.509840135945005931e-04,1.543681010950306723e-04,3.106740990823617793e-03,2.301388876134086419e-03,8.053521146895312654e-04
2.336168941084029380e-02,1.554461915393093177e-04,2.472187881460223644e-03,6.555225911686667160e-04,1.554461915393093177e-04,3.127710472628890577e-03,2.316741689920914435e-03,8.109687827079761421e-04
2.372748299303790998e-02,1.565623802329583016e-04,2.489191440269293218e-03,6.602214584055939809e-04,1.565623802329583016e-04,3.149412898674887416e-03,2.332629060036334970e-03,8.167838386385522283e-04
2.409900411241931023e-02,1.577181221627172488e-04,2.506788990846654970e-03,6.650867346982459885e-04,1.577181221627172488e-04,3.171875725544901284e-03,2.349070868683938128e-03,8.228048568609632645e-04
2.447634244984222066e-02,1.589149341038593023e-04,2.525002735851697433e-03,6.701247974796459284e-04,1.589149341038593023e-04,3.195127533331343361e-03,2.366087801747838483e-03,8.290397315835052036e-04
2.485958909037278355e-02,1.601543975699867232e-04,2.543855796575611710e-03,6.753422943942922552e-04,1.601543975699867232e-04,3.219198090969903857e-03,2.383701399005625204e-03,8.354966919642789784e-04
2.524883654527254259e-02,1.614381619185049931e-04,2.563372251702460917e-03,6.807461565481577690e-04,1.614381619185049931e-04,3.244118408250618469e-03,2.401934089783955978e-03,8.421843184666627079e-04
2.564417877432947218e-02,1.627679476194137601e-04,2.583577178517747555e-03,6.863436118337598287e-04,1.627679476194137601e-04,3.269920790351507275e-03,2.420809230898333768e-03,8.491115594531736159e-04
2.604571120853883121e-02,1.641455496992831977e-04,2.604496696758980354e-03,6.921421984804267298e-04,1.641455496992831977e-04,3.296638895239407084e-03,2.440351147059697211e-03,8.562877481797098733e-04
2.645353077313911463e-02,1.655728413676998555e-04,2.626158015364522553e-03,6.981497931028791742e-04,1.655728413676998555e-04,3.324307808467401835e-03,2.460585173996822535e-03,8.637226344705790839e-04
2.686773591100859518e-02,1.670517778381597240e-04,2.648589482382630172e-03,7.043746222286255193e-04,1.670517778381597240e-04,3.352964104611256234e-03,2.481537704544470747e-03,8.714264000667852703e-04
2.728842660642837384e-02,1.685844003541469671e-04,2.671820638323332657e-03,7.108252617534105032e-04,1.685844003541469671e-04,3.382645900076743269e-03,2.503236237969185853e-03,8.794096621075574161e-04
2.771570440921734130e-02,1.701728404314153075e-04,2.695882273275617119e-03,7.175106575033555600e-04,1.701728404314153075e-04,3.413392930778972462e-03,2.525709432844201567e-03,8.876834979347708945e-04
2.814967245924514250e-02,1.718193243288577998e-04,2.720806488129434101e-03,7.244401383736902419e-04,1.718193243288577998e-04,3.445246626503124451e-03,2.548987163800576355e-03,8.962594627025479875e-04
2.859043551132898695e-02,1.735261777633226895e-04,2.746626760289310951e-03,7.316234753184419799e-04,1.735261777633226895e-04,3.478250235607752497e-03,2.573100582525987990e-03,9.051496530817646153e-04
2.903809996052013689e-02,1.752958308765820085e-04,2.773377988192630636e-03,7.390709292927883202e-04,1.752958308765820085e-04,3.512448917485418848e-03,2.598082157316048465e-03,9.143667601693703829e-04
2.949277386778654392e-02,1.771308234765730702e-04,2.801096487710172042e-03,7.467931162195495451e-04,1.771308234765730702e-04,3.547889603929721587e-03,2.623965664233598918e-03,9.239239396961226695e-04
2.995456698609741050e-02,1.790338105615121346e-04,2.829820225743701761e-03,7.548011648096653037e-04,1.790338105615121346e-04,3.584621390553367065e-03,2.650786415182189437e-03,9.338349753711774111e-04
3.042359078691629290e-02,1.810075681472481167e-04,2.859588856349546109e-03,7.631068101034394575e-04,1.810075681472481167e-04,3.622695666452985675e-03,2.678581288202298155e-03,9.441143782506876284e-04
3.089995848710909085e-02,1.830549994139905163e-04,2.890443714748995585e-03,7.717221370987833572e-04,1.830549994139905163e-04,3.662165851847779159e-03,2.707388715335005015e-03,9.547771365127739277e-04
3.138378507627314490e-02,1.851791411906687453e-04,2.922427773188847160e-03,7.806600014972016376e-04,1.851791411906687453e-04,3.703087774686048689e-03,2.737248631998178468e-03,9.658391426878703287e-04
3.187518734449450858e-02,1.873831707954726048e-04,2.955586161530158670e-03,7.899336325498674529e-04,1.873831707954726048e-04,3.745519794080026232e-03,2.768202990734686120e-03,9.773168033453401120e-04
3.237428391053961269e-02,1.896704132542772255e-04,2.989965810802721648e-03,7.995570939971903502e-04,1.896704132542772255e-04,3.789522904799912106e-03,2.800295397548444639e-03,9.892275072514674673e-04
