model,PII_uM,pred_min,pred_max,reported_minus10pct,reported_plus10pct
0.000000000000000000e+00,5.000000000000000000e-01,3.387112576119096996e+00,3.744429179575412103e+00,4.707000000000000739e+00,5.753000000000001002e+00
0.000000000000000000e+00,5.000000000000000000e+00,3.603429064242273050e+00,3.977839231182756841e+00,5.814000000000000057e+00,7.106000000000000760e+00
0.000000000000000000e+00,3.600000000000000000e+01,4.877021650221920801e+00,4.921798288602475147e+00,4.032000000000000917e+00,4.928000000000000824e+00
1.000000000000000000e+00,5.000000000000000000e-01,2.470183354576365176e+00,2.579088104196914255e+00,4.707000000000000739e+00,5.753000000000001002e+00
1.000000000000000000e+00,5.000000000000000000e+00,2.535324843333187417e+00,2.655869737488388616e+00,5.814000000000000057e+00,7.106000000000000760e+00
1.000000000000000000e+00,3.600000000000000000e+01,3.166683427588223410e+00,3.326708260537406314e+00,4.032000000000000917e+00,4.928000000000000824e+00
2.000000000000000000e+00,5.000000000000000000e-01,5.266128890085226999e+00,6.126291606375108501e+00,4.707000000000000739e+00,5.753000000000001002e+00
2.000000000000000000e+00,5.000000000000000000e+00,5.815659196279832521e+00,6.534796084638855085e+00,5.814000000000000057e+00,7.106000000000000760e+00
2.000000000000000000e+00,3.600000000000000000e+01,5.911912197740760710e+00,6.292377714542281453e+00,4.032000000000000917e+00,4.928000000000000824e+00
3.000000000000000000e+00,5.000000000000000000e-01,3.387112576119095220e+00,3.744429179576186595e+00,4.707000000000000739e+00,5.753000000000001002e+00
3.000000000000000000e+00,5.000000000000000000e+00,3.603429064242273494e+00,3.977839231183679214e+00,5.814000000000000057e+00,7.106000000000000760e+00
3.000000000000000000e+00,3.600000000000000000e+01,4.877021650221928795e+00,4.921798288602484028e+00,4.032000000000000917e+00,4.928000000000000824e+00
