KG_mM,alpha,trials,rejection_rate,interval_low,interval_high,invalid_trials,mean_fit_rmse
7.8,0.18,100,0.0,0.0,0.036993498206983715,0,0.027005240243391983
7.8,0.19,100,0.0,0.0,0.036993498206983715,0,0.027054705711230528
7.8,0.2,100,0.0,0.0,0.036993498206983715,0,0.02694801706005949
7.8,0.22,100,0.45,0.3561453797951223,0.5475539700255762,0,0.026810450042064365
11.7,0.18,100,0.01,0.0017674320641407164,0.05448619617870333,0,0.026863646981477834
11.7,0.19,100,0.06,0.02778612396318876,0.1247681544589569,0,0.02696349327444159
11.7,0.2,100,0.46,0.3656080830902435,0.5573513967663152,0,0.026972201052752734
11.7,0.22,100,0.98,0.9299882092714581,0.9944980324498375,0,0.026717930869600278
15.6,0.18,100,0.37,0.2818236053432475,0.4677947041905682,0,0.02683194758617762
15.6,0.19,100,0.89,0.8136870349691994,0.9374580364293534,0,0.026879896035209558
15.6,0.2,100,0.98,0.9299882092714581,0.9944980324498375,0,0.026793819977148203
15.6,0.22,100,1.0,0.9630065017930163,1.0,0,0.02687322678047865
