KG_mM,alpha,trial,mean_score,score_se,rejected,valid_fit
7.8,0.18,0,-1.526404757655469,0.03257756764392344,0,1
7.8,0.18,1,-1.498039105496086,0.0413529606183648,0,1
7.8,0.18,2,-1.4915764015095863,0.043400819777285146,0,1
7.8,0.18,3,-1.5631865593018888,0.04282674943689948,0,1
7.8,0.18,4,-1.4710231018948434,0.022231969388472838,0,1
7.8,0.18,5,-1.514242907069299,0.04483759444612761,0,1
7.8,0.18,6,-1.4839415944140382,0.040600816299044606,0,1
7.8,0.18,7,-1.4464300370608265,0.04009105676382192,0,1
7.8,0.18,8,-1.4736050611884661,0.04794373646396156,0,1
7.8,0.18,9,-1.4755100040186,0.03800545293563194,0,1
7.8,0.18,10,-1.4434313284562057,0.014316786233036352,0,1
7.8,0.18,11,-1.4446468601934537,0.030907278126256498,0,1
7.8,0.18,12,-1.466437836451755,0.020790959982093273,0,1
7.8,0.18,13,-1.4943134915478544,0.03880349930318841,0,1
7.8,0.18,14,-1.4791720309671572,0.026995008724441653,0,1
7.8,0.18,15,-1.463015026264839,0.026585451635423484,0,1
7.8,0.18,16,-1.480858332539077,0.04897541890780388,0,1
7.8,0.18,17,-1.5408109432479014,0.04127046797890515,0,1
7.8,0.18,18,-1.4994954853344014,0.049066407971819104,0,1
7.8,0.18,19,-1.4428405152726635,0.028985215432933118,0,1
7.8,0.18,20,-1.5161689005966308,0.05306622394283265,0,1
7.8,0.18,21,-1.4654563336765785,0.03086598012105673,0,1
7.8,0.18,22,-1.5038812770772942,0.05565049472613864,0,1
7.8,0.18,23,-1.4494849657901363,0.02884348159698409,0,1
7.8,0.18,24,-1.465808935192214,0.03422586710984284,0,1
7.8,0.18,25,-1.473617774759571,0.02776571048247073,0,1
7.8,0.18,26,-1.4972614340657795,0.03554759964601735,0,1
7.8,0.18,27,-1.4455353561024222,0.025500216391574532,0,1
7.8,0.18,28,-1.4328369785745856,0.04113000033350771,0,1
7.8,0.18,29,-1.4753218149711524,0.009369310965297088,0,1
7.8,0.18,30,-1.532597991734773,0.03878278247075902,0,1
7.8,0.18,31,-1.5053148396660387,0.0382981006149106,0,1
7.8,0.18,32,-1.4244563821434357,0.022691589569393284,0,1
7.8,0.18,33,-1.4327961013453896,0.035473898087610395,0,1
7.8,0.18,34,-1.5221543112048537,0.04163842539378251,0,1
7.8,0.18,35,-1.5282775009452876,0.05611021539437924,0,1
7.8,0.18,36,-1.487937322131238,0.05312869376977867,0,1
7.8,0.18,37,-1.4561677924001974,0.03532056036193807,0,1
7.8,0.18,38,-1.4245159417857804,0.037470077205840856,0,1
7.8,0.18,39,-1.422358155668679,0.029604952720465254,0,1
7.8,0.18,40,-1.4819153023893796,0.030855000961800463,0,1
7.8,0.18,41,-1.4775747798772718,0.03219640265782976,0,1
7.8,0.18,42,-1.445872451714172,0.03034463783696828,0,1
7.8,0.18,43,-1.4628093498504073,0.029790607560324762,0,1
7.8,0.18,44,-1.5211197100685725,0.04739789379256155,0,1
7.8,0.18,45,-1.4713399004408945,0.03855389172565479,0,1
7.8,0.18,46,-1.4251444299492113,0.025500449886819584,0,1
7.8,0.18,47,-1.463879023335524,0.02541803319634086,0,1
7.8,0.18,48,-1.4999806541649858,0.0344473904372144,0,1
7.8,0.18,49,-1.4677948572811328,0.037256299126035466,0,1
7.8,0.18,50,-1.4983410485038764,0.04559186417204286,0,1
7.8,0.18,51,-1.420280717700631,0.02569930768660578,0,1
7.8,0.18,52,-1.4601664182445524,0.029403706073896037,0,1
7.8,0.18,53,-1.470807947895936,0.036042048117710154,0,1
7.8,0.18,54,-1.4452497877728308,0.030443370977928663,0,1
7.8,0.18,55,-1.4718024370077392,0.020166312237915613,0,1
7.8,0.18,56,-1.5131496230153902,0.024863848588401044,0,1
7.8,0.18,57,-1.4741611149322156,0.03550709351087699,0,1
7.8,0.18,58,-1.4591278515996344,0.030683374017035987,0,1
7.8,0.18,59,-1.47415646717057,0.03951002003668047,0,1
7.8,0.18,60,-1.4514237951796454,0.03452447059663043,0,1
7.8,0.18,61,-1.4518763822381717,0.02763726165130115,0,1
7.8,0.18,62,-1.4826091334682805,0.04156505516763427,0,1
7.8,0.18,63,-1.4682636637460302,0.03264898068521944,0,1
7.8,0.18,64,-1.4782214708730577,0.04058919263565599,0,1
7.8,0.18,65,-1.5079639386018542,0.02660620224031833,0,1
7.8,0.18,66,-1.4324881715451743,0.03883520839796641,0,1
7.8,0.18,67,-1.3911838003151584,0.03927083893994662,0,1
7.8,0.18,68,-1.4563622363255018,0.027531569530793124,0,1
7.8,0.18,69,-1.4741166227395048,0.024703043872304414,0,1
7.8,0.18,70,-1.4735266417886117,0.03469749334754173,0,1
7.8,0.18,71,-1.433320233809122,0.031782903966303774,0,1
7.8,0.18,72,-1.4808300675192605,0.033030741747719285,0,1
7.8,0.18,73,-1.4573246647723432,0.028104382461258723,0,1
7.8,0.18,74,-1.5223121336075676,0.023956421171735867,0,1
7.8,0.18,75,-1.4761060553690877,0.04572211251832297,0,1
7.8,0.18,76,-1.4755171915661633,0.0233953395786711,0,1
7.8,0.18,77,-1.4383121870483717,0.033579475944630566,0,1
7.8,0.18,78,-1.4741079623122464,0.027041625933450674,0,1
7.8,0.18,79,-1.5095557468859582,0.032988846182313805,0,1
7.8,0.18,80,-1.440369994933643,0.044416839660550766,0,1
7.8,0.18,81,-1.481012374273472,0.040141096899404566,0,1
7.8,0.18,82,-1.5429089269973966,0.036927175018616296,0,1
7.8,0.18,83,-1.455666556043087,0.05466479222940971,0,1
7.8,0.18,84,-1.476355139973934,0.026172094364809773,0,1
7.8,0.18,85,-1.4321677420473216,0.04023476703320763,0,1
7.8,0.18,86,-1.4792377341029868,0.023937780214300812,0,1
7.8,0.18,87,-1.4960529618296707,0.04172693943684307,0,1
7.8,0.18,88,-1.4931756716527425,0.035727271748248,0,1
7.8,0.18,89,-1.4102582265323027,0.01129690369941411,0,1
7.8,0.18,90,-1.4404558592695333,0.04387156980289606,0,1
7.8,0.18,91,-1.4909380054667447,0.037008195926253186,0,1
7.8,0.18,92,-1.537905121362782,0.053653215846591634,0,1
7.8,0.18,93,-1.5341201632841948,0.029874248837311167,0,1
7.8,0.18,94,-1.4692033304527727,0.029395016031168508,0,1
7.8,0.18,95,-1.422282991494897,0.0268622058167218,0,1
7.8,0.18,96,-1.4418455939018417,0.028844661796729853,0,1
7.8,0.18,97,-1.4619821560766835,0.04515037422153941,0,1
7.8,0.18,98,-1.5264650769451404,0.044298667185161414,0,1
7.8,0.18,99,-1.4999916439080139,0.02766861285832885,0,1
7.8,0.19,0,-1.3767280686137278,0.034846213768405,0,1
7.8,0.19,1,-1.4674696420008315,0.045308731941426726,0,1
7.8,0.19,2,-1.3803732491992853,0.01930159860661455,0,1
7.8,0.19,3,-1.406464467181465,0.03249405092285897,0,1
7.8,0.19,4,-1.3852880398790175,0.019171323824044198,0,1
7.8,0.19,5,-1.3818541887780582,0.040787030164009745,0,1
7.8,0.19,6,-1.4109345197192167,0.043863364711567425,0,1
7.8,0.19,7,-1.390977530478286,0.03609085273946219,0,1
7.8,0.19,8,-1.4468999407986134,0.0464796057456412,0,1
7.8,0.19,9,-1.410663385099817,0.03762263623822811,0,1
7.8,0.19,10,-1.489182472610727,0.05045639274567013,0,1
7.8,0.19,11,-1.44096827664572,0.03489706606104911,0,1
7.8,0.19,12,-1.4768504401452174,0.049049351848125124,0,1
7.8,0.19,13,-1.3384763088366354,0.031639004985867455,0,1
7.8,0.19,14,-1.4130019135876974,0.03150837784572314,0,1
7.8,0.19,15,-1.4391476472715148,0.04466826428544852,0,1
7.8,0.19,16,-1.4113782209650245,0.0350810913566465,0,1
7.8,0.19,17,-1.4239406598759943,0.02724866103955858,0,1
7.8,0.19,18,-1.4382275825611852,0.020090090144068474,0,1
7.8,0.19,19,-1.4091815127730332,0.04290789860037525,0,1
7.8,0.19,20,-1.3749225655905295,0.03994142890992268,0,1
7.8,0.19,21,-1.4057627601601859,0.040667892595641984,0,1
7.8,0.19,22,-1.4031576283690181,0.02885658099700415,0,1
7.8,0.19,23,-1.4647256916085727,0.031109798025819032,0,1
7.8,0.19,24,-1.4754207974329197,0.03637644585283414,0,1
7.8,0.19,25,-1.3908942779340676,0.029651397639917514,0,1
7.8,0.19,26,-1.4770760459468666,0.039653334150800364,0,1
7.8,0.19,27,-1.4801233055408343,0.03860446650504399,0,1
7.8,0.19,28,-1.4175778832945043,0.030030808556269988,0,1
7.8,0.19,29,-1.4858065015957869,0.03177392557135319,0,1
7.8,0.19,30,-1.4804902020008504,0.03670991443786731,0,1
7.8,0.19,31,-1.3901985651171838,0.03159856810876039,0,1
7.8,0.19,32,-1.347809598326726,0.02408622332125264,0,1
7.8,0.19,33,-1.3862352473825352,0.04015317192482627,0,1
7.8,0.19,34,-1.4248922066205896,0.022063108669862733,0,1
7.8,0.19,35,-1.4134116327423478,0.03759656818852609,0,1
7.8,0.19,36,-1.3871594071659192,0.02170372679756629,0,1
7.8,0.19,37,-1.4079585738454017,0.03143293120990157,0,1
7.8,0.19,38,-1.3819410625020252,0.01614577383450334,0,1
7.8,0.19,39,-1.439230532404411,0.0375616261397029,0,1
7.8,0.19,40,-1.434433313153734,0.04745046262886602,0,1
7.8,0.19,41,-1.4091157499271176,0.03280107238991459,0,1
7.8,0.19,42,-1.399512383237743,0.030144683937621555,0,1
7.8,0.19,43,-1.4386786045192244,0.025746248302821063,0,1
7.8,0.19,44,-1.420929643692542,0.02517076945457823,0,1
7.8,0.19,45,-1.4808383014086395,0.026385899185849597,0,1
7.8,0.19,46,-1.3840344818097443,0.0223654368252236,0,1
7.8,0.19,47,-1.4044780161969586,0.028468082725095774,0,1
7.8,0.19,48,-1.384011093951107,0.037050822246614774,0,1
7.8,0.19,49,-1.4340110554544427,0.02285750651380699,0,1
7.8,0.19,50,-1.4018741198505054,0.01773291887054303,0,1
7.8,0.19,51,-1.5007504766420405,0.05217856838795103,0,1
7.8,0.19,52,-1.4522262471035783,0.0300476280734967,0,1
7.8,0.19,53,-1.4213879635612225,0.015526307200235635,0,1
7.8,0.19,54,-1.473237385775061,0.03487240318929953,0,1
