scenario,KG_mM,alpha,experiments_per_trial,trials,rejections,rejection_rate,naive_independence_rejection_rate,mean_ratio_correlation,interval_low,interval_high,invalid_trials,mean_score,null_score,mean_fit_rmse
ideal,7.8,0.17,8,100,0,0.0,0.0,0.34411723598852256,0.0,0.036993498206983715,0,-1.5215535949174779,-1.3419425654988641,0.02694297494808887
ideal,7.8,0.25,8,100,100,1.0,1.0,0.3418050258209876,0.9630065017930163,1.0,0,-1.1577237099502329,-1.3419425654988641,0.02680774946529465
ideal,7.8,0.34,8,100,100,1.0,1.0,0.46700549483843223,0.9630065017930163,1.0,0,-0.884567137097368,-1.3419425654988641,0.026495177284057522
ideal,7.8,0.5,8,100,100,1.0,1.0,0.37930644263845276,0.9630065017930163,1.0,0,-0.5507983170786134,-1.3419425654988641,0.026488908696247808
ideal,7.8,0.68,8,100,100,1.0,1.0,0.4918885505425461,0.9630065017930163,1.0,0,-0.2946070250271823,-1.3419425654988641,0.026170824569070484
ideal,11.7,0.17,8,100,0,0.0,0.0,0.3457116702935393,0.0,0.036993498206983715,0,-1.4220564805489788,-1.3419425654988641,0.026938019182042226
ideal,11.7,0.25,8,100,100,1.0,1.0,0.42300795219563986,0.9630065017930163,1.0,0,-1.0806446850336142,-1.3419425654988641,0.026686657205293406
ideal,11.7,0.34,8,100,100,1.0,1.0,0.48382997122383464,0.9630065017930163,1.0,0,-0.8112860731088444,-1.3419425654988641,0.02653993625345998
ideal,11.7,0.5,8,100,100,1.0,1.0,0.46249051220504517,0.9630065017930163,1.0,0,-0.4990883684085181,-1.3419425654988641,0.026367321311140647
ideal,11.7,0.68,8,100,100,1.0,1.0,0.41001823084272404,0.9630065017930163,1.0,0,-0.26598541362320477,-1.3419425654988641,0.026364538577367768
ideal,15.6,0.17,8,100,6,0.06,0.07,0.4175901727197581,0.02778612396318876,0.1247681544589569,0,-1.339424308497699,-1.3419425654988641,0.026741849832924637
ideal,15.6,0.25,8,100,100,1.0,1.0,0.36915651800938254,0.9630065017930163,1.0,0,-1.008354126745578,-1.3419425654988641,0.02659891547417894
ideal,15.6,0.34,8,100,100,1.0,1.0,0.4329456190860615,0.9630065017930163,1.0,0,-0.7510991162440357,-1.3419425654988641,0.02650740361158131
ideal,15.6,0.5,8,100,100,1.0,1.0,0.48107345607860696,0.9630065017930163,1.0,0,-0.45967973634863873,-1.3419425654988641,0.026531407458899352
ideal,15.6,0.68,8,100,100,1.0,1.0,0.44938759551805296,0.9630065017930163,1.0,0,-0.24110472854363463,-1.3419425654988641,0.026370469023417772
calibration_noise,7.8,0.17,8,100,0,0.0,0.0,0.690050450817002,0.0,0.036993498206983715,0,-1.530974299551627,-1.3419425654988641,0.027095226465779082
calibration_noise,7.8,0.25,8,100,100,1.0,1.0,0.6234487389495652,0.9630065017930163,1.0,0,-1.1721158994214407,-1.3419425654988641,0.026858999427781853
calibration_noise,7.8,0.34,8,100,100,1.0,1.0,0.5363914895530543,0.9630065017930163,1.0,0,-0.8907747765850564,-1.3419425654988641,0.02677357521562965
calibration_noise,7.8,0.5,8,100,100,1.0,1.0,0.4873428606954922,0.9630065017930163,1.0,0,-0.5516546582415139,-1.3419425654988641,0.02660759627386793
calibration_noise,7.8,0.68,8,100,100,1.0,1.0,0.4742314950400207,0.9630065017930163,1.0,0,-0.29868123277447844,-1.3419425654988641,0.026398599604026192
calibration_noise,11.7,0.17,8,100,0,0.0,0.0,0.6677854716070253,0.0,0.036993498206983715,0,-1.4327777905993038,-1.3419425654988641,0.026999026337549054
calibration_noise,11.7,0.25,8,100,100,1.0,1.0,0.5716586006827404,0.9630065017930163,1.0,0,-1.0805781145329751,-1.3419425654988641,0.02665083801748068
calibration_noise,11.7,0.34,8,100,100,1.0,1.0,0.5239421351650169,0.9630065017930163,1.0,0,-0.8188645759376091,-1.3419425654988641,0.026717473362397427
calibration_noise,11.7,0.5,8,100,100,1.0,1.0,0.4893559414196975,0.9630065017930163,1.0,0,-0.5013350861293433,-1.3419425654988641,0.02660571910620565
calibration_noise,11.7,0.68,8,100,100,1.0,1.0,0.47012862631066715,0.9630065017930163,1.0,0,-0.26547621842154323,-1.3419425654988641,0.026286226363966422
calibration_noise,15.6,0.17,8,100,3,0.03,0.03,0.6518466825500052,0.010254524024039209,0.08451936429052548,0,-1.3576434248338982,-1.3419425654988641,0.027147916851116144
calibration_noise,15.6,0.25,8,100,100,1.0,1.0,0.5528283184625031,0.9630065017930163,1.0,0,-1.013942303098303,-1.3419425654988641,0.02674689706129322
calibration_noise,15.6,0.34,8,100,100,1.0,1.0,0.4669747686478019,0.9630065017930163,1.0,0,-0.7565392029889538,-1.3419425654988641,0.0266061296409822
calibration_noise,15.6,0.5,8,100,100,1.0,1.0,0.45889417165420343,0.9630065017930163,1.0,0,-0.45993922372792395,-1.3419425654988641,0.026391209319052464
calibration_noise,15.6,0.68,8,100,100,1.0,1.0,0.4381401109755154,0.9630065017930163,1.0,0,-0.24205649081246175,-1.3419425654988641,0.026320917436415243
dose_bias,7.8,0.17,8,100,0,0.0,0.0,0.6539573366197097,0.0,0.036993498206983715,0,-1.3875453061245353,-1.3419425654988641,0.0270582390613031
dose_bias,7.8,0.25,8,100,100,1.0,1.0,0.5782553463701561,0.9630065017930163,1.0,0,-1.0357616001950538,-1.3419425654988641,0.026695451494054098
dose_bias,7.8,0.34,8,100,100,1.0,1.0,0.5549859957491021,0.9630065017930163,1.0,0,-0.7683827677762807,-1.3419425654988641,0.026704607584207278
dose_bias,7.8,0.5,8,100,100,1.0,1.0,0.4999721947565811,0.9630065017930163,1.0,0,-0.4368611641102765,-1.3419425654988641,0.02647632025342993
dose_bias,7.8,0.68,8,100,100,1.0,1.0,0.43434862154070986,0.9630065017930163,1.0,0,-0.1811224169037346,-1.3419425654988641,0.026259011472062718
dose_bias,11.7,0.17,8,100,49,0.49,0.6,0.5662051364565595,0.3942199893044139,0.5865198806597258,0,-1.2893044639771296,-1.3419425654988641,0.026856896943789295
dose_bias,11.7,0.25,8,100,100,1.0,1.0,0.5544832834232918,0.9630065017930163,1.0,0,-0.9539768129734841,-1.3419425654988641,0.026637426490919745
dose_bias,11.7,0.34,8,100,100,1.0,1.0,0.5181740282661049,0.9630065017930163,1.0,0,-0.690437539146274,-1.3419425654988641,0.02652617524520888
dose_bias,11.7,0.5,8,100,100,1.0,1.0,0.4607222820584153,0.9630065017930163,1.0,0,-0.38062782323665745,-1.3419425654988641,0.026389736964606465
dose_bias,11.7,0.68,8,100,100,1.0,1.0,0.49141931140933304,0.9630065017930163,1.0,0,-0.15100027901758808,-1.3419425654988641,0.026301728343025747
dose_bias,15.6,0.17,8,100,96,0.96,0.97,0.6292966895904643,0.9016292856411229,0.984336696008452,0,-1.217914594565224,-1.3419425654988641,0.026900041843424427
dose_bias,15.6,0.25,8,100,100,1.0,1.0,0.48940880060633746,0.9630065017930163,1.0,0,-0.8819396524863141,-1.3419425654988641,0.026543452081540898
dose_bias,15.6,0.34,8,100,100,1.0,1.0,0.44521429558750414,0.9630065017930163,1.0,0,-0.6367814493743452,-1.3419425654988641,0.026499645519535937
dose_bias,15.6,0.5,8,100,100,1.0,1.0,0.4896976523265559,0.9630065017930163,1.0,0,-0.34200030715287594,-1.3419425654988641,0.026364261206914107
dose_bias,15.6,0.68,8,100,100,1.0,1.0,0.4404396121918748,0.9630065017930163,1.0,0,-0.1292703649969687,-1.3419425654988641,0.026226172691557206
dose_bias_corrected,7.8,0.17,8,100,0,0.0,0.0,0.619749514784236,0.0,0.036993498206983715,0,-1.5291027349710915,-1.3419425654988641,0.027074486883071732
dose_bias_corrected,7.8,0.25,8,100,100,1.0,1.0,0.5648041161346059,0.9630065017930163,1.0,0,-1.1664153818391785,-1.3419425654988641,0.026804864246537958
dose_bias_corrected,7.8,0.34,8,100,100,1.0,1.0,0.4672049504569343,0.9630065017930163,1.0,0,-0.8862913439105927,-1.3419425654988641,0.026654375400326683
dose_bias_corrected,7.8,0.5,8,100,100,1.0,1.0,0.3945548137018584,0.9630065017930163,1.0,0,-0.5507116954843072,-1.3419425654988641,0.026313112458110802
dose_bias_corrected,7.8,0.68,8,100,100,1.0,1.0,0.4551191596318185,0.9630065017930163,1.0,0,-0.2964746571357065,-1.3419425654988641,0.02634591282379848
dose_bias_corrected,11.7,0.17,8,100,0,0.0,0.0,0.5924097569761129,0.0,0.036993498206983715,0,-1.4294257249739113,-1.3419425654988641,0.02696212513459151
dose_bias_corrected,11.7,0.25,8,100,100,1.0,1.0,0.5392997429911236,0.9630065017930163,1.0,0,-1.0837815198120777,-1.3419425654988641,0.026673563302413963
dose_bias_corrected,11.7,0.34,8,100,100,1.0,1.0,0.4788013691626956,0.9630065017930163,1.0,0,-0.8199843366662891,-1.3419425654988641,0.026550836509782006
dose_bias_corrected,11.7,0.5,8,100,100,1.0,1.0,0.43643080667124656,0.9630065017930163,1.0,0,-0.4985257220457322,-1.3419425654988641,0.026401992593512356
dose_bias_corrected,11.7,0.68,8,100,100,1.0,1.0,0.4577140791459054,0.9630065017930163,1.0,0,-0.2695426248579063,-1.3419425654988641,0.026236056540862477
dose_bias_corrected,15.6,0.17,8,100,0,0.0,0.03,0.5878167386508194,0.0,0.036993498206983715,0,-1.356499748177879,-1.3419425654988641,0.02693348152611181
dose_bias_corrected,15.6,0.25,8,100,100,1.0,1.0,0.5390792634217559,0.9630065017930163,1.0,0,-1.0139760017250956,-1.3419425654988641,0.026878568092367994
dose_bias_corrected,15.6,0.34,8,100,100,1.0,1.0,0.48044165153143353,0.9630065017930163,1.0,0,-0.7578052918137514,-1.3419425654988641,0.02665599697375378
dose_bias_corrected,15.6,0.5,8,100,100,1.0,1.0,0.4492399754177705,0.9630065017930163,1.0,0,-0.461793911644172,-1.3419425654988641,0.026342545378530056
dose_bias_corrected,15.6,0.68,8,100,100,1.0,1.0,0.3986414237955281,0.9630065017930163,1.0,0,-0.24327373750523304,-1.3419425654988641,0.02629560852600761
hidden_conformation,7.8,0.17,8,100,100,1.0,1.0,0.5664963745872744,0.9630065017930163,1.0,0,-1.0244013450896026,-1.3419425654988641,0.02807445052212581
