strain,source_row,source_cell,phase,time_min,time_SE,observable,mean_copy_cell,SE_copy_cell,n
WT,8,I8,entry log phase (OD600~0.15),-101,5.999999999999999,GlnB_total,2174.386344831621,189.44865496016848,3
WT,8,L8,entry log phase (OD600~0.15),-101,5.999999999999999,GlnB_unmodified,567.708198620613,141.76703009545633,3
WT,8,O8,entry log phase (OD600~0.15),-101,5.999999999999999,GlnB_UMP,873.2849130706596,171.31003064467473,3
WT,8,R8,entry log phase (OD600~0.15),-101,5.999999999999999,GlnK_total,1512.075152202604,273.2723903297807,3
WT,8,U8,entry log phase (OD600~0.15),-101,5.999999999999999,GlnK_unmodified,421.575984692935,233.0574621589644,3
WT,8,X8,entry log phase (OD600~0.15),-101,5.999999999999999,GlnK_UMP,813.4120907168077,539.5878656942101,3
WT,8,AA8,entry log phase (OD600~0.15),-101,5.999999999999999,GS_total,19948.093235396893,3084.2660789817105,3
WT,8,AD8,entry log phase (OD600~0.15),-101,5.999999999999999,GS_unmodified,20348.563832339238,2417.3399436440154,3
WT,8,AG8,entry log phase (OD600~0.15),-101,5.999999999999999,GS_AMP,1722.1741921509183,990.790107804356,3
WT,9,I9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GlnB_total,1923.6940326282445,206.28220982226884,4
WT,9,L9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GlnB_unmodified,460.72549011885235,137.33692351287098,4
WT,9,O9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GlnB_UMP,1286.0474700386844,233.88475141480143,4
WT,9,R9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GlnK_total,687.8169431968063,210.65456296089678,4
WT,9,U9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GlnK_unmodified,274.47745056363885,77.20629331378558,4
WT,9,X9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GlnK_UMP,773.2504944204816,106.85584154209734,4
WT,9,AA9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GS_total,20205.71495248027,562.8333578689427,4
WT,9,AD9,half point to run out (OD600~0.3),-69.33333333333334,10.206207261596576,GS_unmodified,21162.72544119354,661.8296543651417,4
