strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
WT,-50,GlnB,modified_over_total,0.6311280557274025,True,0.32382600431704395,1,0.0,0.676173995682956,0.0,1.0,0,0.3688719442725975,10
WT,-50,GlnB,paired_peptide_fraction,0.7949888211447632,True,0.4921141134889259,1,0.0,0.507885886511074,0.0,1.0,0.38496646343428953,0.2050111788552368,10
WT,-50,GlnK,modified_over_total,0.917571119305922,True,0,1,0.0,1.0,0.0,1.0,0.7527133579177656,0.08242888069407805,10
WT,-50,GlnK,paired_peptide_fraction,0.8663838181643853,True,0,1,0.0,1.0,0.0,1.0,0.599151454493156,0.13361618183561474,10
WT,-50,GS,modified_over_total,-0.02939161811427152,False,0,0.2871361077279994,0.0,1.0,0.0,0.2871361077279994,,,10
WT,-50,GS,paired_peptide_fraction,-0.02737212436249083,False,0,0.20924358812781682,0.0,1.0,0.0,0.20924358812781682,,,10
WT,-40,GlnB,modified_over_total,0.7547847421978946,True,0.13123081490563832,1,0.0,0.8687691850943617,0.0,1.0,0.2643542265936838,0.2452152578021054,11
WT,-40,GlnB,paired_peptide_fraction,0.9225580090304196,True,0.3786419316047683,1,0.0,0.6213580683952318,0.0,1.0,0.767674027091259,0.07744199096958038,11
WT,-40,GlnK,modified_over_total,0.9631506599755338,True,0.04868091982739385,1,0.0,0.9513190801726061,0.0,1.0,0.8894519799266014,0.03684934002446616,11
WT,-40,GlnK,paired_peptide_fraction,0.9441857388026671,True,0.4392552595213979,0.9933398727823287,0.0,0.5607447404786021,0.0,0.9933398727823287,0.8325572164080013,0.055814261197332904,11
WT,-40,GS,modified_over_total,0.02877720748244998,True,0,0.12673680030366652,0.0,1.0,0.0,0.12673680030366652,0,0.9712227925175501,11
WT,-40,GS,paired_peptide_fraction,0.026401346304955033,True,0,0.11282140323131139,0.0,1.0,0.0,0.11282140323131139,0,0.973598653695045,11
WT,-15,GlnB,modified_over_total,1.0244344903230713,False,0,1,0.0,1.0,0.0,1.0,,,12
WT,-15,GlnB,paired_peptide_fraction,0.9527595703100615,True,0,1,0.0,1.0,0.0,1.0,0.8582787109301844,0.04724042968993847,12
WT,-15,GlnK,modified_over_total,0.9720891531316939,True,0.33193106181815524,1,0.0,0.6680689381818448,0.0,1.0,0.9162674593950815,0.02791084686830614,12
WT,-15,GlnK,paired_peptide_fraction,0.9675733983804558,True,0.838411843406309,1,0.0,0.16158815659369097,0.5152355302189271,1.0,0.9027201951413675,0.03242660161954425,12
