G_mM,PII_uM,GS_odds,large_pool_limit,odds_above_large_pool_limit
2.999999999999999889e-01,5.000000000000000000e-01,8.521905587200996612e-02,6.022933334391179783e-02,2.498972252809816830e-02
2.999999999999999889e-01,5.182959800676063544e-01,8.433691230375491010e-02,6.022933334391179783e-02,2.410757895984311228e-02
2.999999999999999889e-01,5.372614459084812388e-01,8.348590862807522828e-02,6.022933334391179783e-02,2.325657528416343045e-02
2.999999999999999889e-01,5.569208953193511835e-01,8.266494559883399984e-02,6.022933334391179783e-02,2.243561225492220201e-02
2.999999999999999889e-01,5.772997225193439164e-01,8.187296277356288787e-02,6.022933334391179783e-02,2.164362942965109005e-02
2.999999999999999889e-01,5.984242509518411524e-01,8.110893714368262730e-02,6.022933334391179783e-02,2.087960379977082948e-02
2.999999999999999889e-01,6.203217672866154775e-01,8.037188181307734769e-02,6.022933334391179783e-02,2.014254846916554986e-02
2.999999999999999889e-01,6.430205566661719718e-01,7.966084472331526334e-02,6.022933334391179783e-02,1.943151137940346551e-02
2.999999999999999889e-01,6.665499392418229307e-01,7.897490742386978346e-02,6.022933334391179783e-02,1.874557407995798564e-02
2.999999999999999889e-01,6.909403080466881564e-01,7.831318388575163325e-02,6.022933334391179783e-02,1.808385054183983542e-02
2.999999999999999889e-01,7.162231682545442402e-01,7.767481935702055806e-02,6.022933334391179783e-02,1.744548601310876024e-02
2.999999999999999889e-01,7.424311778752302748e-01,7.705898925869734961e-02,6.022933334391179783e-02,1.682965591478555178e-02
2.999999999999999889e-01,7.695981899391798331e-01,7.646489811965084815e-02,6.022933334391179783e-02,1.623556477573905032e-02
2.999999999999999889e-01,7.977592962255661835e-01,7.589177854908325804e-02,6.022933334391179783e-02,1.566244520517146022e-02
2.999999999999999889e-01,8.269508725905474478e-01,7.533889024528739320e-02,6.022933334391179783e-02,1.510955690137559537e-02
2.999999999999999889e-01,8.572106259541601991e-01,7.480551903939482161e-02,6.022933334391179783e-02,1.457618569548302379e-02
2.999999999999999889e-01,8.885776430065556175e-01,7.429097597288002175e-02,6.022933334391179783e-02,1.406164262896822392e-02
2.999999999999999889e-01,9.210924406964927647e-01,7.379459640762880968e-02,6.022933334391179783e-02,1.356526306371701185e-02
2.999999999999999889e-01,9.547970185673047006e-01,7.331573916742170627e-02,6.022933334391179783e-02,1.308640582350990844e-02
2.999999999999999889e-01,9.897349130079394763e-01,7.285378570972304846e-02,6.022933334391179783e-02,1.262445236581125063e-02
2.999999999999999889e-01,1.025951253489154391e+00,7.240813932670615849e-02,6.022933334391179783e-02,1.217880598279436066e-02
2.999999999999999889e-01,1.063492820857501187e+00,7.197822437448254951e-02,6.022933334391179783e-02,1.174889103057075168e-02
2.999999999999999889e-01,1.102408107762403722e+00,7.156348552953961661e-02,6.022933334391179783e-02,1.133415218562781879e-02
2.999999999999999889e-01,1.142747381294380915e+00,7.116338707142615128e-02,6.022933334391179783e-02,1.093405372751435345e-02
2.999999999999999889e-01,1.184562747915323788e+00,7.077741219075921186e-02,6.022933334391179783e-02,1.054807884684741404e-02
2.999999999999999889e-01,1.227908220764699410e+00,7.040506232165877343e-02,6.022933334391179783e-02,1.017572897774697560e-02
2.999999999999999889e-01,1.272839789428621193e+00,7.004585649774723588e-02,6.022933334391179783e-02,9.816523153835438054e-03
2.999999999999999889e-01,1.319415492261905909e+00,6.969933073088262210e-02,6.022933334391179783e-02,9.469997386970824271e-03
2.999999999999999889e-01,1.367695491356535786e+00,6.936503741182255267e-02,6.022933334391179783e-02,9.135704067910754844e-03
2.999999999999999889e-01,1.417742150253364253e+00,6.904254473204478326e-02,6.022933334391179783e-02,8.813211388132985435e-03
2.999999999999999889e-01,1.469620114497446117e+00,6.873143612597794327e-02,6.022933334391179783e-02,8.502102782066145448e-03
2.999999999999999889e-01,1.523396395141043635e+00,6.843130973292131658e-02,6.022933334391179783e-02,8.201976389009518753e-03
2.999999999999999889e-01,1.579140455302171508e+00,6.814177787795938634e-02,6.022933334391179783e-02,7.912444534047588518e-03
2.999999999999999889e-01,1.636924299890490486e+00,6.786246657119969494e-02,6.022933334391179783e-02,7.633133227287897116e-03
2.999999999999999889e-01,1.696822568616444205e+00,6.759301502468831324e-02,6.022933334391179783e-02,7.363681680776515415e-03
2.999999999999999889e-01,1.758912632403786480e+00,6.733307518637796085e-02,6.022933334391179783e-02,7.103741842466163026e-03
2.999999999999999889e-01,1.823274693330028118e+00,6.708231129054717523e-02,6.022933334391179783e-02,6.852977946635377404e-03
2.999999999999999889e-01,1.889991888223902627e+00,6.684039942409003565e-02,6.022933334391179783e-02,6.611066080178237825e-03
2.999999999999999889e-01,1.959150396053667365e+00,6.660702710811572391e-02,6.022933334391179783e-02,6.377693764203926086e-03
2.999999999999999889e-01,2.030839549244949360e+00,6.638189289431772888e-02,6.022933334391179783e-02,6.152559550405931055e-03
2.999999999999999889e-01,2.105151949071933704e+00,6.616470597559168110e-02,6.022933334391179783e-02,5.935372631679883271e-03
2.999999999999999889e-01,2.182183585270939918e+00,6.595518581039788719e-02,6.022933334391179783e-02,5.725852466486089365e-03
2.999999999999999889e-01,2.262033960030889634e+00,6.575306176038456241e-02,6.022933334391179783e-02,5.523728416472764580e-03
2.999999999999999889e-01,2.344806216520837427e+00,6.555807274080262259e-02,6.022933334391179783e-02,5.328739396890824764e-03
2.999999999999999889e-01,2.430607272120567153e+00,6.536996688326100757e-02,6.022933334391179783e-02,5.140633539349209746e-03
2.999999999999999889e-01,2.519547956526361432e+00,6.518850121038710643e-02,6.022933334391179783e-02,4.959167866475308606e-03
2.999999999999999889e-01,2.611743154910330045e+00,6.501344132197138526e-02,6.022933334391179783e-02,4.784107978059587429e-03
2.999999999999999889e-01,2.707311956318223967e+00,6.484456109219143005e-02,6.022933334391179783e-02,4.615227748279632225e-03
2.999999999999999889e-01,2.806377807497405730e+00,6.468164237752385692e-02,6.022933334391179783e-02,4.452309033612059097e-03
2.999999999999999889e-01,2.909068672353696261e+00,6.452447473496723818e-02,6.022933334391179783e-02,4.295141391055440350e-03
2.999999999999999889e-01,3.015517197243059222e+00,6.437285515021173854e-02,6.022933334391179783e-02,4.143521806299940713e-03
2.999999999999999889e-01,3.125860882311624955e+00,6.422658777540425634e-02,6.022933334391179783e-02,3.997254431492458515e-03
2.999999999999999889e-01,3.240242259105392986e+00,6.408548367617084018e-02,6.022933334391179783e-02,3.856150332259042357e-03
2.999999999999999889e-01,3.358809074679009576e+00,6.394936058756904573e-02,6.022933334391179783e-02,3.720027243657247906e-03
2.999999999999999889e-01,3.481714482441454983e+00,6.381804267865523461e-02,6.022933334391179783e-02,3.588709334743436785e-03
2.999999999999999889e-01,3.609117239985146330e+00,6.369136032536293346e-02,6.022933334391179783e-02,3.462026981451135632e-03
2.999999999999999889e-01,3.741181914153992150e+00,6.356914989139837713e-02,6.022933334391179783e-02,3.339816547486579301e-03
2.999999999999999889e-01,3.878079093615292461e+00,6.345125351687064263e-02,6.022933334391179783e-02,3.221920172958844808e-03
2.999999999999999889e-01,4.019985609210065647e+00,6.333751891438310633e-02,6.022933334391179783e-02,3.108185570471308501e-03
2.999999999999999889e-01,4.167084762366410011e+00,6.322779917232310143e-02,6.022933334391179783e-02,2.998465828411303602e-03
2.999999999999999889e-01,4.319566561870974652e+00,6.312195256509520180e-02,6.022933334391179783e-02,2.892619221183403977e-03
2.999999999999999889e-01,4.477627969304355027e+00,6.301984237005364697e-02,6.022933334391179783e-02,2.790509026141849147e-03
2.999999999999999889e-01,4.641473153457454259e+00,6.292133669089691739e-02,6.022933334391179783e-02,2.692003346985119561e-03
2.999999999999999889e-01,4.811313754057428227e+00,6.282630828729643402e-02,6.022933334391179783e-02,2.596974943384636192e-03
