lambda,G_mM,mean_UMP,UT_capacity,UR_capacity,E0,E1,E2
1.000000000000000000e+00,2.000000000000000042e-03,2.996399947761283045e+00,9.264247606039058835e-01,1.113061537698446573e-03,9.273563511877350729e-01,7.127416277988191107e-02,1.369486032383009739e-03
1.000000000000000000e+00,2.027663298433358616e-03,2.996395516768880718e+00,9.254783884784818504e-01,1.113294728070815141e-03,9.264077229075046160e-01,7.218608447789387483e-02,1.406192614601588274e-03
1.000000000000000000e+00,2.055709225906821643e-03,2.996391011630852752e+00,9.245204080810798253e-01,1.113534043738830491e-03,9.254474586811310965e-01,7.310867793700974449e-02,1.443863381859214479e-03
1.000000000000000000e+00,2.084143074811055894e-03,2.996386430963682290e+00,9.235506969643568764e-01,1.113779640547454776e-03,9.244754357693564240e-01,7.404204136487499421e-02,1.482522865768603733e-03
1.000000000000000000e+00,2.112970210739213445e-03,2.996381773354754863e+00,9.225691319247881772e-01,1.114031678104081702e-03,9.234915306749379438e-01,7.498627313487384038e-02,1.522196190188217137e-03
1.000000000000000000e+00,2.142196073499449006e-03,2.996377037361676710e+00,9.215755890135507444e-01,1.114290319861272437e-03,9.224956191535583772e-01,7.594147176219559481e-02,1.562909084245840468e-03
1.000000000000000000e+00,2.171826178141440800e-03,2.996372221511579337e+00,9.205699435479770543e-01,1.114555733200988351e-03,9.214875762253064151e-01,7.690773587909602305e-02,1.604687895597468189e-03
1.000000000000000000e+00,2.201866115997094548e-03,2.996367324300404089e+00,9.195520701235886385e-01,1.114828089520329734e-03,9.204672761867384034e-01,7.788516420933791484e-02,1.647559603923627516e-03
1.000000000000000000e+00,2.232321555735655629e-03,2.996362344192171179e+00,9.185218426267249825e-01,1.115107564318796717e-03,9.194345926235387712e-01,7.887385554179610070e-02,1.691551834665234837e-03
1.000000000000000000e+00,2.263198244433422841e-03,2.996357279618227842e+00,9.174791342477811584e-01,1.115394337287086302e-03,9.183893984237876396e-01,7.987390870321134373e-02,1.736692873000964671e-03
1.000000000000000000e+00,2.294502008658230296e-03,2.996352128976478735e+00,9.164238174950679605e-01,1.115688592397434372e-03,9.173315657918554855e-01,8.088542253007655058e-02,1.783011678067969105e-03
1.000000000000000000e+00,2.326238755568954628e-03,2.996346890630598114e+00,9.153557642093067548e-01,1.115990517995513100e-03,9.162609662629312979e-01,8.190849583964082692e-02,1.830537897427804732e-03
1.000000000000000000e+00,2.358414474030228782e-03,2.996341562909217604e+00,9.142748455787754747e-01,1.116300306893901109e-03,9.151774707182053215e-01,8.294322740001561223e-02,1.879301881779225480e-03
1.000000000000000000e+00,2.391035235742553638e-03,2.996336144105100630e+00,9.131809321551165315e-01,1.116618156467126576e-03,9.140809494007146041e-01,8.398971589936615745e-02,1.929334699919391322e-03
1.000000000000000000e+00,2.424107196388064663e-03,2.996330632474286659e+00,9.120738938698249587e-01,1.116944268748303265e-03,9.129712719318704428e-01,8.504805991417449529e-02,1.980668153955008129e-03
1.000000000000000000e+00,2.457636596792129625e-03,2.996325026235222566e+00,9.109536000514276699e-01,1.117278850527360324e-03,9.118483073286782759e-01,8.611835787655701402e-02,2.033334794764689746e-03
1.000000000000000000e+00,2.491629764101031558e-03,2.996319323567867787e+00,9.098199194433667092e-01,1.117622113450873669e-03,9.107119240216642320e-01,8.720070804062200753e-02,2.087367937713780017e-03
1.000000000000000000e+00,2.526093112975914302e-03,2.996313522612774172e+00,9.086727202226073663e-01,1.117974274123510444e-03,9.095619898735266551e-01,8.829520844785060385e-02,2.142801678622646092e-03
1.000000000000000000e+00,2.561033146803263875e-03,2.996307621470148064e+00,9.075118700189780396e-01,1.118335554211091331e-03,9.083983721985232629e-01,8.940195689148738856e-02,2.199670909989429653e-03
1.000000000000000000e+00,2.596456458922134693e-03,2.996301618198883965e+00,9.063372359352599439e-01,1.118706180545268533e-03,9.072209377826077059e-01,9.052105087992431964e-02,2.258011337467980516e-03
1.000000000000000000e+00,2.632369733868326640e-03,2.996295510815574659e+00,9.051486845680432047e-01,1.119086385229834399e-03,9.060295529043358442e-01,9.165258759906265429e-02,2.317859496601540944e-03
1.000000000000000000e+00,2.668779748635793578e-03,2.996289297293499576e+00,9.039460820293581111e-01,1.119476405748654618e-03,9.048240833565485142e-01,9.279666387363881552e-02,2.379252769812667274e-03
1.000000000000000000e+00,2.705693373955501448e-03,2.996282975561578077e+00,9.027292939691015095e-01,1.119876485075231402e-03,9.036043944688513241e-01,9.395337612749908585e-02,2.442229403649608284e-03
1.000000000000000000e+00,2.743117575591947147e-03,2.996276543503308964e+00,9.014981855982699965e-01,1.120286871783894925e-03,9.023703511309035807e-01,9.512282034280736265e-02,2.506828526289145084e-03
1.000000000000000000e+00,2.781059415657639606e-03,2.996269998955672254e+00,9.002526217130157882e-01,1.120707820162626699e-03,9.011218178165307791e-01,9.630509201817333276e-02,2.573090165295820967e-03
1.000000000000000000e+00,2.819526053945759034e-03,2.996263339708004736e+00,8.989924667195389185e-01,1.121139590327505575e-03,8.998586586086768646e-01,9.750028612568599484e-02,2.641055265637183916e-03
1.000000000000000000e+00,2.858524749281224613e-03,2.996256563500852010e+00,8.977175846598300923e-01,1.121582448338777219e-03,8.985807372252081482e-01,9.870849706683748614e-02,2.710765707954386917e-03
1.000000000000000000e+00,2.898062860890475087e-03,2.996249668024784985e+00,8.964278392382808436e-01,1.122036666318543827e-03,8.972879170455868580e-01,9.992981862732565335e-02,2.782264327087462154e-03
1.000000000000000000e+00,2.938147849790198173e-03,2.996242650919186623e+00,8.951230938491718803e-01,1.122502522570060840e-03,8.959800611384253211e-01,1.011643439307206155e-01,2.855594930854153668e-03
1.000000000000000000e+00,2.978787280195236472e-03,2.996235509771015160e+00,8.938032116050573794e-01,1.122980301698638279e-03,8.946570322899374261e-01,1.024121653909815938e-01,2.930802319080964488e-03
1.000000000000000000e+00,3.019988820945999908e-03,2.996228242113520235e+00,8.924680553660582216e-01,1.123470294734135646e-03,8.933186930333019138e-01,1.036733746638131837e-01,3.007932302884963258e-03
1.000000000000000000e+00,3.061760246955617590e-03,2.996220845424943935e+00,8.911174877700757113e-01,1.123972799255035411e-03,8.919649056789483721e-01,1.049480625968473163e-01,3.087031724204452546e-03
1.000000000000000000e+00,3.104109440677080625e-03,2.996213317127172981e+00,8.897513712639452121e-01,1.124488119514084920e-03,8.905955323457850348e-01,1.062363191786386413e-01,3.168148475576337830e-03
1.000000000000000000e+00,3.147044393590705050e-03,2.996205654584365163e+00,8.883695681355402440e-01,1.125016566565493255e-03,8.892104349933789287e-01,1.075382334864631168e-01,3.251331520157870435e-03
1.000000000000000000e+00,3.190573207712169013e-03,2.996197855101536689e+00,8.869719405468386997e-01,1.125558458393658562e-03,8.878094754551019152e-01,1.088538936329081080e-01,3.336630911989997995e-03
1.000000000000000000e+00,3.234704097121378352e-03,2.996189915923114011e+00,8.855583505679707201e-01,1.126114120043412601e-03,8.863925154722583910e-01,1.101833867112423648e-01,3.424097816499202095e-03
1.000000000000000000e+00,3.279445389512513145e-03,2.996181834231447905e+00,8.841286602122561122e-01,1.126683883751760425e-03,8.849594167292077485e-01,1.115267987395578281e-01,3.513784531234572222e-03
1.000000000000000000e+00,3.324805527765506332e-03,2.996173607145289797e+00,8.826827314722465179e-01,1.127268089081088706e-03,8.835100408894910329e-01,1.128842146036725252e-01,3.605744506836301797e-03
1.000000000000000000e+00,3.370793071539234572e-03,2.996165231718225019e+00,8.812204263567883222e-01,1.127867083053821695e-03,8.820442496329833348e-01,1.142557179987852695e-01,3.700032368231480264e-03
1.000000000000000000e+00,3.417416698886777821e-03,2.996156704937071868e+00,8.797416069291105201e-01,1.128481220288485775e-03,8.805619046940719175e-01,1.156413913698752377e-01,3.796703936052834866e-03
1.000000000000000000e+00,3.464685207892998289e-03,2.996148023720233144e+00,8.782461353459622977e-01,1.129110863137167435e-03,8.790628679008870572e-01,1.170413158508376295e-01,3.895816248275441734e-03
1.000000000000000000e+00,3.512607518334791377e-03,2.996139184916006393e+00,8.767338738977992207e-01,1.129756381824317812e-03,8.775470012155841548e-01,1.184555712023495355e-01,3.997427582066277567e-03
1.000000000000000000e+00,3.561192673364264871e-03,2.996130185300851956e+00,8.752046850500418973e-01,1.130418154586875423e-03,8.760141667757009865e-01,1.198842357484583426e-01,4.101597475840785406e-03
1.000000000000000000e+00,3.610449841215247150e-03,2.996121021577614840e+00,8.736584314854078936e-01,1.131096567815663900e-03,8.744642269365900944e-01,1.213273863118893015e-01,4.208386751520551243e-03
