PII_uM,bound_fraction_reference,bound_fraction_tradeoff
1.000000000000000021e-03,1.096440354293998568e-02,4.773882586952691437e-03
1.031177274593054983e-03,1.130238015482855699e-02,4.921986663243242167e-03
1.063326571637161723e-03,1.165065213784977592e-02,5.074662065135590247e-03
1.096478196143185150e-03,1.200952543179325052e-02,5.232048413805393157e-03
1.130663397949638804e-03,1.237931458805857816e-02,5.394289501934536497e-03
1.165914401179832293e-03,1.276034298188654520e-02,5.561533412480232710e-03
1.202264434617413003e-03,1.315294302787242339e-02,5.733932640451984593e-03
1.239747763028944093e-03,1.355745639867366251e-02,5.911644217748014685e-03
1.278399719463022954e-03,1.397423424681109271e-02,6.094829841101828335e-03
1.318256738556407509e-03,1.440363742944956137e-02,6.283656003188696146e-03
1.359356390878525443e-03,1.484603673602878475e-02,6.478294126940424211e-03
1.401737418346769458e-03,1.530181311860009247e-02,6.678920703115542867e-03
1.445439770745927987e-03,1.577135792470759149e-02,6.885717431170159004e-03
1.490504643386196017e-03,1.625507313263510611e-02,7.098871363473094158e-03
1.536974515935270831e-03,1.675337158882142172e-02,7.318575052906718843e-03
1.584893192461114082e-03,1.726667724722621977e-02,7.545026703892477107e-03
1.634305842723137760e-03,1.779542541040836021e-02,7.778430326877546971e-03
1.685259044750750997e-03,1.834006297205587749e-02,8.018995896316204533e-03
1.737800828749376265e-03,1.890104866068317152e-02,8.266939512175984842e-03
1.791980722375333904e-03,1.947885328418628992e-02,8.522483564995436689e-03
1.847849797422290675e-03,2.007395997492108716e-02,8.785856904516206600e-03
1.905460717963248195e-03,2.068686443494072505e-02,9.057295011907818411e-03
1.964867789993468127e-03,2.131807518100048773e-02,9.337040175598885702e-03
2.026127012621143243e-03,2.196811378890711070e-02,9.625341670723515722e-03
2.089296130854038577e-03,2.263751513675716157e-02,9.922455942185650843e-03
2.154434690031884272e-03,2.332682764657584285e-02,1.022864679133853559e-02
2.221604091955811742e-03,2.403661352383150082e-02,1.054418556626947508e-02
2.290867652767772378e-03,2.476744899426491439e-02,1.086935135567343447e-02
2.362290662634462888e-03,2.551992453743252842e-02,1.120443118629077354e-02
2.435940447292026922e-03,2.629464511632302257e-02,1.154972022387659898e-02
2.511886431509579437e-03,2.709223040236442143e-02,1.190552197766023279e-02
2.590200204531325004e-03,2.791331499509418917e-02,1.227214850824342486e-02
2.670955587558985437e-03,2.875854863571954481e-02,1.264992063887602526e-02
2.754228703338165978e-03,2.962859641374765082e-02,1.303916817003670028e-02
2.840098047914213497e-03,3.052413896581542690e-02,1.344023009723432048e-02
2.928644564625237402e-03,3.144587266579802753e-02,1.385345483193326649e-02
3.019951720402016138e-03,3.239450980522197432e-02,1.427920042549222016e-02
3.114105584446758175e-03,3.337077876295476558e-02,1.471783479599198148e-02
3.211194909364824008e-03,3.437542416308540794e-02,1.516973595781196706e-02
3.311311214825910908e-03,3.540920701985365154e-02,1.563529225379926141e-02
3.414548873833600853e-03,3.647290486842618557e-02,1.611490258985671942e-02
3.521005201684520875e-03,3.756731188025597135e-02,1.660897667175768866e-02
3.630780547701014001e-03,3.869323896170053650e-02,1.711793524397605543e-02
3.743978389823810621e-03,3.985151383451054213e-02,1.764221033029929678e-02
3.860705432153815203e-03,4.104298109673581302e-02,1.818224547597020388e-02
3.981071705534973415e-03,4.226850226253044823e-02,1.873849599107973996e-02
