model,G_mM,GS_fraction,AT_capacity,AR_capacity,E,EG,EP,EU,EGP,EPU
reference,0.002,1.3372641478191565e-05,1.249687552885618e-05,0.9344981268659657,0.06549346217565985,8.396597714828186e-06,3.1438230381939528e-09,0.9344981268659657,2.3709072686228903e-12,1.121446569930367e-08
reference,0.0020276632984333586,1.3557574122525196e-05,1.2669696693398334e-05,0.9344979277669265,0.06549354507200439,8.512747283768862e-06,3.1554497039299258e-09,0.9344979277669265,2.4125903298307385e-12,1.125592303124443e-08
reference,0.0020557092259068216,1.3745065342934823e-05,1.2844908856002648e-05,0.9344977256505724,0.06549362937776593,8.630503727563812e-06,3.1673002877839416e-09,0.9344977256505724,2.455146464108137e-12,1.129817870649002e-08
reference,0.002084143074811056,1.393515054991861e-05,1.3022545107371468e-05,0.9344975204678295,0.06549371511975811,8.749889282723849e-06,3.1793799427225206e-09,0.9344975204678295,2.4985982993281723e-12,1.1341251094347443e-08
reference,0.0021129702107392134,1.4127865644478437e-05,1.3202638996556094e-05,0.9344973121687411,0.06549380232536922,8.870926493688962e-06,3.191693964254302e-09,0.9344973121687411,2.5429691810955835e-12,1.1385159072164254e-08
reference,0.002142196073499449,1.4323247024930025e-05,1.3385224537319618e-05,0.934497100702449,0.06549389102257583,8.993638217100176e-06,3.2042477950755764e-09,0.934497100702449,2.5882831995211785e-12,1.142992204188243e-08
reference,0.002171826178141441,1.4521331593808125e-05,1.3570336214588536e-05,0.9344968860171757,0.06549398123995674,9.118047626130929e-06,3.2170470298656518e-09,0.9344968860171757,2.6345652171094993e-12,1.1475559947125919e-08
reference,0.0022018661159970945,1.472215676486815e-05,1.3758008990994434e-05,0.9344966680602053,0.06549407300670737,9.244178214878776e-06,3.2300974202856064e-09,0.9344966680602053,2.6818408978493602e-12,1.1522093291012883e-08
reference,0.0022323215557356556,1.4925760470185784e-05,1.3948278313507202e-05,0.9344964467778645,0.06549416635265438,9.372053802818416e-06,3.2434048801398738e-09,0.9344964467778645,2.7301367375243066e-12,1.1569543154547906e-08
reference,0.002263198244433423,1.513218116735585e-05,1.4141180120160912e-05,0.9344962221155036,0.06549426130827084,9.501698539316823e-06,3.256975490748751e-09,0.9344962221155036,2.7794800953338086e-12,1.1617931215765678e-08
reference,0.0022945020086582303,1.5341457846791757e-05,1.4336750846873632e-05,0.9344959940174751,0.06549435790469148,9.633136908211258e-06,3.2708155065174908e-09,0.9344959940174751,2.829899226868352e-12,1.1667279769574956e-08
reference,0.0023262387555689546,1.5553630039127198e-05,1.453502743436276e-05,0.9344957624271143,0.0654944561737287,9.76639373245129e-06,3.284931360718968e-09,0.9344957624271143,2.8814233185099267e-12,1.1717611748363358e-08
reference,0.0023584144740302288,1.576873782272143e-05,1.4736047335157044e-05,0.9344955272867178,0.06549455614788884,9.901494178805547e-06,3.2993296714947985e-09,0.9344955272867178,2.934082523322297e-12,1.1768950743380334e-08
reference,0.0023910352357425536,1.5986821831269435e-05,1.4939848520706583e-05,0.9344952885375226,0.06549465786038865,1.0038463762634121e-05,3.3140172480837175e-09,0.9344952885375226,2.987907998501787e-12,1.1821321026929715e-08
reference,0.0024241071963880647,1.62079232615189e-05,1.5146469488592543e-05,0.9344950461196831,0.06549476134517261,1.0177328352727677e-05,3.3290010972972923e-09,0.9344950461196831,3.0429319444728997e-12,1.1874747575443321e-08
reference,0.0024576365967921296,1.643208388109507e-05,1.5355949269837643e-05,0.9344947999722498,0.06549486663693026,1.031811417621408e-05,3.3442884302364054e-09,0.9344947999722498,3.0991876456928702e-12,1.19292560934122e-08
