G_mM,total_log_ratio_sensitivity,via_PII,direct_glutamine
2.000000000000000042e-03,9.998330105176477245e-01,2.072856132262916368e-04,9.996257248928069883e-01
2.027663298433358616e-03,9.998390807730571650e-01,2.096158585726031680e-04,9.996294649125060383e-01
2.055709225906821643e-03,9.998451361070691545e-01,2.119894952223715123e-04,9.996331466335954818e-01
2.084143074811055894e-03,9.998511781184048486e-01,2.144074393395372529e-04,9.996367707155500160e-01
2.112970210739213445e-03,9.998572084946032446e-01,2.168706620516970226e-04,9.996403378058907885e-01
2.142196073499449006e-03,9.998632286567498140e-01,2.193801147730797970e-04,9.996438485402662222e-01
2.171826178141440800e-03,9.998692403812013962e-01,2.219367929513030053e-04,9.996473035425323950e-01
2.201866115997094548e-03,9.998752451778613048e-01,2.245417040849620222e-04,9.996507034248276469e-01
2.232321555735655629e-03,9.998812446454506953e-01,2.271958990546952975e-04,9.996540487876443004e-01
2.263198244433422841e-03,9.998872406491442488e-01,2.299004507629539315e-04,9.996573402198976055e-01
2.294502008658230296e-03,9.998932346988452791e-01,2.326564643344290100e-04,9.996605782989883560e-01
2.326238755568954628e-03,9.998992286597284673e-01,2.354650258898154883e-04,9.996637635908648400e-01
2.358414474030228782e-03,9.999052239528792851e-01,2.383272947968224887e-04,9.996668966500771303e-01
2.391035235742553638e-03,9.999112225322902558e-01,2.412444720575714139e-04,9.996699780198313734e-01
2.424107196388064663e-03,9.999172259966825349e-01,2.442177597722020987e-04,9.996730082320361976e-01
2.457636596792129625e-03,9.999232362112308037e-01,2.472483715712239186e-04,9.996759878073484540e-01
2.491629764101031558e-03,9.999292548634740596e-01,2.503375827029164619e-04,9.996789172552118519e-01
2.526093112975914302e-03,9.999352838185869841e-01,2.534866895646730269e-04,9.996817970738929304e-01
2.561033146803263875e-03,9.999413248529264164e-01,2.566970492081763373e-04,9.996846277505128109e-01
2.596456458922134693e-03,9.999473797428491961e-01,2.599699903079302006e-04,9.996874097610720655e-01
2.632369733868326640e-03,9.999534505311656885e-01,2.633069609708701964e-04,9.996901435704760308e-01
2.668779748635793578e-03,9.999595389942327328e-01,2.667093321008997967e-04,9.996928296325492402e-01
2.705693373955501448e-03,9.999656469972250106e-01,2.701786323570799894e-04,9.996954683900497463e-01
2.743117575591947147e-03,9.999717766717707290e-01,2.737163427661506608e-04,9.996980602746771138e-01
2.781059415657639606e-03,9.999779297942267275e-01,2.773240329560603692e-04,9.997006057070739748e-01
2.819526053945759034e-03,9.999841083185855295e-01,2.810032547893055862e-04,9.997031050968255839e-01
2.858524749281224613e-03,9.999903145541110261e-01,2.847556673244416706e-04,9.997055588424509365e-01
2.898062860890475087e-03,9.999965502771600567e-01,2.885829214657063737e-04,9.997079673313912229e-01
2.938147849790198173e-03,1.000002817708178782e+00,2.924867649511248544e-04,9.997103309399890669e-01
2.978787280195236472e-03,1.000009118978795186e+00,2.964689282119921127e-04,9.997126500334686527e-01
3.019988820945999908e-03,1.000015456220637589e+00,3.005312099003193882e-04,9.997149249659017523e-01
3.061760246955617590e-03,1.000021831565334196e+00,3.046754765448336701e-04,9.997171560801734191e-01
3.104109440677080625e-03,1.000028247322148900e+00,3.089036247471692201e-04,9.997193437079414657e-01
3.147044393590705050e-03,1.000034705711527749e+00,3.132176094001950942e-04,9.997214881695857258e-01
3.190573207712169013e-03,1.000041209220370320e+00,3.176194158383935547e-04,9.997235897741554300e-01
3.234704097121378352e-03,1.000047759980304818e+00,3.221111061941492651e-04,9.997256488193057011e-01
3.279445389512513145e-03,1.000054360389412977e+00,3.266948007203051511e-04,9.997276655912299415e-01
3.324805527765506332e-03,1.000061013023412215e+00,3.313726411371031768e-04,9.997296403645848928e-01
3.370793071539234572e-03,1.000067720280384265e+00,3.361468641384935123e-04,9.997315734024059264e-01
3.417416698886777821e-03,1.000074484736046543e+00,3.410197465302600497e-04,9.997334649560174480e-01
