model,time_reference_units,PII_fraction,GS_fraction
reference,0.0,0.6162136500631117,0.43539007036503313
reference,0.016,0.6221469100905856,0.43272683838018083
reference,0.032,0.6279859933738487,0.4299556666218076
reference,0.048,0.633732394718002,0.4270817184786576
reference,0.064,0.6393875853121131,0.4241101248133666
reference,0.08,0.6449530128784211,0.4210459757846282
reference,0.096,0.6504301021532534,0.4178943109146093
reference,0.112,0.6558202553779322,0.41466011277113496
reference,0.128,0.6611248524361951,0.41134829960143326
reference,0.14400000000000002,0.6663452512778198,0.4079637162326237
reference,0.16,0.6714827884275942,0.404511128290662
reference,0.176,0.6765387791181485,0.4009952163433091
reference,0.192,0.6815145176367152,0.3974205681661697
reference,0.20800000000000002,0.6864112778669247,0.39379167382359687
reference,0.224,0.6912303134292282,0.3901129216299267
reference,0.24,0.6959728579312914,0.3863885920303556
reference,0.256,0.7006401255433387,0.38262285388058
reference,0.272,0.7052333111616725,0.378819762149711
reference,0.28800000000000003,0.7097535905742083,0.37498325343419336
reference,0.304,0.7142021210193378,0.3711171438442648
reference,0.32,0.7185800414140918,0.36722512787978967
reference,0.336,0.7228884724684317,0.3633107758995914
reference,0.352,0.7271285171327276,0.3593775333327433
reference,0.368,0.7313012609570524,0.35542872060470543
reference,0.384,0.7354077721872295,0.351467532509709
reference,0.4,0.739449102021921,0.34749703813374605
reference,0.41600000000000004,0.7434262851221316,0.34352018231731735
reference,0.432,0.7473403397259742,0.33953978608967844
reference,0.448,0.7511922677626276,0.33555854733773255
reference,0.464,0.7549830553389368,0.33157904343683836
reference,0.48,0.7587136729947772,0.32760373266796494
reference,0.496,0.7623850757891989,0.32363495567557976
reference,0.512,0.7659982035193748,0.3196749378221857
reference,0.528,0.7695539812198472,0.31572579284528846
reference,0.544,0.7730533192596293,0.31178952394898185
reference,0.56,0.7764971134245635,0.3078680265299455
reference,0.5760000000000001,0.7798862452835919,0.303963091852789
reference,0.592,0.7832215825480703,0.30007641025970955
reference,0.608,0.786503979143908,0.29620957268991066
reference,0.624,0.7897342752799467,0.2923640740248118
reference,0.64,0.7929132978977363,0.2885413174878415
reference,0.656,0.7960418609260935,0.28474261725276917
reference,0.672,0.7991207653563775,0.28096920035326506
reference,0.6880000000000001,0.8021507992867914,0.2772222101602196
reference,0.704,0.8051327383883371,0.2735027109375919
reference,0.72,0.8080673461396488,0.26981169038462544
reference,0.736,0.8109553738898297,0.2661500611389579
reference,0.752,0.8137975608920447,0.26251866461992396
reference,0.768,0.8165946346791244,0.25891827471005807
reference,0.784,0.8193473113968731,0.25534960125280026
reference,0.8,0.8220562958332236,0.25181329056529483
reference,0.8160000000000001,0.824722281502588,0.24830992946467614
reference,0.8320000000000001,0.8273459507379565,0.2448400473523138
reference,0.848,0.8299279752359625,0.24140412118778623
reference,0.864,0.8324690161137202,0.23800257613734918
reference,0.88,0.8349697239860401,0.2346357870753462
reference,0.896,0.8374307389595576,0.23130408233112484
reference,0.912,0.8398526908987605,0.22800774566834597
reference,0.928,0.8422361998864992,0.22474702042651018
reference,0.9440000000000001,0.8445818762336522,0.22152210963336233
reference,0.96,0.8468903205486816,0.21833317715967973
reference,0.976,0.8491621237588605,0.2151803517262884
reference,0.992,0.8513978672249936,0.21206372741250684
reference,1.008,0.8535981233158351,0.2089833680892639
reference,1.024,0.8557634554343255,0.20593930768669388
reference,1.04,0.8578944180209368,0.20293155024033221
reference,1.056,0.8599915566810223,0.19996007323295678
reference,1.072,0.8620554080867553,0.19702482872465335
reference,1.088,0.8640865005035075,0.19412574574445685
reference,1.104,0.8660853539785468,0.19126273191426169
reference,1.12,0.8680524803410363,0.18843567344882192
reference,1.1360000000000001,0.869988383249433,0.18564443611809608
reference,1.1520000000000001,0.8718935582222511,0.1828888682441635
reference,1.168,0.8737684928663164,0.18016880091019766
reference,1.184,0.8756136672124966,0.17748405009524104
reference,1.2,0.8774295537243634,0.1748344167644937
reference,1.216,0.8792166173338182,0.1722196874505795
reference,1.232,0.8809753154772362,0.16963963642205462
reference,1.248,0.8827060982923006,0.16709402609680044
reference,1.264,0.8844094089067517,0.1645826084974482
reference,1.28,0.8860856834472256,0.1621051253237721
reference,1.296,0.8877353510892497,0.1596613087205804
reference,1.312,0.8893588340715404,0.15725088260780207
reference,1.328,0.8909565479665309,0.15487356330281324
reference,1.344,0.8925289018487876,0.1525290602996263
reference,1.36,0.8940762983020836,0.15021707632812148
reference,1.3760000000000001,0.8955991334736136,0.1479373084106672
reference,1.3920000000000001,0.8970977971252735,0.1456894484118373
reference,1.408,0.8985726729300305,0.14347318381788646
reference,1.424,0.9000241385178609,0.14128819793536931
reference,1.44,0.901452565506965,0.1391341702078179
reference,1.456,0.9028583195280147,0.13701077710383514
reference,1.472,0.90424176041915,0.13491769244526422
reference,1.488,0.9056032423884515,0.13285458786681312
reference,1.504,0.9069431140239439,0.13082113287603786
reference,1.52,0.908261718334713,0.12881699551054682
reference,1.536,0.9095593928224578,0.12684184266318468
reference,1.552,0.9108364697151371,0.12489534048389751
reference,1.568,0.9120932759929228,0.12297715445570337
reference,1.584,0.9133301334271606,0.12108694972208214
reference,1.6,0.9145473585981094,0.11922439151615198
reference,1.616,0.9157452631118514,0.1173891453905104
reference,1.6320000000000001,0.9169241536768753,0.1155808773648578
reference,1.6480000000000001,0.9180843321238539,0.1137992540384994
reference,1.6640000000000001,0.9192260954298805,0.11204394303212029
reference,1.68,0.9203497358588482,0.11031461310540239
reference,1.696,0.9214555410986198,0.10861093432331402
reference,1.712,0.9225437942721386,0.1069325780940648
reference,1.728,0.9236147739674753,0.10527921749486116
reference,1.744,0.9246687543144491,0.10365052740138955
reference,1.76,0.9257060051561762,0.10204618459910747
reference,1.776,0.9267267920653393,0.10046586780866829
reference,1.792,0.9277313763759649,0.09890925788861392
reference,1.808,0.9287200152175529,0.09737603799542245
reference,1.824,0.9296929616930365,0.09586589362986217
reference,1.84,0.9306504649116057,0.09437851266402425
reference,1.856,0.9315927700158253,0.09291358544891874
reference,1.872,0.9325201181979224,0.09147080499194561
