KG,gain
5.595420468526437520e-03,1.149977442340357925e+00
6.278165025265601724e-03,1.150167830267875058e+00
7.044217017501158695e-03,1.150379792651335942e+00
7.903741489744233600e-03,1.150615552696553134e+00
8.868143809525124224e-03,1.150877506616915236e+00
9.950221009690906476e-03,1.151168222269229657e+00
1.116433159725631341e-02,1.151490432914011208e+00
1.252658608206809986e-02,1.151847024683027243e+00
1.405506075348253274e-02,1.152241016083424885e+00
1.577003754174266179e-02,1.152675527601860761e+00
1.769427314687003691e-02,1.153153739205996953e+00
1.985330100624786362e-02,1.153678833292871575e+00
2.227577010782184549e-02,1.154253920430103220e+00
2.499382514476413547e-02,1.154881945105387997e+00
2.804353305602182156e-02,1.155565568709948865e+00
3.146536161268360943e-02,1.156307027112385644e+00
3.530471640071559947e-02,1.157107960625292975e+00
3.961254332550009916e-02,1.157969214813872938e+00
4.444600463304716753e-02,1.158890611666266723e+00
4.986923741826951306e-02,1.159870692091021782e+00
5.595420468526438040e-02,1.160906432602749394e+00
6.278165025265602939e-02,1.161992941393456658e+00
7.044217017501158695e-02,1.163123141721276843e+00
7.903741489744238458e-02,1.164287453578704001e+00
8.868143809525129428e-02,1.165473487757858306e+00
9.950221009690907170e-02,1.166665769482814641e+00
1.116433159725631341e-01,1.167845511397124447e+00
1.252658608206810020e-01,1.168990457584310860e+00
1.405506075348254003e-01,1.170074821027637491e+00
1.577003754174267081e-01,1.171069336205467382e+00
1.769427314687004038e-01,1.171941446069116655e+00
1.985330100624786154e-01,1.172655638315748483e+00
2.227577010782184341e-01,1.173173939719947212e+00
2.499382514476415074e-01,1.173456569454709442e+00
2.804353305602181878e-01,1.173462743337541969e+00
3.146536161268360665e-01,1.173151611300872199e+00
3.530471640071560224e-01,1.172483300884094470e+00
3.961254332550009916e-01,1.171420030957592839e+00
4.444600463304718141e-01,1.169927252992975841e+00
4.986923741826951306e-01,1.167974772617211832e+00
5.595420468526437485e-01,1.165537802456896754e+00
6.278165025265606269e-01,1.162597898494850401e+00
7.044217017501158695e-01,1.159143736414858017e+00
7.903741489744233739e-01,1.155171691290856728e+00
8.868143809525127486e-01,1.150686193048787942e+00
9.950221009690906060e-01,1.145699840713354956e+00
1.116433159725632063e+00,1.140233269864184384e+00
1.252658608206810076e+00,1.134314779167668652e+00
1.405506075348254891e+00,1.127979732710914895e+00
1.577003754174267192e+00,1.121269764455446794e+00
1.769427314687004094e+00,1.114231818987606815e+00
1.985330100624787208e+00,1.106917068478374899e+00
2.227577010782184175e+00,1.099379749154562047e+00
2.499382514476415906e+00,1.091675961559349428e+00
2.804353305602182100e+00,1.083862477541545521e+00
3.146536161268361109e+00,1.075995593514324389e+00
3.530471640071561890e+00,1.068130064453139960e+00
3.961254332550010027e+00,1.060318146832678554e+00
4.444600463304720250e+00,1.052608771775117580e+00
4.986923741826951861e+00,1.045046862551842981e+00
5.595420468526437929e+00,1.037672803767858642e+00
6.278165025265605159e+00,1.030522063320857606e+00
7.044217017501158473e+00,1.023624962849280395e+00
7.903741489744241733e+00,1.017006587949501606e+00
8.868143809525129484e+00,1.010686825969065339e+00
9.950221009690906726e+00,1.004680516635423793e+00
1.116433159725631974e+01,9.989976990448804495e-01
1.252658608206810165e+01,9.936439375535093266e-01
1.405506075348254669e+01,9.886207087664241611e-01
1.577003754174267236e+01,9.839258320577286554e-01
1.769427314687003872e+01,9.795539268031931979e-01
1.985330100624787164e+01,9.754968807144167586e-01
2.227577010782184530e+01,9.717443152613700619e-01
2.499382514476415906e+01,9.682840360809646940e-01
2.804353305602182189e+01,9.651024583981455685e-01
3.146536161268360843e+01,9.621849997263557386e-01
3.530471640071561978e+01,9.595164343549914543e-01
3.961254332550009849e+01,9.570812062671071319e-01
4.444600463304720961e+01,9.548636990705794414e-01
4.986923741826951328e+01,9.528484632017776290e-01
5.595420468526437219e+01,9.510204020304924288e-01
