w,Khat_PII0.5,nu_at_midpoint_PII0.5,range_coefficient_PII0.5,ratio_PII0.5,Khat_PII5,nu_at_midpoint_PII5,range_coefficient_PII5,ratio_PII5,Khat_PII36,nu_at_midpoint_PII36,range_coefficient_PII36,ratio_PII36
1.000000000000000000e+00,5.087820557961139301e+00,1.000000000000000666e+00,3.551844978799032937e+00,1.472474173624658933e+00,8.310446708152028350e+00,9.999999999999995559e-01,3.779422757735651395e+00,1.709255728742648195e+00,4.392382704831579758e+02,1.000000000000000000e+00,4.914505946216748633e+00,9.115870545336838271e-01
1.024999999999999911e+00,4.518965403037531026e+00,1.072216047103236258e+00,3.731935879323375449e+00,1.401417432967319243e+00,7.333445082410883664e+00,1.072292018524451551e+00,3.978405427027988495e+00,1.623766134067902600e+00,3.834602569414125810e+02,1.072340275017394928e+00,5.178932591086958581e+00,8.650431186747179479e-01
1.050000000000000044e+00,4.013832586264972413e+00,1.152304100510077811e+00,3.927922631024381772e+00,1.331492621237308827e+00,6.479371698137265767e+00,1.152432640621327886e+00,4.193732537744160105e+00,1.540393895380577138e+00,3.358625999149321046e+02,1.152514327126089588e+00,5.462954162980876660e+00,8.200691176137336891e-01
1.074999999999999956e+00,3.566941445739965744e+00,1.241333729490262661e+00,4.141155897413741904e+00,1.262932410553843088e+00,5.733275441609746004e+00,1.241497473054138601e+00,4.426963446136601199e+00,1.459239516792853575e+00,2.950918321366351620e+02,1.241601623398081777e+00,5.768854611662123766e+00,7.765839671090656315e-01
1.100000000000000089e+00,3.172516520004699636e+00,1.340517062527613490e+00,4.373272335338152850e+00,1.195900826422144902e+00,5.081497163563993169e+00,1.340703025680730409e+00,4.679952762794606258e+00,1.380355812852787967e+00,2.600427488138982994e+02,1.340821447610576644e+00,6.099263114311209044e+00,7.345149596003168746e-01
1.125000000000000000e+00,2.824874357927322333e+00,1.451212858694680419e+00,4.626233343704656775e+00,1.130509339118603851e+00,4.511805121929577389e+00,1.451411243249871585e+00,4.954893817133624090e+00,1.303761541299197857e+00,2.298085983290430363e+02,1.451537747820598190e+00,6.457217417414558014e+00,6.937972984954521305e-01
1.149999999999999911e+00,2.518648601238418827e+00,1.574923742750205857e+00,4.902373609537535870e+00,1.066830155462870078e+00,4.013393991909158132e+00,1.575127083008931894e+00,5.254372838652180633e+00,1.229452153162598815e+00,2.036420872344993711e+02,1.575256941493728302e+00,6.846240280115434729e+00,6.543737608818577245e-01
1.175000000000000044e+00,2.248906567460907002e+00,1.713283138747763390e+00,5.204461182064365588e+00,1.004907101242996426e+00,3.576807443996410818e+00,1.713485701090051272e+00,5.581435598048352986e+00,1.157408320228374921e+00,1.809246807097806027e+02,1.713615266327314313e+00,7.270431530953989530e+00,6.161945107283277601e-01
1.199999999999999956e+00,2.011195907893570389e+00,1.868027829055726619e+00,5.535770710060750055e+00,9.447645637661545859e-01,3.193822519774722313e+00,1.868225196490776341e+00,5.939668293815225653e+00,1.087602822320326901e+00,1.611423045191872916e+02,1.868351642941863622e+00,7.734578368879247989e+00,5.792170932064858446e-01
1.225000000000000089e+00,1.801548140588667968e+00,2.040951747397226956e+00,5.900171111883767416e+00,8.864149701465523501e-01,2.857319328481989107e+00,2.041140537377113429e+00,6.333294171938128159e+00,1.020006307084753150e+00,1.438660152654215949e+02,2.041261685983664087e+00,8.244286229247265396e+00,5.434066546727649438e-01
