modified_sites,independent,nonbinomial_nu_2p2
0.000000000000000000e+00,2.441406249999993224e-04,7.846525691800245589e-03
1.000000000000000000e+00,2.929687499999995663e-03,2.811608900823505189e-02
2.000000000000000000e+00,1.611328125000000694e-02,5.752424198994277732e-02
3.000000000000000000e+00,5.371093750000001388e-02,8.885870888112928911e-02
4.000000000000000000e+00,1.208496093749998751e-01,1.154223490536682162e-01
5.000000000000000000e+00,1.933593750000000000e-01,1.328172019008286853e-01
6.000000000000000000e+00,2.255859374999997224e-01,1.388297669487918162e-01
7.000000000000000000e+00,1.933593749999998335e-01,1.328172019008285742e-01
8.000000000000000000e+00,1.208496093749998751e-01,1.154223490536682162e-01
9.000000000000000000e+00,5.371093750000001388e-02,8.885870888112928911e-02
1.000000000000000000e+01,1.611328124999997571e-02,5.752424198994267324e-02
1.100000000000000000e+01,2.929687499999995663e-03,2.811608900823505189e-02
1.200000000000000000e+01,2.441406249999993224e-04,7.846525691800245589e-03
