glutamine_mM,UMP_per_trimer
2.000000515405526286e-02,2.970000276547868800e+00
1.000000200529200384e-01,2.860000262919240477e+00
2.000000351815215682e-01,2.760000250529990318e+00
3.000000484509336429e-01,2.340000198494233352e+00
4.000000605130230591e-01,2.120000171236974040e+00
5.000000716778191245e-01,1.900000143979714728e+00
6.000000821268370865e-01,1.620000109288452617e+00
8.000001013260061855e-01,1.250000063447320953e+00
1.000000118730588472e+00,1.040000037429442470e+00
1.300000142233243228e+00,8.500000138880515754e-01
2.000000188218001629e+00,6.499999891095522564e-01
1.000000036935447234e+01,4.499999643310531039e-01
