# Re F(i omega) of the auxiliary chain at the identical-independent steady state (companion manuscript); omega in units of the mean exit rate
n,omega,ReF
1,0.001,0.8163263946145115
1,0.0010472898382363584,0.8163263814477567
1,0.001096816005273138,0.8163263670062497
1,0.0011486842567375536,0.8163263511665743
1,0.0012030053494233243,0.8163263337933655
1,0.0012598952777950272,0.8163263147381529
1,0.001319475521676706,0.8163262938380916
1,0.0013818733056536322,0.8163262709145713
1,0.0014472218707411344,0.8163262457716887
1,0.0015156607589006028,0.8163262181945745
1,0.0015873361110102086,0.8163261879475563
1,0.001662400978926612,0.8163261547721453
1,0.0017410156523040153,0.8163261183848266
1,0.0018233480008684403,0.8163260784746368
1,0.0019095738328780967,0.8163260347005064
1,0.001999877270535287,0.8163259866883449
1,0.0020944511431514688,0.8163259340278441
1,0.00219349739890506,0.816325876268972
1,0.0022972275360711512,0.8163258129181259
1,0.002405863054644067,0.8163257434339153
1,0.0025196359293170162,0.8163256672225346
1,0.0026387891048289345,0.8163255836326888
1,0.0027635770147361603,0.8163254919500278
1,0.0028942661247167516,0.8163253913910414
1,0.003031135501567579,0.8163252810963643
1,0.0031744774091091933,0.8163251601234313
1,0.0033245979322709418,0.8163250274384233
1,0.0034818176306889667,0.8163248819074326
1,0.0036464722232127486,0.8163247222867724
1,0.003818913304781854,0.8163245472123493
1,0.003999509097203665,0.8163243551880063
1,0.004188645235435271,0.8163241445727373
1,0.0043867255910484985,0.8163239135666643
1,0.0045941731346364765,0.8163236601956565
1,0.0048114308390032594,0.8163233822944608
1,0.00503896262506515,0.816323077488199
1,0.0052772543524835375,0.8163227431720742
1,0.005526814857144603,0.8163223764891127
1,0.005788177037701274,0.8163219743057504
1,0.006061898993497572,0.8163215331850573
1,0.006348565216305217,0.816321049357369
1,0.006648787838417263,0.8163205186880762
1,0.006963207939763883,0.8163199366422957
1,0.007292496916841445,0.8163192982461225
1,0.007637357916378027,0.81631859804413
1,0.007998527336796709,0.816317830052759
1,0.008376776400682925,0.8163169877091931
1,0.008772912801613356,0.8163160638152871
1,0.00918778242886334,0.8163150504760686
1,0.009622271173675135,0.816313939032288
1,0.010077306820944612,0.8163127199864406
1,0.010553861030365236,0.8163113829216309
1,0.011052951411260215,0.8163099164125841
1,0.011575643695533041,0.8163083079280488
1,0.012123054013376522,0.8163065437237552
1,0.012696351276599734,0.8163046087250183
1,0.013296759674662127,0.8163024863979822
1,0.013925561288744634,0.8163001586084107
1,0.014584098829439862,0.8162976054668178
1,0.01527377850390714,0.8162948051586201
1,0.01599607301861488,0.8162917337578622
1,0.016752524724082157,0.8162883650229301
1,0.017544748908334597,0.8162846701725119
1,0.018374437246107267,0.816280617639899
1,0.0192433614111598,0.8162761728035376
1,0.02015337685941733,0.8162712976915383
1,0.021106426791015546,0.8162659506576311
1,0.022104546299710218,0.816260086025814
1,0.02314986671851161,0.8162536537006758
1,0.024244620170823284,0.8162465987400861
1,0.02539114433680347,0.8162388608866289
1,0.026591887445126937,0.8162303740538083
1,0.02784941350080644,0.8162210657626745
1,0.029166407760237052,0.8162108565241042
1,0.030545682465154336,0.8161996591615137
1,0.03199018284775065,0.8161873780682858
1,0.033502993419772316,0.8161739083936472
1,0.03508734455902713,0.816159135150141
1,0.0367466194073669,0.8161429322351844
1,0.03848436109487431,0.816125161358497
1,0.04030428030568053,0.8161056708664061
1,0.04221026320156901,0.816084294453193
1,0.04420637972028532,0.8160608497487164
1,0.046296892266272656,0.8160351367705488
1,0.04848626481239081,0.8160069362277593
1,0.05077917243205401,0.8159760076622863
1,0.053180511282142,0.8159420874125428
1,0.055695409058001334,0.8159048863824827
1,0.05832923594286206,0.8158640875978244
1,0.061087616075050394,0.8158193435294611
1,0.0639764395574843,0.8157702731622827
1,0.0670018750350959,0.8157164587856804
1,0.07017038286703829,0.8156574424798919
1,0.07348872892180387,0.8155927222700675
1,0.07696399902471159,0.8155217479174812
1,0.08060361408861345,0.8154439163146695
1,0.08441534596012985,0.8153585664484517
1,0.08840733401525062,0.8152649738917565
1,0.09258810253973955,0.8151623447819476
1,0.0969665789314552,0.8150498092399121
1,0.10155211276345681,0.8149264141805392
1,0.10635449574860112,0.814791115461392
1,0.11138398264826195,0.8146427693123648
1,0.11665131316981961,0.8144801229849447
1,0.12216773489967918,0.8143018045553909
1,0.12794502732078733,0.8141063118117389
1,0.13399552696593384,0.8138920001500843
1,0.14033215376054847,0.8136570694011824
1,0.1469684386112446,0.8133995495040773
1,0.15391855229902054,0.8131172849393906
1,0.1611973357388157,0.8128079178311719
1,0.16882033167003627,0.8124688696230337
1,0.17680381784572086,0.8120973212318662
1,0.1851648417912156,0.8116901915810324
1,0.1939212572065831,0.8112441144148893
1,0.2030917620904737,0.8107554132981762
1,0.2126959386668692,0.8102200747077029
1,0.22275429519995588,0.8096337191304462
1,0.23328830978641582,0.8089915700922601
1,0.2443204762186489,0.8082884210557236
1,0.25587435201685893,0.8075186001451043
1,0.26797460873256923,0.8066759326820511
1,0.28064708463098387,0.8057537015487
1,0.29391883986468875,0.8047446054367531
1,0.307818214256508,0.8036407150933712
1,0.32237488781490303,0.80243342773917
1,0.337619944111134,0.8011134199121729
1,0.35358593665351795,0.799670599086367
1,0.3703069584005141,0.7980940545267833
1,0.38781871456107236,0.7963720079770825
1,0.40615859883769795,0.7944917649328089
1,0.4253657732750387,0.7924396674359425
1,0.4454812518844989,0.790201049536033
1,0.4665479882234473,0.7877601968014007
1,0.48861096711603264,0.7851003115312036
1,0.5117173007114605,0.7822034856149682
1,0.5359163290848514,0.7790506833082098
1,0.5612597255954972,0.7756217365365974
1,0.5878016072274912,0.7718953556994734
1,0.6155986501483508,0.7678491593056483
1,0.644710210732387,0.763459726125133
1,0.6751984523072502,0.7587026738596692
1,0.7071284778942997,0.75355276859656
1,0.7405684692262434,0.7479840694820217
1,0.7755898323389001,0.7419701130930907
1,0.812267350047972,0.7354841418556534
1,0.8506793416364162,0.7284993804995806
1,0.8909078300934142,0.7209893639058435
1,0.933038717262037,0.7129283187298859
1,0.9771619672696181,0.7042915998294362
1,1.0233717986325201,0.6950561807422374
1,1.0717668854455034,0.6852011952262899
1,1.122450568085307,0.6747085241947492
1,1.17553107387837,0.6635634192881954
1,1.2311217482038908,0.651755150912274
1,1.2893412965257156,0.6392776649655025
1,1.3503140378698735,0.6261302288846194
1,1.414170170289024,0.6123180442943843
1,1.4810460488806754,0.5978528007652384
1,1.5510844769528405,0.5827531432879381
1,1.624435010958867,0.5670450254073521
1,1.7012542798525891,0.5507619208272715
1,1.7817063195457308,0.5339448689430348
1,1.865962923181746,0.5166423343040284
1,1.9542040079740535,0.4989098664256686
1,2.04661799939199,0.48080955445148416
1,2.143402233514857,0.4624092805112361
1,2.2447633784132237,0.44378178565551096
1,2.3509178754572866,0.4250035722602819
1,2.4620924014946257,0.4061536760049948
1,2.5785243528842736,0.38731234816431237
1,2.700462352420682,0.3685596943458423
1,2.8281667802300325,0.349974318464624
1,2.9619103297725533,0.33163202042415735
1,3.101978590138097,0.3136045927031299
1,3.248670655878375,0.2959587551282037
1,3.4022997656780714,0.27875525908035326
1,3.563193971228588,0.26204818293474474
1,3.7316968377327555,0.24588443045222452
1,3.908168177536268,0.23030343389705887
1,4.092984818452442,0.2153370545369795
1,4.28654140842093,0.20100966542802545
1,4.489251258218608,0.18733839535705576
1,4.701547224022135,0.174333508677876
1,4.923882631706742,0.16199889352529462
1,5.156732244854969,0.1503326303723057
1,5.400593278542374,0.13932761385157566
1,5.655986461065008,0.12897220287485145
1,5.923457145875806,0.11925087701319836
1,6.203576476104275,0.11014488051989246
1,6.496942604146125,0.10163283899564013
1,6.804181968927101,0.09369133727314727
1,7.125950633568411,0.08629545045302123
1,7.4629356863101375,0.07941922303061466
1,7.815856707684091,0.07303609364036001
1,8.185467307069029,0.06711926508026944
1,8.572556731909325,0.06164202096837823
1,8.977951553033323,0.05657799165294963
1,9.402517429670132,0.05190137289308716
1,9.847160957933774,0.04758710139829281
1,10.312831606721847,0.04361099161963844
1,10.80052374516254,0.0399498382754373
1,11.311278765939214,0.03658148902043634
1,11.846187309026847,0.033484891473608
1,12.406391590588319,0.030640118543229344
1,12.993087842004172,0.02802837566004146
1,13.607528864243331,0.02563199317460596
1,14.251026703029993,0.023434406812558817
1,14.92495545051829,0.02142012872543042
1,15.630754179458174,0.019574711335007322
1,16.36993001611702,0.017884705852498572
1,17.14406135851972,0.01633761706389636
1,17.954801246878304,0.014921855711825027
1,18.803880893409165,0.013626689572115769
1,19.69311337907422,0.012442194119636762
1,20.624397525140925,0.011359203500985626
1,21.59972194782717,0.010369262379606337
1,22.621169304690262,0.009464579089434433
1,23.69092074182632,0.00863798042405517
1,24.811260551377703,0.00788286829718765
1,25.984581049292473,0.0071931784349442696
1,27.213387683753087,0.006563341198598138
1,28.500304385181053,0.0059882445866884515
1,29.848079169243274,0.005463199425397969
1,31.259590004822844,0.00498390672479021
1,32.73785095948577,0.0045464271542418055
1,34.2860186355659,0.004147152572157475
1,35.90739891061055,0.0037827795316905943
1,37.60545399658176,0.003450284674892723
1,39.38380983288489,0.0031469019216827654
1,41.246263829013564,0.0028701013566470035
1,43.196792973341736,0.002617569715401613
1,45.23956232538058,0.0023871923726043187
1,47.37893390963144,0.0021770367353596276
1,49.619476030029084,0.001985336948361449
1,51.965973024861974,0.0018104798204260364
1,54.42343548300272,0.0016509918858956807
1,56.99711094326075,0.001505527518531502
1,59.69249509970739,0.0013728580198650864
1,62.51534353689712,0.0012518616084172818
1,65.47168402004743,0.0011415142406316914
