GlnE_total_uM,G_mM,synergy_multiplier,free_halfpoint_uM,nominal_halfpoint_uM,corrected_halfpoint_uM
1.000000000000000021e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.799999999999999933e-01,1.804999999999999938e-01,1.799999999999999933e-01
1.000000000000000021e-03,0.000000000000000000e+00,4.000000000000000000e+00,1.799999999999999933e-01,1.804999999999999938e-01,1.799999999999999933e-01
1.000000000000000021e-03,1.000000000000000000e+01,1.000000000000000000e+00,6.191590262409104456e-02,6.241590262409104500e-02,6.191590262409104456e-02
1.000000000000000021e-03,1.000000000000000000e+01,4.000000000000000000e+00,1.520496894409937849e-01,1.525496894409937854e-01,1.520496894409937849e-01
1.000000000000000021e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.799999999999999933e-01,1.849999999999999978e-01,1.799999999999999933e-01
1.000000000000000021e-02,0.000000000000000000e+00,4.000000000000000000e+00,1.799999999999999933e-01,1.849999999999999978e-01,1.799999999999999933e-01
1.000000000000000021e-02,1.000000000000000000e+01,1.000000000000000000e+00,6.191590262409104456e-02,6.691590262409104206e-02,6.191590262409104456e-02
1.000000000000000021e-02,1.000000000000000000e+01,4.000000000000000000e+00,1.520496894409937849e-01,1.570496894409937894e-01,1.520496894409937849e-01
1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.799999999999999933e-01,2.299999999999999822e-01,1.799999999999999933e-01
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000000e+00,1.799999999999999933e-01,2.299999999999999822e-01,1.799999999999999933e-01
1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000000e+00,6.191590262409104456e-02,1.119159026240910404e-01,6.191590262409103762e-02
1.000000000000000056e-01,1.000000000000000000e+01,4.000000000000000000e+00,1.520496894409937849e-01,2.020496894409937738e-01,1.520496894409937849e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.799999999999999933e-01,6.799999999999999378e-01,1.799999999999999378e-01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.799999999999999933e-01,6.799999999999999378e-01,1.799999999999999378e-01
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,6.191590262409104456e-02,5.619159026240910793e-01,6.191590262409107925e-02
1.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.520496894409937849e-01,6.520496894409937294e-01,1.520496894409937294e-01
