lambda,worst_log_contrast,n_per_condition_fractionSD0p1
1.020000000000000018e+00,0.000000000000000000e+00,inf
1.039866666666666717e+00,0.000000000000000000e+00,inf
1.059733333333333416e+00,0.000000000000000000e+00,inf
1.079600000000000115e+00,0.000000000000000000e+00,inf
1.099466666666666592e+00,0.000000000000000000e+00,inf
1.119333333333333291e+00,0.000000000000000000e+00,inf
1.139199999999999990e+00,0.000000000000000000e+00,inf
1.159066666666666690e+00,0.000000000000000000e+00,inf
1.178933333333333389e+00,0.000000000000000000e+00,inf
1.198800000000000088e+00,0.000000000000000000e+00,inf
1.218666666666666787e+00,0.000000000000000000e+00,inf
1.238533333333333264e+00,0.000000000000000000e+00,inf
1.258399999999999963e+00,1.653087731727453935e-03,2.262500000000000000e+04
1.278266666666666662e+00,5.514263605209956953e-03,2.034000000000000000e+03
1.298133333333333361e+00,9.308682086588748739e-03,7.140000000000000000e+02
1.318000000000000060e+00,1.303805962994919465e-02,3.640000000000000000e+02
1.337866666666666760e+00,1.670405434520866317e-02,2.220000000000000000e+02
1.357733333333333459e+00,2.030826845620709031e-02,1.500000000000000000e+02
1.377600000000000158e+00,2.385225063556156710e-02,1.090000000000000000e+02
1.397466666666666635e+00,2.733749822343334301e-02,8.300000000000000000e+01
1.417333333333333334e+00,3.076545933688784595e-02,6.600000000000000000e+01
1.437200000000000033e+00,3.413753487608728321e-02,5.400000000000000000e+01
1.457066666666666732e+00,3.745508043315731728e-02,4.500000000000000000e+01
1.476933333333333431e+00,4.071940810919116860e-02,3.800000000000000000e+01
1.496799999999999908e+00,4.393178824450849618e-02,3.300000000000000000e+01
1.516666666666666607e+00,4.709345106696094518e-02,2.800000000000000000e+01
1.536533333333333307e+00,5.020558826277915498e-02,2.500000000000000000e+01
1.556400000000000006e+00,5.326935447417374681e-02,2.200000000000000000e+01
1.576266666666666705e+00,5.628586872764490545e-02,2.000000000000000000e+01
1.596133333333333404e+00,5.925621579671186412e-02,1.800000000000000000e+01
1.616000000000000103e+00,6.218144750254844810e-02,1.600000000000000000e+01
1.635866666666666802e+00,6.506258395580061249e-02,1.500000000000000000e+01
1.655733333333333501e+00,6.790061474266717578e-02,1.400000000000000000e+01
1.675600000000000200e+00,7.069650005813854499e-02,1.300000000000000000e+01
1.695466666666666677e+00,7.345117178912191624e-02,1.200000000000000000e+01
1.715333333333333377e+00,7.616553455001773276e-02,1.100000000000000000e+01
1.735200000000000076e+00,7.884046667316629842e-02,1.000000000000000000e+01
1.755066666666666775e+00,8.147682115644172551e-02,1.000000000000000000e+01
1.774933333333333252e+00,8.407542657014116516e-02,9.000000000000000000e+00
1.794799999999999951e+00,8.663708792519436708e-02,9.000000000000000000e+00
1.814666666666666650e+00,8.916258750460553939e-02,8.000000000000000000e+00
1.834533333333333349e+00,9.165268565992967797e-02,8.000000000000000000e+00
1.854400000000000048e+00,9.410812157448927850e-02,7.000000000000000000e+00
1.874266666666666747e+00,9.652961399493842354e-02,7.000000000000000000e+00
1.894133333333333447e+00,9.891786193269652694e-02,7.000000000000000000e+00
1.914000000000000146e+00,1.012735453366887528e-01,7.000000000000000000e+00
1.933866666666666845e+00,1.035973257387545754e-01,6.000000000000000000e+00
1.953733333333333544e+00,1.058898468730094522e-01,6.000000000000000000e+00
1.973600000000000021e+00,1.081517352703793011e-01,6.000000000000000000e+00
1.993466666666666720e+00,1.103836008294606930e-01,6.000000000000000000e+00
2.013333333333333641e+00,1.125860373647984414e-01,5.000000000000000000e+00
2.033199999999999896e+00,1.147596231336175943e-01,5.000000000000000000e+00
2.053066666666667039e+00,1.169049213419900979e-01,5.000000000000000000e+00
2.072933333333333294e+00,1.190224806313668338e-01,5.000000000000000000e+00
2.092799999999999994e+00,1.211128355463585438e-01,5.000000000000000000e+00
2.112666666666666693e+00,1.231765069846029181e-01,5.000000000000000000e+00
2.132533333333333392e+00,1.252140026295129882e-01,4.000000000000000000e+00
2.152400000000000091e+00,1.272258173666624415e-01,4.000000000000000000e+00
2.172266666666666790e+00,1.292124336845251187e-01,4.000000000000000000e+00
2.192133333333333489e+00,1.311743220602499815e-01,4.000000000000000000e+00
2.212000000000000188e+00,1.331119413311194211e-01,4.000000000000000000e+00
2.231866666666666887e+00,1.350257390523078027e-01,4.000000000000000000e+00
2.251733333333333142e+00,1.369161518415249468e-01,4.000000000000000000e+00
2.271600000000000286e+00,1.387836057111029864e-01,4.000000000000000000e+00
2.291466666666666541e+00,1.406285163880561795e-01,4.000000000000000000e+00
2.311333333333333684e+00,1.424512896226204361e-01,4.000000000000000000e+00
2.331199999999999939e+00,1.442523214857508451e-01,3.000000000000000000e+00
2.351066666666667082e+00,1.460319986560387751e-01,3.000000000000000000e+00
2.370933333333333337e+00,1.477906986964814262e-01,3.000000000000000000e+00
2.390800000000000036e+00,1.495287903215235525e-01,3.000000000000000000e+00
2.410666666666666735e+00,1.512466336547649837e-01,3.000000000000000000e+00
2.430533333333333434e+00,1.529445804777143092e-01,3.000000000000000000e+00
2.450400000000000134e+00,1.546229744699487152e-01,3.000000000000000000e+00
2.470266666666666833e+00,1.562821514410248636e-01,3.000000000000000000e+00
2.490133333333333532e+00,1.579224395544688853e-01,3.000000000000000000e+00
2.509999999999999787e+00,1.595441595441595140e-01,3.000000000000000000e+00
2.529866666666666930e+00,1.611476249234049529e-01,3.000000000000000000e+00
2.549733333333333185e+00,1.627331421869978034e-01,3.000000000000000000e+00
2.569600000000000328e+00,1.643010110065242224e-01,3.000000000000000000e+00
2.589466666666666583e+00,1.658515244191852700e-01,3.000000000000000000e+00
2.609333333333333727e+00,1.673849690103846322e-01,3.000000000000000000e+00
2.629199999999999982e+00,1.689016250903167538e-01,3.000000000000000000e+00
2.649066666666666681e+00,1.704017668647893613e-01,3.000000000000000000e+00
2.668933333333333380e+00,1.718856626004934274e-01,3.000000000000000000e+00
2.688800000000000079e+00,1.733535747849345721e-01,3.000000000000000000e+00
2.708666666666666778e+00,1.748057602812231326e-01,3.000000000000000000e+00
2.728533333333333477e+00,1.762424704779160800e-01,2.000000000000000000e+00
2.748400000000000176e+00,1.776639514340933590e-01,2.000000000000000000e+00
2.768266666666666875e+00,1.790704440198460645e-01,2.000000000000000000e+00
2.788133333333333574e+00,1.804621840523428222e-01,2.000000000000000000e+00
2.807999999999999829e+00,1.818394024276376864e-01,2.000000000000000000e+00
2.827866666666666973e+00,1.832023252483735432e-01,2.000000000000000000e+00
2.847733333333333228e+00,1.845511739475285129e-01,2.000000000000000000e+00
2.867600000000000371e+00,1.858861654083497350e-01,2.000000000000000000e+00
2.887466666666666626e+00,1.872075120806084847e-01,2.000000000000000000e+00
2.907333333333333769e+00,1.885154220933098479e-01,2.000000000000000000e+00
2.927200000000000024e+00,1.898100993639799672e-01,2.000000000000000000e+00
2.947066666666666723e+00,1.910917437046545375e-01,2.000000000000000000e+00
2.966933333333333422e+00,1.923605509246810730e-01,2.000000000000000000e+00
2.986800000000000122e+00,1.936167129304482426e-01,2.000000000000000000e+00
3.006666666666666821e+00,1.948604178221482464e-01,2.000000000000000000e+00
3.026533333333333520e+00,1.960918499876743715e-01,2.000000000000000000e+00
3.046400000000000219e+00,1.973111901937524282e-01,2.000000000000000000e+00
3.066266666666666918e+00,1.985186156744014607e-01,2.000000000000000000e+00
3.086133333333333617e+00,1.997143002168127734e-01,2.000000000000000000e+00
3.106000000000000316e+00,2.008984142447367005e-01,2.000000000000000000e+00
3.125866666666667015e+00,2.020711248994599418e-01,2.000000000000000000e+00
3.145733333333333270e+00,2.032325961184546503e-01,2.000000000000000000e+00
3.165599999999999969e+00,2.043829887117768473e-01,2.000000000000000000e+00
3.185466666666666669e+00,2.055224604362891894e-01,2.000000000000000000e+00
3.205333333333333368e+00,2.066511660677798623e-01,2.000000000000000000e+00
3.225200000000000067e+00,2.077692574710466866e-01,2.000000000000000000e+00
3.245066666666666766e+00,2.088768836680137686e-01,2.000000000000000000e+00
3.264933333333333465e+00,2.099741909039435916e-01,2.000000000000000000e+00
3.284800000000000164e+00,2.110613227118081081e-01,2.000000000000000000e+00
3.304666666666666863e+00,2.121384199748765353e-01,2.000000000000000000e+00
3.324533333333333562e+00,2.132056209875781705e-01,2.000000000000000000e+00
3.344400000000000261e+00,2.142630615146958184e-01,2.000000000000000000e+00
3.364266666666666961e+00,2.153108748489415691e-01,2.000000000000000000e+00
3.384133333333333660e+00,2.163491918669680769e-01,2.000000000000000000e+00
3.404000000000000359e+00,2.173781410838631079e-01,2.000000000000000000e+00
3.423866666666666614e+00,2.183978487061762341e-01,2.000000000000000000e+00
3.443733333333333313e+00,2.194084386835226663e-01,2.000000000000000000e+00
3.463600000000000012e+00,2.204100327588094932e-01,2.000000000000000000e+00
3.483466666666666711e+00,2.214027505171262955e-01,2.000000000000000000e+00
3.503333333333333410e+00,2.223867094333415451e-01,2.000000000000000000e+00
3.523200000000000109e+00,2.233620249184451456e-01,2.000000000000000000e+00
3.543066666666666809e+00,2.243288103646745302e-01,2.000000000000000000e+00
3.562933333333333508e+00,2.252871771894622843e-01,2.000000000000000000e+00
3.582800000000000207e+00,2.262372348782403786e-01,2.000000000000000000e+00
3.602666666666666906e+00,2.271790910261362040e-01,2.000000000000000000e+00
3.622533333333333605e+00,2.281128513785931067e-01,2.000000000000000000e+00
