assay,measurement_SD,n_per_condition,min_contrast,power,variance_multiplier
GlnD_occupancy,0.05,1,0.2444444444444444,0.9994107542203156,1
GlnD_occupancy,0.1,2,0.2444444444444444,0.9650156200556373,1
GlnD_occupancy,0.2,5,0.2444444444444444,0.8617285670819199,1
GlnD_occupancy,0.3,10,0.2444444444444444,0.8242844615189682,1
GlnE_paired_halfpoint,0.05,1,0.25569615279946784,0.9756515585635728,2
GlnE_paired_halfpoint,0.1,2,0.25569615279946784,0.8191440402447993,2
GlnE_paired_halfpoint,0.2,8,0.25569615279946784,0.8191440402447993,2
GlnE_paired_halfpoint,0.3,18,0.25569615279946784,0.8191440402447993,2
GlnD_capacity_conditional,0.05,1,0.3630939578539724,0.9997585533128117,2
GlnD_capacity_conditional,0.1,1,0.3630939578539724,0.821894334171994,2
GlnD_capacity_conditional,0.2,4,0.3630939578539724,0.821894334171994,2
GlnD_capacity_conditional,0.3,9,0.3630939578539724,0.8218943341719941,2
