binding_rate,lambda,max_transient_fraction_error
1.000000000000000021e-02,1.000000000000000000e+00,3.645580091414052371e-01
1.000000000000000021e-02,4.000000000000000000e+00,3.831541376789332487e-01
1.000000000000000056e-01,1.000000000000000000e+00,2.890595515103239199e-01
1.000000000000000056e-01,4.000000000000000000e+00,3.475076097326658120e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.372711265274657588e-01
1.000000000000000000e+00,4.000000000000000000e+00,2.170222060985451673e-01
1.000000000000000000e+01,1.000000000000000000e+00,2.923053786226359474e-02
1.000000000000000000e+01,4.000000000000000000e+00,6.551195623184791206e-02
1.000000000000000000e+02,1.000000000000000000e+00,3.595389668975323971e-03
1.000000000000000000e+02,4.000000000000000000e+00,9.804756690005911324e-03
