G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
2.999999999999999889e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.975672583987201802e-01,9.976673177089582234e-01,9.975672583987201802e-01,2.439454888092384977e-18
2.999999999999999889e-01,0.000000000000000000e+00,4.000000000000000000e+00,9.975672583987200692e-01,9.977060017129877334e-01,9.975672583987200692e-01,9.893344823930227960e-18
2.999999999999999889e-01,1.000000000000000048e-04,1.000000000000000000e+00,9.975653030026884194e-01,9.976660605801991322e-01,9.975672583987201802e-01,3.479457028505587900e-16
2.999999999999999889e-01,1.000000000000000048e-04,4.000000000000000000e+00,9.975664207348592383e-01,9.977054474166536790e-01,9.975672583987200692e-01,1.003889949498199896e-16
2.999999999999999889e-01,1.778279410038922698e-04,1.000000000000000000e+00,9.975637861648144478e-01,9.976650776301358992e-01,9.975672583987201802e-01,3.459785376519876419e-15
2.999999999999999889e-01,1.778279410038922698e-04,4.000000000000000000e+00,9.975657688351093899e-01,9.977050108571223763e-01,9.975672583987200692e-01,9.890332960058248880e-16
2.999999999999999889e-01,3.162277660168379394e-04,1.000000000000000000e+00,9.975610994972313739e-01,9.976633206487312000e-01,9.975672583987201802e-01,7.642354766601924809e-18
2.999999999999999889e-01,3.162277660168379394e-04,4.000000000000000000e+00,9.975646096936011675e-01,9.977042242561802166e-01,9.975672583987200692e-01,2.032402617377490270e-18
2.999999999999999889e-01,5.623413251903490971e-04,1.000000000000000000e+00,9.975563550717152506e-01,9.976601710342906104e-01,9.975672583987201802e-01,2.105618027755783855e-18
2.999999999999999889e-01,5.623413251903490971e-04,4.000000000000000000e+00,9.975625489457780048e-01,9.977027965061208148e-01,9.975672583987200692e-01,1.443423551460132868e-18
2.999999999999999889e-01,1.000000000000000021e-03,1.000000000000000000e+00,9.975480199569706219e-01,9.976545057607855149e-01,9.975672583987201802e-01,5.691637889075271128e-18
2.999999999999999889e-01,1.000000000000000021e-03,4.000000000000000000e+00,9.975588867369362678e-01,9.977001820401888432e-01,9.975672583987200692e-01,1.625747393356621016e-18
2.999999999999999889e-01,1.778279410038922752e-03,1.000000000000000000e+00,9.975335024784058868e-01,9.976442913300588300e-01,9.975672583987201802e-01,1.246237656236230966e-16
2.999999999999999889e-01,1.778279410038922752e-03,4.000000000000000000e+00,9.975523845904026299e-01,9.976953574286842041e-01,9.975672583987200692e-01,2.311763016932574094e-17
2.999999999999999889e-01,3.162277660168379394e-03,1.000000000000000000e+00,9.975085628448213670e-01,9.976259120067800801e-01,9.975672583987201802e-01,3.934079595980570173e-17
2.999999999999999889e-01,3.162277660168379394e-03,4.000000000000000000e+00,9.975408634806807173e-01,9.976864316814832989e-01,9.975672583987200692e-01,7.906094488946210246e-16
2.999999999999999889e-01,5.623413251903490971e-03,1.000000000000000000e+00,9.974665807669081952e-01,9.975932144816884728e-01,9.975672583987201802e-01,1.016454756828431383e-17
2.999999999999999889e-01,5.623413251903490971e-03,4.000000000000000000e+00,9.975205297325675513e-01,9.976700050818124721e-01,9.975672583987200692e-01,1.241326784201177147e-18
2.999999999999999889e-01,1.000000000000000021e-02,1.000000000000000000e+00,9.973977654176746643e-01,9.975364623221886218e-01,9.975672583987201802e-01,5.209252625613947085e-18
2.999999999999999889e-01,1.000000000000000021e-02,4.000000000000000000e+00,9.974848985736629592e-01,9.976401398882978055e-01,9.975672583987200692e-01,1.384369473168747117e-18
2.999999999999999889e-01,1.778279410038922925e-02,1.000000000000000000e+00,9.972883031498988027e-01,9.974415479561544728e-01,9.975672583987201802e-01,1.486285681757356411e-15
2.999999999999999889e-01,1.778279410038922925e-02,4.000000000000000000e+00,9.974232390023423100e-01,9.975868063323615198e-01,9.975672583987200692e-01,2.918208497792356207e-17
2.999999999999999889e-01,3.162277660168379134e-02,1.000000000000000000e+00,9.971195822139673481e-01,9.972897585379513208e-01,9.975672583987201802e-01,2.920569602132827569e-18
2.999999999999999889e-01,3.162277660168379134e-02,4.000000000000000000e+00,9.973188106406678521e-01,9.974940712837389034e-01,9.975672583987200692e-01,8.741380015664379499e-19
2.999999999999999889e-01,5.623413251903491145e-02,1.000000000000000000e+00,9.968696356267012781e-01,9.970596283586909969e-01,9.975672583987201802e-01,2.236307058825005075e-15
2.999999999999999889e-01,5.623413251903491145e-02,4.000000000000000000e+00,9.971482162406539729e-01,9.973394643489292832e-01,9.975672583987200692e-01,1.001007205211117894e-15
2.999999999999999889e-01,1.000000000000000056e-01,1.000000000000000000e+00,9.965223095961479594e-01,9.967355537966593459e-01,9.975672583987201802e-01,1.311915863047390367e-16
2.999999999999999889e-01,1.000000000000000056e-01,4.000000000000000000e+00,9.968852390154878673e-01,9.970977598664008124e-01,9.975672583987200692e-01,1.207842513005030587e-18
2.999999999999999889e-01,1.778279410038922925e-01,1.000000000000000000e+00,9.960862483375154675e-01,9.963253985513786937e-01,9.975672583987201802e-01,3.495098868305177844e-15
2.999999999999999889e-01,1.778279410038922925e-01,4.000000000000000000e+00,9.965138951932569489e-01,9.967533377037290920e-01,9.975672583987200692e-01,9.372837667419509815e-14
2.999999999999999889e-01,3.162277660168379412e-01,1.000000000000000000e+00,9.956090362285799911e-01,9.958739189646306222e-01,9.975672583987201802e-01,2.047866806839470201e-13
2.999999999999999889e-01,3.162277660168379412e-01,4.000000000000000000e+00,9.960495189605356181e-01,9.963199172203910381e-01,9.975672583987200692e-01,9.363002571992571081e-14
2.999999999999999889e-01,5.623413251903490728e-01,1.000000000000000000e+00,9.951620581970520574e-01,9.954489756218360963e-01,9.975672583987201802e-01,3.930232875259953573e-18
2.999999999999999889e-01,5.623413251903490728e-01,4.000000000000000000e+00,9.955495174349969778e-01,9.958508722199270746e-01,9.975672583987200692e-01,6.923390553994514512e-16
