enzyme_target_ratio,G_over_K,total_fraction_lambda1,total_fraction_lambda4,gap,rigorous_pairwise_bound
1.000000000000000048e-04,2.000000000000000042e-02,9.988486847118491774e-01,9.988486862727299354e-01,1.560880757978111433e-09,1.000000000000000048e-04
1.000000000000000048e-04,2.205485697671746848e-02,9.988435145369487511e-01,9.988435162638656939e-01,1.726916942779155306e-09,1.000000000000000048e-04
1.000000000000000048e-04,2.432083581317314586e-02,9.988377403869499460e-01,9.988377422982674947e-01,1.911317548675128819e-09,1.000000000000000048e-04
1.000000000000000048e-04,2.681962777068809187e-02,9.988312844897858644e-01,9.988312866060653494e-01,2.116279484987160231e-09,1.000000000000000048e-04
1.000000000000000048e-04,2.957515273256627192e-02,9.988240576888530731e-01,9.988240600331521613e-01,2.344299088186119207e-09,1.000000000000000048e-04
1.000000000000000048e-04,3.261378817906619709e-02,9.988159575406974078e-01,9.988159601389227094e-01,2.598225301575496360e-09,1.000000000000000048e-04
1.000000000000000048e-04,3.596462168791318692e-02,9.988068660592008818e-01,9.988068689405196210e-01,2.881318739156313313e-09,1.000000000000000048e-04
1.000000000000000048e-04,3.965972937743380416e-02,9.987966470358864424e-01,9.987966502332100704e-01,3.197323628079118407e-09,1.000000000000000048e-04
1.000000000000000048e-04,4.373448295773112865e-02,9.987851428513973007e-01,9.987851464019532610e-01,3.550555960352141938e-09,1.000000000000000048e-04
1.000000000000000048e-04,4.822788832917234564e-02,9.987721706755888773e-01,9.987721746216017271e-01,3.946012849809221734e-09,1.000000000000000048e-04
1.000000000000000048e-04,5.318295896944989082e-02,9.987575179323381347e-01,9.987575223218382314e-01,4.389500096735332590e-09,1.000000000000000048e-04
1.000000000000000048e-04,5.864712768349253369e-02,9.987409368793173092e-01,9.987409417671148093e-01,4.887797500074952950e-09,1.000000000000000048e-04
1.000000000000000048e-04,6.467270065773574050e-02,9.987221381217138427e-01,9.987221435705626593e-01,5.448848816591578270e-09,1.000000000000000048e-04
1.000000000000000048e-04,7.131735816522113969e-02,9.987007828409574239e-01,9.987007889229652102e-01,6.082007786289977957e-09,1.000000000000000048e-04
1.000000000000000048e-04,7.864470671456429141e-02,9.986764734736579552e-01,9.986764802719927392e-01,6.798334784008375209e-09,1.000000000000000048e-04
1.000000000000000048e-04,8.672488792828034199e-02,9.986487425203847135e-01,9.986487501313416892e-01,7.610956975767635413e-09,1.000000000000000048e-04
1.000000000000000048e-04,9.563524997900371694e-02,9.986170390966981891e-01,9.986170476322178136e-01,8.535519624430776275e-09,1.000000000000000048e-04
1.000000000000000048e-04,1.054610880109774079e-01,9.985807127574756192e-01,9.985807223482013883e-01,9.590725769115238108e-09,1.000000000000000048e-04
1.000000000000000048e-04,1.162964606345559676e-01,9.985389940271773845e-01,9.985390048261743035e-01,1.079899691891483826e-08,1.000000000000000048e-04
1.000000000000000048e-04,1.282450903096792605e-01,9.984909709497583608e-01,9.984909831370264444e-01,1.218726808360770519e-08,1.000000000000000048e-04
1.000000000000000048e-04,1.414213562373095034e-01,9.984355608282685646e-01,9.984355746161980294e-01,1.378792946482576554e-08,1.000000000000000048e-04
1.000000000000000048e-04,1.559513892633635490e-01,9.983714761508258873e-01,9.983714917907461350e-01,1.563992024777860479e-08,1.000000000000000048e-04
1.000000000000000048e-04,1.719742792761937422e-01,9.982971834906508857e-01,9.982972012806280437e-01,1.778997715806696078e-08,1.000000000000000048e-04
1.000000000000000048e-04,1.896434066555258979e-01,9.982108539163564442e-01,9.982108742103450449e-01,2.029398860070585897e-08,1.000000000000000048e-04
1.000000000000000048e-04,2.091279105182546061e-01,9.981103031464375608e-01,9.981103263648116730e-01,2.321837411223270919e-08,1.000000000000000048e-04
1.000000000000000048e-04,2.306143078159937077e-01,9.979929193195787862e-01,9.979929459608971598e-01,2.664131837359917654e-08,1.000000000000000048e-04
1.000000000000000048e-04,2.543082787833217950e-01,9.978555758191469671e-01,9.978556064727008845e-01,3.065355391740354207e-08,1.000000000000000048e-04
1.000000000000000048e-04,2.804366358280677152e-01,9.976945260739351617e-01,9.976945614321288680e-01,3.535819370625858937e-08,1.000000000000000048e-04
1.000000000000000048e-04,3.092494947109917791e-01,9.975052766445320351e-01,9.975053175133061778e-01,4.086877414266609776e-08,1.000000000000000048e-04
1.000000000000000048e-04,3.410226687986532279e-01,9.972824341814099380e-01,9.972824814856520170e-01,4.730424207899375233e-08,1.000000000000000048e-04
1.000000000000000048e-04,3.760603093086393733e-01,9.970195209927128488e-01,9.970195757716134866e-01,5.477890063776413854e-08,1.000000000000000048e-04
1.000000000000000048e-04,4.146978168211084559e-01,9.967087529736349261e-01,9.967088163580927196e-01,6.338445779352497311e-08,1.000000000000000048e-04
1.000000000000000048e-04,4.573050519273262893e-01,9.963407725156087080e-01,9.963408456756275289e-01,7.316001882085032548e-08,1.000000000000000048e-04
1.000000000000000048e-04,5.042898757493767814e-01,9.959043277292097818e-01,9.959044117735313950e-01,8.404432161324137951e-08,1.000000000000000048e-04
1.000000000000000048e-04,5.561020542229561103e-01,9.953858878888945938e-01,9.953859836915867065e-01,9.580269211273417795e-08,1.000000000000000048e-04
1.000000000000000048e-04,6.132375635173039630e-01,9.947691834696303914e-01,9.947692913889892852e-01,1.079193588937599202e-07,1.000000000000000048e-04
1.000000000000000048e-04,6.762433378062412404e-01,9.940346575560223830e-01,9.940347770006103811e-01,1.194445879981742564e-07,1.000000000000000048e-04
1.000000000000000048e-04,7.457225048387343680e-01,9.931588138737847959e-01,9.931589426604157111e-01,1.287866309152008171e-07,1.000000000000000048e-04
1.000000000000000048e-04,8.223401594268892056e-01,9.921134454044813200e-01,9.921135788472220662e-01,1.334427407462257520e-07,1.000000000000000048e-04
1.000000000000000048e-04,9.068297301185536119e-01,9.908647267878260001e-01,9.908648564622363208e-01,1.296744103207458920e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.000000000000000000e+00,9.893721539349347172e-01,9.893722660883074171e-01,1.121533726999857095e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.102742848835872813e+00,9.875873161272201717e-01,9.875873897680195190e-01,7.364079934735201505e-08,1.000000000000000048e-04
1.000000000000000048e-04,1.216041790658657140e+00,9.854524903039426631e-01,9.854524951182421777e-01,4.814299514599440499e-09,1.000000000000000048e-04
1.000000000000000048e-04,1.340981388534404628e+00,9.828990555672804108e-01,9.828989499884261960e-01,1.055788542148050624e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.478757636628313499e+00,9.798457399443415428e-01,9.798454699379154365e-01,2.700064261063062077e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.630689408953309716e+00,9.761967334663844698e-01,9.761962328412838730e-01,5.006251005967854439e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.798231084395658153e+00,9.718397345314839786e-01,9.718389277457611941e-01,8.067857227844754675e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.982986468871690056e+00,9.666440436065715236e-01,9.666428519370759975e-01,1.191669495526070932e-06,1.000000000000000048e-04
1.000000000000000048e-04,2.186724147886555336e+00,9.604588829397503469e-01,9.604572343417369096e-01,1.648598013437307941e-06,1.000000000000000048e-04
1.000000000000000048e-04,2.411394416458617407e+00,9.531122056629964812e-01,9.531100475698691676e-01,2.158093127313520654e-06,1.000000000000000048e-04
1.000000000000000048e-04,2.659147948472494249e+00,9.444103627745726870e-01,9.444076756500893177e-01,2.687124483369274230e-06,1.000000000000000048e-04
1.000000000000000048e-04,2.932356384174625852e+00,9.341391175989196549e-01,9.341359257914656489e-01,3.191807454006045930e-06,1.000000000000000048e-04
1.000000000000000048e-04,3.233635032886784888e+00,9.220666217188967506e-01,9.220629978562920881e-01,3.623862604662519971e-06,1.000000000000000048e-04
1.000000000000000048e-04,3.565867908261056041e+00,9.079490684132465184e-01,9.079451287980792040e-01,3.939615167314336475e-06,1.000000000000000048e-04
1.000000000000000048e-04,3.932235335728213599e+00,8.915397760644512282e-01,8.915356671390881615e-01,4.108925363066617820e-06,1.000000000000000048e-04
