# Fig 6D: twelve-site distributions with mean 1/2, weights binomial(12,i) exp[J (i-6)^2], J = 0 and J = 0.109876
modified_sites,independent_nu1,example_nu2p2
0,0.00024414062499999932,0.007846525691800246
1,0.0029296874999999957,0.028116089008235052
2,0.016113281250000007,0.05752424198994278
3,0.053710937500000014,0.08885870888112929
4,0.12084960937499988,0.11542234905366822
5,0.193359375,0.13281720190082869
6,0.22558593749999972,0.13882976694879182
7,0.19335937499999983,0.13281720190082857
8,0.12084960937499988,0.11542234905366822
9,0.053710937500000014,0.08885870888112929
10,0.016113281249999976,0.05752424198994267
11,0.0029296874999999957,0.028116089008235052
12,0.00024414062499999932,0.007846525691800246
