# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
-3.0,-3.0,2.9920239282153545
-2.9,-3.0,2.9909948112768685
-2.8,-3.0,2.9897003615506508
-2.7,-3.0,2.9881089376815972
-2.6,-3.0,2.9861499304788954
-2.5,-3.0,2.9836883726811845
-2.4,-3.0,2.9805968535727425
-2.3,-3.0,2.976716531033172
-2.2,-3.0,2.9718498773539177
-2.1,-3.0,2.9657835083313024
-2.0,-3.0,2.9582941599073185
-1.9,-3.0,2.948945239862375
-1.7999999999999998,-3.0,2.9372996206453967
-1.7,-3.0,2.922830871214156
-1.5999999999999999,-3.0,2.9049122172540507
-1.5,-3.0,2.882808072964507
-1.4,-3.0,2.8556706684397706
-1.2999999999999998,-3.0,2.822545108611328
-1.2,-3.0,2.7829973959831618
-1.0999999999999999,-3.0,2.7359397075678
-1.0,-3.0,2.6802866119286417
-0.8999999999999999,-3.0,2.6152225100412054
-0.7999999999999998,-3.0,2.5430848468211953
-0.6999999999999997,-3.0,2.4623635299308155
-0.5999999999999996,-3.0,2.377548751575816
-0.5,-3.0,2.2916032944197604
-0.3999999999999999,-3.0,2.211173516243341
-0.2999999999999998,-3.0,2.140856313610315
-0.19999999999999973,-3.0,2.0859301822788034
-0.09999999999999964,-3.0,2.0478384124407545
0.0,-3.0,2.023832307472186
0.10000000000000009,-3.0,2.0097802447099586
0.20000000000000018,-3.0,2.001879319131616
0.30000000000000027,-3.0,1.9974724001033257
0.40000000000000036,-3.0,1.9950595110018163
0.5,-3.0,1.993790534741496
0.6000000000000001,-3.0,1.9931979013189018
0.7000000000000002,-3.0,1.9929919266315612
0.8000000000000003,-3.0,1.9930829030917157
0.9000000000000004,-3.0,1.9932769102581545
1.0,-3.0,1.9935871601298176
1.1000000000000005,-3.0,1.99390646196326
1.2000000000000002,-3.0,1.9942807567914271
1.2999999999999998,-3.0,1.994638011387009
1.4000000000000004,-3.0,1.9949860632528695
1.5,-3.0,1.9953369769276383
1.6000000000000005,-3.0,1.9956559663573477
1.7000000000000002,-3.0,1.995963370887639
1.8000000000000007,-3.0,1.996257954896142
1.9000000000000004,-3.0,1.9965225542939997
2.0,-3.0,1.996776409467114
2.1000000000000005,-3.0,1.997015486025673
2.2,-3.0,1.9972292612921865
2.3000000000000007,-3.0,1.997433895314745
2.4000000000000004,-3.0,1.997625450818964
2.5,-3.0,1.9977964267787058
2.6000000000000005,-3.0,1.997959874513751
2.7,-3.0,1.9981125819009324
2.8000000000000007,-3.0,1.998248781863829
2.9000000000000004,-3.0,1.9983788700096572
3.0,-3.0,1.9985003609667515
-3.0,-2.9,2.9909948112768685
-2.9,-2.9,2.989966491023905
-2.8,-2.9,2.98867304299994
-2.7,-2.9,2.9870464771383247
-2.6,-2.9,2.985048346741781
-2.5,-2.9,2.9825888918452104
