# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
2.8826074645334715e-05,-0.7678399104193765
2.894105692609408e-05,-0.7675533759775435
2.9056497851502476e-05,-0.7672658654307191
2.9172399251014954e-05,-0.7669773760585492
2.928876296138388e-05,-0.7666879051375017
2.94055908266883e-05,-0.7663974499408956
2.9522884698362796e-05,-0.7661060077389376
2.964064643522706e-05,-0.7658135757987476
2.97588779035153e-05,-0.765520151384398
2.9877580976905818e-05,-0.7652257317569402
2.999675753655069e-05,-0.7649303141744406
3.011640947110553e-05,-0.7646338958920137
3.023653867675966e-05,-0.7643364741618546
3.0357147057265786e-05,-0.7640380462332745
3.047823652397043e-05,-0.7637386093527331
3.059980899584415e-05,-0.7634381607638745
3.072186639951193e-05,-0.7631366977075592
3.084441066928368e-05,-0.7628342174219045
3.096744374718514e-05,-0.7625307171423166
3.1090967582988255e-05,-0.7622261941015227
3.121498413424235e-05,-0.7619206455296175
3.133949536630507e-05,-0.7616140686540886
3.1464503252373546e-05,-0.7613064606998601
3.159000977351564e-05,-0.7609978188893283
3.171601691870131e-05,-0.7606881404423974
3.1842526684834354e-05,-0.7603774225765184
3.1969541076783684e-05,-0.7600656625067289
3.209706210741536e-05,-0.7597528574456895
3.222509179762443e-05,-0.7594390046037223
3.2353632176366926e-05,-0.7591241011888528
3.2482685280692054e-05,-0.7588081444068469
3.2612253155774385e-05,-0.7584911314612511
3.2742337854946554e-05,-0.7581730595534337
3.287294143973137e-05,-0.7578539258826243
3.300406597987479e-05,-0.757533727645957
3.3135713553378616e-05,-0.7572124620385075
3.326788624653347e-05,-0.7568901262533383
3.3400586153951716e-05,-0.7565667174815401
3.353381537860103e-05,-0.7562422329122722
3.3667576031837214e-05,-0.7559166697328061
3.3801870233438e-05,-0.7555900251285717
3.3936700111636554e-05,-0.7552622962831937
3.407206780315518e-05,-0.754933480378544
3.420797545323922e-05,-0.7546035745947769
3.4344425215690954e-05,-0.7542725761103808
3.448141925290402e-05,-0.7539404821022191
3.461895973589727e-05,-0.7536072897455761
3.475704884434944e-05,-0.7532729962142033
3.489568876663365e-05,-0.752937598680365
3.503488169985205e-05,-0.7526010943148832
3.517462984987064e-05,-0.7522634802871863
3.531493543135422e-05,-0.7519247537653555
3.5455800667801664e-05,-0.751584911916171
3.559722779158083e-05,-0.7512439519051607
3.573921904396417e-05,-0.7509018708966482
3.5881776675164176e-05,-0.7505586660538016
3.6024902944369074e-05,-0.7502143345386808
3.616860011977859e-05,-0.7498688735122894
3.631287047863983e-05,-0.7495222801346224
3.64577163072837e-05,-0.7491745515647141
3.660313990116063e-05,-0.7488256849606951
3.674914356487732e-05,-0.7484756774798351
3.689572961223312e-05,-0.7481245262785984
3.704290036625676e-05,-0.7477722285126958
3.719065815924302e-05,-0.7474187813371344
3.733900533279007e-05,-0.7470641819062703
3.748794423783607e-05,-0.7467084273738617
3.763747723469674e-05,-0.7463515148931221
3.778760669310271e-05,-0.7459934416167734
3.793833499223705e-05,-0.7456342046970985
3.808966452077299e-05,-0.7452738012859983
3.824159767691168e-05,-0.7449122285350416
3.839413686842054e-05,-0.7445494835955251
3.8547284512670905e-05,-0.7441855636185258
3.870104303667669e-05,-0.7438204657549564
3.885541487713272e-05,-0.7434541871556237
3.9010402480453426e-05,-0.7430867249712819
3.9166008302811534e-05,-0.7427180763526932
3.932223481017694e-05,-0.7423482384506793
